Sd	        Sa	    Period
cm	        g	    sec
0.001278441	0.514 	0.01
0.005573368	0.561 	0.02
0.012172852	0.544 	0.03
0.022352298	0.562 	0.04
0.036852041	0.593 	0.05
0.05384318	0.602 	0.06
0.080377451	0.660 	0.07
0.110667915	0.696 	0.08
0.153496224	0.763 	0.09
0.205867051	0.828 	0.1
0.238520098	0.793 	0.11
0.283076779	0.791 	0.12
0.317894756	0.757 	0.13
0.361907792	0.743 	0.14
0.430262209	0.770 	0.15
0.485055166	0.763 	0.16
0.519536273	0.723 	0.17
0.615649297	0.765 	0.18
0.759642799	0.847 	0.19
0.90982352	0.915 	0.2
1.078100226	0.984 	0.21
1.252398784	1.041 	0.22
1.365003361	1.038 	0.23
1.524473129	1.065 	0.24
1.728504529	1.113 	0.25
1.925012082	1.146 	0.26
2.159791261	1.192 	0.27
2.388338	1.226 	0.28
2.638538795	1.263 	0.29
3.064392314	1.370 	0.3
3.432419005	1.437 	0.31
3.629241064	1.426 	0.32
3.718833104	1.374 	0.33
3.922590696	1.366 	0.34
4.319960859	1.419 	0.35
4.725037375	1.467 	0.36
5.020825466	1.476 	0.37
5.282727079	1.472 	0.38
5.63855632	1.492 	0.39
6.078275516	1.529 	0.4
6.449081945	1.544 	0.41
6.718941809	1.533 	0.42
6.882794123	1.498 	0.43
6.949879835	1.445 	0.44
6.965133938	1.384 	0.45
7.075177865	1.346 	0.46
7.424520822	1.353 	0.47
7.989850262	1.396 	0.48
8.638792576	1.448 	0.49
9.212221381	1.483 	0.5
9.615157515	1.488 	0.51
9.871111898	1.469 	0.52
10.02807444	1.437 	0.53
10.08039151	1.391 	0.54
10.0317806	1.335 	0.55
9.956173705	1.278 	0.56
9.956703271	1.233 	0.57
10.0421711	1.201 	0.58
10.14171676	1.172 	0.59
10.19104511	1.139 	0.6
10.19738865	1.103 	0.61
10.20429181	1.068 	0.62
10.22189347	1.036 	0.63
10.22643066	1.005 	0.64
10.2097666	0.972 	0.65
10.20093384	0.942 	0.66
10.24123799	0.918 	0.67
10.34710641	0.901 	0.68
10.48567717	0.886 	0.69
10.62416063	0.873 	0.7
10.74513205	0.858 	0.71
10.86812545	0.844 	0.72
11.01799148	0.832 	0.73
11.21408106	0.824 	0.74
11.45697425	0.820 	0.75
11.72972626	0.817 	0.76
12.01295261	0.815 	0.77
12.30367468	0.814 	0.78
12.60228053	0.813 	0.79
12.92020874	0.812 	0.8
13.26011289	0.813 	0.81
13.6186737	0.815 	0.82
13.97613958	0.816 	0.83
14.31174644	0.816 	0.84
14.60989483	0.814 	0.85
14.86341811	0.809 	0.86
15.07977904	0.802 	0.87
15.27601234	0.794 	0.88
15.47580134	0.786 	0.89
15.69780355	0.780 	0.9
15.95736992	0.775 	0.91
16.2579473	0.773 	0.92
16.60017666	0.772 	0.93
16.97874676	0.773 	0.94
17.38338435	0.775 	0.95
17.81132252	0.778 	0.96
18.28657175	0.782 	0.97
18.8049797	0.788 	0.98
19.35065386	0.795 	0.99
19.93253974	0.802 	1
20.5546307	0.811 	1.01
21.21497395	0.821 	1.02
21.90238955	0.831 	1.03
22.60217348	0.841 	1.04
23.28915309	0.850 	1.05
23.94131154	0.857 	1.06
24.53307766	0.862 	1.07
25.0497129	0.864 	1.08
25.48210544	0.863 	1.09
25.83011733	0.859 	1.1
26.10204761	0.853 	1.11
26.31423297	0.844 	1.12
26.48662626	0.835 	1.13
26.64012643	0.825 	1.14
26.79741579	0.815 	1.15
26.98253483	0.807 	1.16
27.20654305	0.800 	1.17
27.47914198	0.794 	1.18
27.80788238	0.790 	1.19
28.18499371	0.788 	1.2
28.60562861	0.786 	1.21
29.05670625	0.786 	1.22
29.52382871	0.785 	1.23
29.99380696	0.785 	1.24
30.45727333	0.784 	1.25
30.90316336	0.783 	1.26
31.32534577	0.782 	1.27
31.72150593	0.779 	1.28
32.09184864	0.776 	1.29
32.4403285	0.772 	1.3
32.77273079	0.769 	1.31
33.09447831	0.764 	1.32
33.41189966	0.760 	1.33
33.73281264	0.756 	1.34
34.06491485	0.752 	1.35
34.41447045	0.749 	1.36
34.78180928	0.746 	1.37
35.16615402	0.743 	1.38
35.56706214	0.741 	1.39
35.98402551	0.739 	1.4
36.41157768	0.737 	1.41
36.84389427	0.735 	1.42
37.27396733	0.734 	1.43
37.6937207	0.732 	1.44
38.09887262	0.729 	1.45
38.48245196	0.727 	1.46
38.8401285	0.723 	1.47
39.16718392	0.720 	1.48
39.46142505	0.715 	1.49
39.72094958	0.710 	1.5
39.94577815	0.705 	1.51
40.13778969	0.699 	1.52
40.30007377	0.693 	1.53
40.43586537	0.686 	1.54
40.55062187	0.679 	1.55
40.64976219	0.672 	1.56
40.73909012	0.665 	1.57
40.82521999	0.658 	1.58
40.91382288	0.651 	1.59
41.01116024	0.645 	1.6
41.12200761	0.638 	1.61
41.25358455	0.633 	1.62
41.4078324	0.627 	1.63
41.588419	0.622 	1.64
41.79954912	0.618 	1.65
42.04117653	0.614 	1.66
42.31526075	0.611 	1.67
42.61912841	0.608 	1.68
42.9508363	0.605 	1.69
43.31074456	0.603 	1.7
43.69262641	0.601 	1.71
44.09481668	0.600 	1.72
44.51402168	0.599 	1.73
44.9440104	0.597 	1.74
45.38473692	0.596 	1.75
45.82828332	0.595 	1.76
46.27314078	0.594 	1.77
46.71532955	0.593 	1.78
47.15115286	0.592 	1.79
47.58117341	0.591 	1.8
47.99982544	0.590 	1.81
48.41016131	0.588 	1.82
48.80714354	0.587 	1.83
49.19498037	0.585 	1.84
49.56964256	0.583 	1.85
49.93489745	0.581 	1.86
50.28881547	0.579 	1.87
50.63494531	0.577 	1.88
50.97281841	0.574 	1.89
51.30452007	0.572 	1.9
51.63125306	0.570 	1.91
51.95442335	0.567 	1.92
53.06897208	0.573 	1.93
54.46053393	0.582 	1.94
55.83058747	0.591 	1.95
57.18033734	0.599 	1.96
58.50779265	0.607 	1.97
59.81295935	0.614 	1.98
61.09620157	0.621 	1.99
62.357861	0.627 	2
63.59841479	0.633 	2.01
64.81798388	0.639 	2.02
66.01677447	0.645 	2.03
67.19490532	0.650 	2.04
68.352893	0.655 	2.05
69.49139615	0.659 	2.06
70.61050739	0.663 	2.07
71.71021872	0.667 	2.08
72.79049167	0.671 	2.09
73.85112365	0.674 	2.1
74.89208235	0.677 	2.11
75.91325653	0.680 	2.12
76.91441778	0.682 	2.13
77.8948617	0.684 	2.14
78.85463724	0.687 	2.15
79.79308654	0.688 	2.16
80.70986445	0.690 	2.17
81.60497686	0.691 	2.18
82.47847478	0.692 	2.19
83.32960188	0.693 	2.2
84.15914793	0.693 	2.21
84.96729034	0.694 	2.22
85.75518371	0.694 	2.23
86.5232076	0.694 	2.24
87.27111849	0.694 	2.25
87.99920152	0.693 	2.26
88.70797349	0.693 	2.27
89.39772733	0.692 	2.28
90.06854718	0.691 	2.29
90.72174447	0.690 	2.3
91.35720585	0.689 	2.31
91.97466697	0.688 	2.32
92.57454206	0.686 	2.33
93.1573408	0.685 	2.34
93.72349313	0.683 	2.35
94.2734003	0.681 	2.36
95.43160984	0.684 	2.37
97.05268014	0.690 	2.38
98.64474224	0.695 	2.39
100.2086545	0.700 	2.4
101.7419528	0.705 	2.41
103.2365281	0.709 	2.42
104.6847041	0.713 	2.43
106.0894552	0.717 	2.44
107.4411208	0.720 	2.45
108.7381326	0.723 	2.46
109.9751639	0.725 	2.47
111.1476854	0.727 	2.48
112.2528485	0.729 	2.49
113.288454	0.729 	2.5
114.2513828	0.730 	2.51
115.1409688	0.730 	2.52
115.9551054	0.729 	2.53
116.6844494	0.728 	2.54
117.3270174	0.726 	2.55
117.8829782	0.724 	2.56
118.3451693	0.721 	2.57
118.7158959	0.718 	2.58
118.9946354	0.714 	2.59
119.1817712	0.710 	2.6
119.2859568	0.705 	2.61
119.3073567	0.699 	2.62
119.2520434	0.694 	2.63
119.126731	0.688 	2.64
118.9354428	0.682 	2.65
118.6815828	0.675 	2.66
118.3698397	0.668 	2.67
118.0019294	0.661 	2.68
117.5739622	0.654 	2.69
117.0807066	0.646 	2.7
116.5186806	0.638 	2.71
115.8891251	0.630 	2.72
115.1894568	0.622 	2.73
114.4218763	0.613 	2.74
113.5902365	0.604 	2.75
112.6981885	0.595 	2.76
111.7493996	0.586 	2.77
111.5363677	0.581 	2.78
111.9230856	0.579 	2.79
112.3114326	0.576 	2.8
112.7013605	0.574 	2.81
113.0915735	0.572 	2.82
113.4820114	0.570 	2.83
113.8728521	0.568 	2.84
114.2633497	0.566 	2.85
114.653631	0.564 	2.86
115.0438871	0.562 	2.87
115.4335107	0.560 	2.88
115.8204655	0.558 	2.89
116.2038501	0.556 	2.9
116.5849059	0.554 	2.91
116.9647192	0.552 	2.92
117.3437877	0.550 	2.93
117.722666	0.548 	2.94
118.1013395	0.546 	2.95
118.4797931	0.544 	2.96
118.8580108	0.542 	2.97
119.2349606	0.540 	2.98
