Sd	        Sa	    Period
cm	        g	    sec
0	        0.438 	0.000
0.548366874	1.096 	0.142
13.70917184	1.096 	0.709
15.64143166	0.961 	0.809
17.57369148	0.855 	0.909
19.5059513	0.770 	1.009
21.43821112	0.701 	1.109
23.37047093	0.643 	1.209
25.30273075	0.594 	1.309
27.23499057	0.552 	1.409
29.16725039	0.515 	1.509
31.0995102	0.483 	1.609
33.03177002	0.455 	1.709
35.66906583	0.438 	1.809
39.7204501	0.438 	1.909
43.98971058	0.438 	2.009
48.47684726	0.438 	2.109
53.18186016	0.438 	2.209
58.10474927	0.438 	2.309
63.24551459	0.438 	2.409
68.60415611	0.438 	2.509
74.18067385	0.438 	2.609
79.9750678	0.438 	2.709
85.98733795	0.438 	2.809
92.21748432	0.438 	2.909
98.6655069	0.438 	3.009
105.3314057	0.438 	3.109
112.2151807	0.438 	3.209
119.3168319	0.438 	3.309
126.6363593	0.438 	3.409
134.1737629	0.438 	3.509
141.9290428	0.438 	3.609
149.9021988	0.438 	3.709
158.0932311	0.438 	3.809
166.5021395	0.438 	3.909
175.1289242	0.438 	4.009
183.9735851	0.438 	4.109
193.0361222	0.438 	4.209
202.3165355	0.438 	4.309
211.814825	0.438 	4.409
221.5309907	0.438 	4.509
231.4650327	0.438 	4.609
241.6169508	0.438 	4.709
251.9867452	0.438 	4.809
262.5744157	0.438 	4.909
273.3799625	0.438 	5.009
284.4033855	0.438 	5.109
