Sd	        Sa	    Period
cm	        g	    sec
0	        0.107 	0.000
0.120766239	0.267 	0.135
3.019155965	0.267 	0.675
3.46643833	0.232 	0.775
3.913720695	0.206 	0.875
4.361003061	0.185 	0.975
4.808285426	0.167 	1.075
5.255567791	0.153 	1.175
5.702850156	0.141 	1.275
6.150132521	0.131 	1.375
6.597414887	0.122 	1.475
7.044697252	0.114 	1.575
7.491979617	0.107 	1.675
8.350927418	0.107 	1.775
9.318382608	0.107 	1.875
10.33884904	0.107 	1.975
11.41232672	0.107 	2.075
12.53881564	0.107 	2.175
13.7183158	0.107 	2.275
14.95082721	0.107 	2.375
16.23634986	0.107 	2.475
17.57488375	0.107 	2.575
18.96642889	0.107 	2.675
20.41098526	0.107 	2.775
21.90855289	0.107 	2.875
23.45913175	0.107 	2.975
25.06272186	0.107 	3.075
26.71932322	0.107 	3.175
28.42893581	0.107 	3.275
30.19155965	0.107 	3.375
32.00719473	0.107 	3.475
33.87584106	0.107 	3.575
35.79749863	0.107 	3.675
37.77216744	0.107 	3.775
39.7998475	0.107 	3.875
41.88053879	0.107 	3.975
44.01424134	0.107 	4.075
46.20095512	0.107 	4.175
48.44068015	0.107 	4.275
50.73341642	0.107 	4.375
53.07916394	0.107 	4.475
55.4779227	0.107 	4.575
57.9296927	0.107 	4.675
60.43447394	0.107 	4.775
62.99226643	0.107 	4.875
65.60307016	0.107 	4.975
68.26688514	0.107 	5.075





