$ PGA CALCULATION

Cofficient k = 0.33

$ Number of floor = 2
$Weight Height
562802 400
562802 770

$ SITE SPECTRUM PARAMETER
$S_DS S_D1
1.096 0.778

ALPHA = 0.909085
PF* = 0.00155399

$ PGA DATA
$S_a S_d A_e BETA_0 BETA_eq T_e T_0 B_s B_1 Force Disp. A_p
0 0.00760505 0 0 0.05 0 0 0 0 0 0.0091 0
0.200791 0.7529 0.0748242 0 0.05 0.388456 0.709854 1 1 205463 0.9009 0.0803163
0.338429 1.49134 0.273915 0.0543864 0.0679475 0.421115 0.72856 1.11845 1.08974 346304 1.7845 0.151407
0.36456 1.77482 0.373556 0.0984739 0.0824964 0.442627 0.741604 1.21448 1.16248 373043 2.1237 0.1771
0.400251 2.54644 0.668627 0.198655 0.115556 0.505995 0.755627 1.372 1.28889 409564 3.047 0.219658
0.406656 2.8722 0.800058 0.235527 0.127724 0.533138 0.755881 1.40485 1.31931 416118 3.4368 0.228517
0.439379 6.16243 2.19188 0.394089 0.180049 0.75128 0.756852 1.54613 1.45012 449603 7.3738 0.271735
0.442466 6.48168 2.33264 0.39898 0.181663 0.767802 0.756879 1.55049 1.45416 452762 7.7558 0.278376
0.442269 6.54653 2.36133 0.401793 0.182592 0.771805 0.756895 1.553 1.45648 452560 7.8334 0.280149
0.438477 6.64155 2.40318 0.414083 0.186647 0.780741 0.756962 1.56395 1.46662 448680 7.9471 0.282919
0.427276 6.76849 2.45813 0.445597 0.197047 0.798431 0.757131 1.59203 1.49262 437219 8.099 0.286936
0.390401 7.00584 2.55516 0.552862 0.232444 0.849806 0.764844 1.66164 1.54218 399486 8.383 0.288308
