$ PGA CALCULATION

Cofficient k = 0.33

$ Number of floor = 2
$Weight Height
562802 400
562802 770

$ SITE SPECTRUM PARAMETER
$S_DS S_D1
1.096 0.778

ALPHA = 0.909085
PF* = 0.00155399

$ PGA DATA
$S_a S_d A_e BETA_0 BETA_eq T_e T_0 B_s B_1 Force Disp. A_p
0 0.00777219 0 0 0.05 0 0 0 0 0 0.0093 0
0.201728 0.74237 0.0740943 0 0.05 0.384833 0.709854 1 1 206422 0.8883 0.0806911
0.337595 1.47655 0.272074 0.0583299 0.0692489 0.419538 0.729797 1.12704 1.09624 345451 1.7668 0.152194
0.364231 1.75911 0.371227 0.101082 0.0833571 0.440862 0.742324 1.22016 1.16679 372706 2.1049 0.177768
0.401394 2.53608 0.668661 0.19972 0.115908 0.504244 0.755635 1.37295 1.28977 410734 3.0346 0.220438
0.408099 2.88056 0.808089 0.238621 0.128745 0.532968 0.755902 1.40761 1.32186 417595 3.4468 0.229778
0.439757 5.92584 2.09907 0.388971 0.178361 0.736401 0.756823 1.54157 1.4459 449989 7.0907 0.271167
0.445694 6.49404 2.35063 0.397429 0.181152 0.765745 0.756871 1.54911 1.45288 456066 7.7706 0.27941
0.44485 6.5477 2.37452 0.401346 0.182444 0.769632 0.756892 1.5526 1.45611 455201 7.8348 0.280919
0.442346 6.63854 2.41481 0.41041 0.185435 0.777142 0.756942 1.56068 1.46359 452639 7.9435 0.283513
0.432037 6.7634 2.4694 0.439388 0.194998 0.79372 0.757098 1.58649 1.4875 442091 8.0929 0.287432
0.388353 7.05849 2.59045 0.566603 0.236979 0.85524 0.765882 1.67026 1.54807 397390 8.446 0.289732
