longitudinal	transverse	vertical
0.083 	0.063 	0.073 
-0.011 	-0.003 	0.027 
0.072 	0.021 	0.021 
0.103 	0.070 	0.053 
0.016 	0.017 	-0.038 
0.011 	-0.009 	0.001 
0.109 	0.060 	0.064 
0.040 	0.049 	0.046 
-0.003 	-0.002 	0.008 
0.078 	0.051 	0.069 
0.063 	0.076 	0.053 
-0.005 	0.001 	-0.005 
0.047 	0.014 	0.033 
0.095 	0.081 	0.076 
0.005 	0.027 	0.018 
0.002 	0.003 	0.034 
0.096 	0.070 	0.092 
0.027 	0.063 	0.053 
-0.008 	-0.008 	0.017 
0.068 	0.054 	0.083 
0.058 	0.076 	0.051 
-0.023 	0.023 	-0.011 
0.034 	0.037 	0.034 
0.085 	0.098 	0.077 
-0.012 	0.039 	0.036 
0.002 	0.019 	0.047 
0.099 	0.074 	0.121 
0.021 	0.075 	0.041 
-0.017 	0.013 	-0.003 
0.060 	0.054 	0.067 
0.056 	0.080 	0.060 
-0.020 	0.014 	0.000 
0.034 	0.030 	0.044 
0.070 	0.081 	0.081 
-0.010 	0.021 	0.008 
-0.011 	0.012 	0.002 
0.078 	0.070 	0.053 
0.019 	0.077 	0.002 
-0.028 	0.011 	-0.016 
0.045 	0.055 	0.047 
0.042 	0.077 	0.059 
-0.030 	0.027 	0.001 
0.013 	0.033 	0.056 
0.050 	0.090 	0.082 
-0.021 	0.039 	0.025 
-0.021 	-0.001 	0.008 
0.044 	0.063 	0.071 
0.011 	0.063 	0.042 
-0.043 	-0.003 	0.014 
0.060 	0.057 	0.077 
0.049 	0.086 	0.105 
-0.021 	0.021 	0.012 
0.021 	0.026 	0.059 
0.075 	0.084 	0.094 
-0.021 	0.047 	0.021 
-0.012 	0.022 	0.011 
0.059 	0.077 	0.093 
0.020 	0.073 	0.041 
-0.032 	0.009 	0.004 
0.058 	0.042 	0.064 
0.045 	0.084 	0.067 
-0.028 	0.021 	0.005 
0.010 	0.021 	0.057 
0.071 	0.084 	0.100 
-0.017 	0.025 	0.046 
-0.008 	0.013 	0.028 
0.071 	0.060 	0.088 
0.016 	0.062 	0.041 
-0.026 	0.002 	0.000 
0.063 	0.032 	0.055 
0.058 	0.076 	0.067 
-0.020 	0.004 	0.010 
0.025 	0.005 	0.064 
0.091 	0.078 	0.092 
-0.011 	0.030 	0.026 
-0.003 	0.007 	0.001 
0.071 	0.071 	0.069 
0.026 	0.059 	0.029 
-0.034 	-0.017 	0.009 
0.053 	0.042 	0.054 
0.054 	0.067 	0.066 
-0.021 	0.013 	0.004 
0.017 	0.008 	0.060 
0.074 	0.065 	0.100 
-0.006 	0.020 	0.045 
0.004 	-0.010 	0.042 
0.085 	0.043 	0.101 
0.037 	0.058 	0.065 
-0.020 	-0.007 	0.026 
0.067 	0.031 	0.088 
0.066 	0.077 	0.090 
-0.004 	0.016 	0.020 
0.043 	0.016 	0.050 
0.097 	0.065 	0.079 
0.002 	0.030 	0.021 
0.004 	0.001 	0.015 
0.079 	0.064 	0.077 
0.032 	0.055 	0.030 
-0.019 	-0.010 	-0.006 
0.072 	0.037 	0.053 
0.073 	0.055 	0.052 
-0.003 	-0.007 	-0.013 
0.031 	0.014 	0.033 
0.087 	0.066 	0.077 
0.008 	0.025 	0.026 
0.012 	-0.013 	0.031 
0.131 	0.055 	0.096 
0.064 	0.051 	0.037 
0.007 	-0.002 	-0.005 
0.084 	0.037 	0.062 
0.085 	0.081 	0.060 
-0.006 	0.017 	-0.027 
0.038 	0.017 	0.021 
0.129 	0.071 	0.061 
0.014 	0.018 	-0.018 
0.022 	-0.011 	-0.027 
0.106 	0.060 	0.058 
0.047 	0.054 	0.028 
-0.011 	-0.004 	-0.011 
0.059 	0.025 	0.050 
0.065 	0.073 	0.051 
0.007 	0.001 	-0.012 
0.049 	0.014 	0.025 
0.124 	0.063 	0.062 
0.019 	0.023 	-0.008 
0.021 	-0.016 	-0.025 
0.109 	0.051 	0.046 
0.063 	0.045 	0.018 
-0.009 	-0.010 	-0.024 
0.083 	0.036 	0.051 
0.062 	0.073 	0.062 
0.004 	0.011 	-0.032 
0.038 	0.019 	0.008 
0.100 	0.069 	0.041 
0.016 	0.033 	-0.008 
