 
 ETABS v9.7.3  File:HW4-V4-5-DETREND  Units:N-m  April 24, 2018 7:21  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  MDamp Energy:  Modal Damping Energy    
 FUNCTION  Potential Energy:  Potential Energy    
 FUNCTION  Kinetic Energy:  Kinetic Energy    
 FUNCTION  Input Energy:  Input Energy    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
            MDamp Energ Potential E Kinetic Ene Input Energ
    0.00000     0.00000     0.00000     0.00000     0.00000
    0.00500     0.00000     0.00000     0.00000     0.00000
    0.01000     0.00000     0.00000     0.00000     0.00000
    0.01500     0.00000     0.00000     0.00000     0.00000
    0.02000     0.00000     0.00000     0.00000     0.00000
    0.02500     0.00000     0.00000     0.00000     0.00000
    0.03000     0.00000     0.00000     0.00000     0.00000
    0.03500     0.00000     0.00000     0.00000     0.00000
    0.04000     0.00000     0.00000     0.00000     0.00000
    0.04500     0.00000     0.00000     0.00000     0.00000
    0.05000     0.00000     0.00000     0.00000     0.00000
    0.05500     0.00000     0.00000   1.174E-06   1.179E-06
    0.06000     0.00000     0.00000   1.597E-06   1.604E-06
    0.06500     0.00000     0.00000   2.224E-06   2.234E-06
    0.07000     0.00000     0.00000   2.873E-06   2.888E-06
    0.07500     0.00000     0.00000   3.339E-06   3.360E-06
    0.08000     0.00000     0.00000   3.657E-06   3.683E-06
    0.08500     0.00000     0.00000   4.181E-06   4.214E-06
    0.09000     0.00000     0.00000   4.948E-06   4.989E-06
    0.09500     0.00000     0.00000   5.779E-06   5.830E-06
    0.10000     0.00000     0.00000   6.431E-06   6.494E-06
    0.10500     0.00000     0.00000   6.991E-06   7.068E-06
    0.11000     0.00000     0.00000   7.705E-06   7.797E-06
    0.11500     0.00000     0.00000   8.317E-06   8.425E-06
    0.12000     0.00000     0.00000   8.951E-06   9.077E-06
    0.12500     0.00000     0.00000   9.755E-06   9.901E-06
    0.13000     0.00000     0.00000   1.029E-05   1.045E-05
    0.13500     0.00000     0.00000   1.099E-05   1.118E-05
    0.14000     0.00000     0.00000   1.187E-05   1.209E-05
    0.14500     0.00000     0.00000   1.279E-05   1.304E-05
    0.15000     0.00000     0.00000   1.428E-05   1.456E-05
    0.15500     0.00000     0.00000   1.566E-05   1.597E-05
    0.16000     0.00000     0.00000   1.651E-05   1.687E-05
    0.16500     0.00000     0.00000   1.739E-05   1.779E-05
    0.17000     0.00000     0.00000   1.850E-05   1.893E-05
    0.17500     0.00000     0.00000   1.984E-05   2.033E-05
    0.18000     0.00000     0.00000   2.102E-05   2.156E-05
    0.18500     0.00000     0.00000   2.200E-05   2.259E-05
    0.19000     0.00000     0.00000   2.369E-05   2.435E-05
    0.19500     0.00000     0.00000   2.592E-05   2.664E-05
    0.20000     0.00000     0.00000   2.750E-05   2.830E-05
    0.20500     0.00000     0.00000   2.937E-05   3.025E-05
    0.21000     0.00000     0.00000   3.131E-05   3.227E-05
    0.21500     0.00000     0.00000   3.249E-05   3.354E-05
    0.22000     0.00000     0.00000   3.424E-05   3.539E-05
    0.22500     0.00000     0.00000   3.632E-05   3.757E-05
    0.23000     0.00000     0.00000   3.788E-05   3.923E-05
    0.23500     0.00000     0.00000   3.946E-05   4.093E-05
    0.24000     0.00000     0.00000   4.168E-05   4.327E-05
    0.24500     0.00000     0.00000   4.365E-05   4.537E-05
    0.25000     0.00000     0.00000   4.502E-05   4.688E-05
    0.25500     0.00000   1.065E-06   4.608E-05   4.808E-05
    0.26000     0.00000   1.156E-06   4.814E-05   5.029E-05
    0.26500   1.056E-06   1.253E-06   5.125E-05   5.356E-05
    0.27000   1.122E-06   1.357E-06   5.341E-05   5.589E-05
    0.27500   1.190E-06   1.467E-06   5.490E-05   5.756E-05
    0.28000   1.260E-06   1.583E-06   5.676E-05   5.961E-05
    0.28500   1.333E-06   1.706E-06   5.902E-05   6.206E-05
    0.29000   1.408E-06   1.835E-06   6.169E-05   6.493E-05
