 
 ETABS v9.7.3  File:HW1_WITHDAMPER_V1  Units:Ton-m  May 9, 2018 20:24  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9_A_2F:  Joint 9  Story 2F  Abs Accel  UX
 FUNCTION  Point9_V_2F:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_2F:  Joint 9  Story 2F  Displacement  UX
 FUNCTION  Point9_A_3F:  Joint 9  Story 3F  Abs Accel  UX
 FUNCTION  Point9_V_3F:  Joint 9  Story 3F  Velocity  UX
 FUNCTION  Point9_D_3F:  Joint 9  Story 3F  Displacement  UX
 FUNCTION  Point9_A_RF:  Joint 9  Story RF  Abs Accel  UX
 FUNCTION  Point9_V_RF:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_RF:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
            Point9_A_2F Point9_V_2F Point9_D_2F Point9_A_3F Point9_V_3F Point9_D_3F Point9_A_RF Point9_V_RF Point9_D_RF
    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    0.00500  -7.771E-05   2.398E-06     0.00000  -1.304E-06   2.716E-06     0.00000  -2.261E-05   2.398E-06     0.00000
    0.01000   6.856E-05  -1.477E-06     0.00000  -8.032E-05  -1.510E-06     0.00000   5.200E-05  -1.477E-06     0.00000
    0.01500   1.169E-05     0.00000     0.00000   1.470E-06  -1.065E-06     0.00000   3.430E-06     0.00000     0.00000
    0.02000  -1.375E-04   3.685E-06     0.00000   5.586E-05   3.584E-06     0.00000  -6.627E-05   3.685E-06     0.00000
    0.02500  -1.565E-04   4.984E-06     0.00000  -1.382E-05   5.343E-06     0.00000  -4.884E-05   4.984E-06     0.00000
    0.03000  -1.267E-04   4.599E-06     0.00000  -9.114E-05   4.816E-06     0.00000  -1.143E-05   4.599E-06     0.00000
    0.03500  -1.157E-04   4.341E-06     0.00000  -1.281E-04   4.009E-06     0.00000   2.987E-06   4.341E-06     0.00000
    0.04000  -1.089E-04   4.109E-06     0.00000  -1.387E-04   3.088E-06     0.00000     0.00000   4.109E-06     0.00000
    0.04500  -3.080E-05   2.014E-06     0.00000  -1.589E-04     0.00000     0.00000   1.293E-05   2.014E-06     0.00000
    0.05000  -6.660E-05   2.694E-06     0.00000  -7.630E-05     0.00000     0.00000  -5.390E-05   2.694E-06     0.00000
    0.05500  -9.308E-05   3.881E-06     0.00000  -5.491E-05   1.699E-06     0.00000  -1.003E-04   3.881E-06     0.00000
    0.06000  -5.389E-05   3.131E-06     0.00000  -5.988E-05   1.126E-06     0.00000  -1.146E-04   3.131E-06     0.00000
    0.06500  -1.704E-05   2.260E-06     0.00000  -6.881E-05     0.00000     0.00000  -1.234E-04   2.260E-06     0.00000
    0.07000   3.028E-06   1.385E-06     0.00000  -5.145E-05     0.00000     0.00000  -1.404E-04   1.385E-06     0.00000
    0.07500  -4.198E-05   2.207E-06     0.00000  -2.358E-05   1.456E-06     0.00000  -1.736E-04   2.207E-06     0.00000
    0.08000  -8.094E-05   2.927E-06     0.00000  -3.211E-05   2.947E-06     0.00000  -1.825E-04   2.927E-06     0.00000
    0.08500  -8.907E-05   2.742E-06     0.00000  -7.612E-05   3.378E-06     0.00000  -1.596E-04   2.742E-06     0.00000
    0.09000  -7.961E-05   1.789E-06     0.00000  -1.181E-04   2.635E-06     0.00000  -1.254E-04   1.789E-06     0.00000
    0.09500  -1.490E-04   2.792E-06     0.00000  -1.111E-04   3.658E-06     0.00000  -1.309E-04   2.792E-06     0.00000
    0.10000  -1.667E-04   2.849E-06     0.00000  -1.561E-04   3.725E-06     0.00000  -1.032E-04   2.849E-06     0.00000
    0.10500  -2.840E-05  -1.439E-06     0.00000  -2.311E-04  -1.232E-06     0.00000  -2.131E-05  -1.439E-06     0.00000
    0.11000   7.724E-05  -5.419E-06     0.00000  -1.909E-04  -6.325E-06     0.00000     0.00000  -5.419E-06     0.00000
    0.11500   9.143E-05  -6.707E-06     0.00000  -7.207E-05  -8.167E-06     0.00000  -4.770E-05  -6.707E-06     0.00000
    0.12000   3.691E-05  -5.502E-06     0.00000   5.308E-05  -6.592E-06     0.00000  -1.224E-04  -5.502E-06     0.00000
    0.12500   8.737E-05  -6.414E-06     0.00000   6.204E-05  -6.477E-06     0.00000  -1.174E-04  -6.414E-06     0.00000
    0.13000   1.123E-04  -7.190E-06     0.00000   9.846E-05  -6.386E-06     0.00000  -1.175E-04  -7.190E-06     0.00000
    0.13500   3.969E-05  -5.297E-06     0.00000   1.312E-04  -3.214E-06     0.00000  -1.318E-04  -5.297E-06     0.00000
    0.14000  -1.009E-04  -1.544E-06     0.00000   1.393E-04   1.865E-06     0.00000  -1.420E-04  -1.544E-06     0.00000
    0.14500  -1.251E-04     0.00000     0.00000   9.117E-06   3.950E-06     0.00000  -5.270E-05     0.00000     0.00000
    0.15000  -6.532E-05  -2.535E-06     0.00000  -1.039E-04   1.526E-06     0.00000   6.205E-05  -2.535E-06     0.00000
    0.15500  -9.774E-05  -2.348E-06     0.00000  -1.235E-04     0.00000     0.00000   1.070E-04  -2.348E-06     0.00000
    0.16000  -1.207E-04  -1.988E-06     0.00000  -1.246E-04     0.00000     0.00000   1.318E-04  -1.988E-06     0.00000
    0.16500  -1.263E-04  -1.552E-06     0.00000  -1.133E-04  -1.013E-06     0.00000   1.376E-04  -1.552E-06     0.00000
    0.17000  -1.467E-04     0.00000     0.00000  -7.970E-05     0.00000     0.00000   1.113E-04     0.00000     0.00000
    0.17500  -2.419E-04   3.677E-06     0.00000  -2.707E-05   2.418E-06     0.00000   3.944E-05   3.677E-06     0.00000
    0.18000  -2.640E-04   6.335E-06     0.00000  -6.595E-05   4.821E-06     0.00000   1.312E-05   6.335E-06     0.00000
    0.18500  -1.592E-04   5.281E-06     0.00000  -1.455E-04   3.099E-06     0.00000   3.466E-05   5.281E-06     0.00000
    0.19000  -4.981E-05   3.348E-06     0.00000  -1.635E-04     0.00000     0.00000   2.870E-05   3.348E-06     0.00000
    0.19500  -2.169E-05   3.108E-06     0.00000  -9.827E-05     0.00000     0.00000  -3.872E-05   3.108E-06     0.00000
    0.20000  -9.473E-06   3.403E-06     0.00000  -4.377E-05     0.00000     0.00000  -1.089E-04   3.403E-06     0.00000
    0.20500   1.068E-04     0.00000     0.00000  -4.479E-05  -2.700E-06     0.00000  -1.213E-04     0.00000     0.00000
    0.21000   1.594E-04  -1.159E-06     0.00000   2.009E-05  -3.991E-06     0.00000  -1.658E-04  -1.159E-06     0.00000
    0.21500   1.144E-04     0.00000     0.00000   9.468E-05  -2.055E-06     0.00000  -2.281E-04     0.00000     0.00000
    0.22000   1.757E-04  -2.845E-06     0.00000   6.922E-05  -2.779E-06     0.00000  -2.009E-04  -2.845E-06     0.00000
    0.22500   9.695E-05  -2.211E-06     0.00000   1.224E-04     0.00000     0.00000  -2.225E-04  -2.211E-06     0.00000
