 
 ETABS v9.7.3  File:HW1_WITHDAMPER  Units:Ton-m  May 9, 2018 18:40  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9-Accel-X:  Joint 9  Story RF  Acceleration  UX
 FUNCTION  Point9-Displ-X:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION
            Point9-Acce Point9-Disp
    0.00000     0.00182     0.00000
    0.00500  -8.172E-04     0.00000
    0.01000  -7.426E-04     0.00000
    0.01500     0.00108     0.00000
    0.02000   6.302E-04     0.00000
    0.02500  -9.789E-05     0.00000
    0.03000  -6.048E-05     0.00000
    0.03500  -4.606E-05     0.00000
    0.04000  -4.938E-05     0.00000
    0.04500  -7.817E-04     0.00000
    0.05000     0.00103     0.00000
    0.05500  -5.221E-04     0.00000
    0.06000   2.091E-04     0.00000
    0.06500  -5.453E-04     0.00000
    0.07000   1.833E-04     0.00000
    0.07500   1.501E-04     0.00000
    0.08000   1.412E-04     0.00000
    0.08500  -2.086E-04     0.00000
    0.09000  -1.745E-04     0.00000
    0.09500   5.656E-04     0.00000
    0.10000  -5.251E-04     0.00000
    0.10500    -0.00119     0.00000
    0.11000  -4.225E-04     0.00000
    0.11500  -9.675E-05     0.00000
    0.12000   5.741E-04     0.00000
    0.12500  -9.121E-04     0.00000
    0.13000   5.790E-04     0.00000
    0.13500   1.919E-04     0.00000
    0.14000     0.00130     0.00000
    0.14500  -8.473E-04     0.00000
    0.15000   1.300E-05     0.00000
    0.15500   5.800E-05     0.00000
    0.16000   8.275E-05     0.00000
    0.16500   8.852E-05     0.00000
    0.17000   4.350E-04     0.00000
    0.17500     0.00112     0.00000
    0.18000  -3.593E-05     0.00000
    0.18500  -3.872E-04     0.00000
    0.19000  -3.931E-04     0.00000
    0.19500   2.850E-04     0.00000
    0.20000  -1.580E-04     0.00000
    0.20500  -9.160E-04     0.00000
    0.21000   1.579E-04     0.00000
    0.21500   9.560E-05     0.00000
    0.22000  -9.955E-04     0.00000
    0.22500     0.00122     0.00000
    0.23000  -2.584E-04     0.00000
    0.23500  -1.613E-04     0.00000
    0.24000   2.795E-04     0.00000
    0.24500  -2.851E-05     0.00000
    0.25000   3.248E-05     0.00000
    0.25500  -6.506E-04     0.00000
    0.26000   1.040E-04     0.00000
    0.26500   7.752E-04     0.00000
    0.27000  -3.797E-04     0.00000
    0.27500  -2.746E-05     0.00000
    0.28000  -4.328E-04     0.00000
    0.28500  -4.605E-04     0.00000
    0.29000  -1.346E-04     0.00000
    0.29500   1.829E-04     0.00000
    0.30000  -2.011E-04     0.00000
    0.30500  -8.843E-04     0.00000
    0.31000   2.724E-04     0.00000
    0.31500   6.509E-04     0.00000
    0.32000  -2.426E-05     0.00000
    0.32500  -2.761E-04     0.00000
    0.33000   1.861E-04     0.00000
    0.33500   2.378E-04     0.00000
    0.34000   2.713E-04     0.00000
    0.34500  -4.319E-04     0.00000
    0.35000  -5.005E-05     0.00000
    0.35500     0.00135     0.00000
    0.36000   1.513E-04     0.00000
    0.36500  -2.240E-04     0.00000
    0.37000   1.218E-04     0.00000
    0.37500   4.332E-04     0.00000
    0.38000  -3.365E-04     0.00000
    0.38500   7.418E-04     0.00000
    0.39000   3.315E-04     0.00000
    0.39500    -0.00110     0.00000
    0.40000   5.911E-05     0.00000
    0.40500  -6.771E-04     0.00000
    0.41000  -2.947E-04     0.00000
    0.41500   7.683E-04     0.00000
    0.42000  -1.550E-06     0.00000
    0.42500  -6.906E-04     0.00000
    0.43000   8.427E-05     0.00000
    0.43500   8.055E-05     0.00000
    0.44000   8.033E-04     0.00000
    0.44500   4.256E-04     0.00000
    0.45000  -6.231E-04     0.00000
    0.45500   1.634E-04     0.00000
    0.46000  -2.080E-04     0.00000
    0.46500   5.046E-04     0.00000
    0.47000   9.156E-05     0.00000
    0.47500   7.855E-04     0.00000
    0.48000   1.089E-05     0.00000
    0.48500   1.016E-05     0.00000
    0.49000  -5.174E-06     0.00000
    0.49500  -3.881E-04     0.00000
    0.50000  -7.601E-04     0.00000
    0.50500   3.011E-04     0.00000
    0.51000  -1.362E-04     0.00000
    0.51500   1.984E-04     0.00000
    0.52000   1.749E-04     0.00000
    0.52500   1.797E-04     0.00000
    0.53000  -1.549E-04     0.00000
    0.53500  -8.221E-04     0.00000
    0.54000   3.198E-04     0.00000
    0.54500   2.985E-04     0.00000
    0.55000  -7.812E-04     0.00000
    0.55500  -1.672E-05     0.00000
    0.56000   6.728E-04     0.00000
    0.56500  -4.573E-04     0.00000
    0.57000  -7.598E-05     0.00000
    0.57500  -9.339E-05     0.00000
    0.58000  -4.680E-04     0.00000
    0.58500  -1.072E-04     0.00000
    0.59000  -4.869E-04     0.00000
    0.59500  -1.199E-04     0.00000
    0.60000  -1.267E-04     0.00000
    0.60500   6.032E-04     0.00000
    0.61000  -4.722E-04     0.00000
    0.61500   3.310E-04     0.00000
    0.62000   7.225E-04     0.00000
    0.62500  -3.231E-04     0.00000
    0.63000  -2.330E-04     0.00000
    0.63500     0.00125     0.00000
    0.64000  -6.013E-04     0.00000
    0.64500  -1.882E-04     0.00000
    0.65000   1.476E-04     0.00000
    0.65500     0.00117     0.00000
    0.66000  -7.420E-04     0.00000
    0.66500  -3.658E-04     0.00000
    0.67000  -4.606E-05     0.00000
    0.67500   6.124E-04     0.00000
    0.68000  -5.292E-04     0.00000
    0.68500   2.182E-04     0.00000
    0.69000   9.358E-04     0.00000
    0.69500  -1.602E-04     0.00000
    0.70000  -4.369E-04     0.00000
    0.70500   3.539E-04     0.00000
    0.71000   3.602E-04     0.00000
    0.71500   3.659E-04     0.00000
    0.72000   4.884E-06     0.00000
    0.72500  -3.542E-04     0.00000
    0.73000     0.00142     0.00000
    0.73500   2.152E-04     0.00000
    0.74000   1.807E-04     0.00000
    0.74500   4.885E-04     0.00000
    0.75000  -6.626E-04     0.00000
    0.75500   3.913E-04     0.00000
