 
 ETABS v9.7.3  File:HW1_WITHDAMPER_V1  Units:Ton-m  May 9, 2018 20:25  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9_A_2F:  Joint 9  Story 2F  Abs Accel  UX
 FUNCTION  Point9_V_2F:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_2F:  Joint 9  Story 2F  Displacement  UX
 FUNCTION  Point9_A_3F:  Joint 9  Story 3F  Abs Accel  UX
 FUNCTION  Point9_V_3F:  Joint 9  Story 3F  Velocity  UX
 FUNCTION  Point9_D_3F:  Joint 9  Story 3F  Displacement  UX
 FUNCTION  Point9_A_RF:  Joint 9  Story RF  Abs Accel  UX
 FUNCTION  Point9_V_RF:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_RF:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
            Point9_A_2F Point9_V_2F Point9_D_2F Point9_A_3F Point9_V_3F Point9_D_3F Point9_A_RF Point9_V_RF Point9_D_RF
    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    0.00500  -1.322E-04   3.751E-06     0.00000   3.216E-05   4.072E-06     0.00000  -5.128E-05   3.751E-06     0.00000
    0.01000  -1.370E-04   4.448E-06     0.00000  -3.930E-05   4.982E-06     0.00000  -2.439E-05   4.448E-06     0.00000
    0.01500  -1.602E-04   5.290E-06     0.00000  -8.265E-05   5.553E-06     0.00000  -1.323E-05   5.290E-06     0.00000
    0.02000  -1.814E-04   6.132E-06     0.00000  -1.290E-04   5.954E-06     0.00000  -4.796E-06   6.132E-06     0.00000
    0.02500  -1.540E-04   5.568E-06     0.00000  -1.722E-04   4.594E-06     0.00000   9.797E-06   5.568E-06     0.00000
    0.03000  -1.302E-04   5.011E-06     0.00000  -1.790E-04   3.115E-06     0.00000     0.00000   5.011E-06     0.00000
    0.03500  -1.007E-04   4.358E-06     0.00000  -1.627E-04   1.665E-06     0.00000  -2.799E-05   4.358E-06     0.00000
    0.04000  -6.272E-05   3.537E-06     0.00000  -1.330E-04     0.00000     0.00000  -6.616E-05   3.537E-06     0.00000
    0.04500  -1.262E-04   5.444E-06     0.00000  -5.476E-05   2.266E-06     0.00000  -1.560E-04   5.444E-06     0.00000
    0.05000  -9.975E-05   5.443E-06     0.00000  -8.338E-05   2.913E-06     0.00000  -1.762E-04   5.443E-06     0.00000
    0.05500   7.526E-06   2.525E-06     0.00000  -1.152E-04     0.00000     0.00000  -1.618E-04   2.525E-06     0.00000
    0.06000   3.821E-05   1.068E-06     0.00000  -8.622E-05     0.00000     0.00000  -1.846E-04   1.068E-06     0.00000
    0.06500   1.189E-04  -1.963E-06     0.00000  -7.711E-05  -3.347E-06     0.00000  -1.759E-04  -1.963E-06     0.00000
    0.07000   6.997E-05  -2.001E-06     0.00000   1.470E-05  -2.655E-06     0.00000  -2.259E-04  -2.001E-06     0.00000
    0.07500  -2.807E-06     0.00000     0.00000   3.703E-05     0.00000     0.00000  -2.447E-04     0.00000     0.00000
    0.08000   8.089E-05  -3.970E-06     0.00000  -3.359E-05  -2.112E-06     0.00000  -1.657E-04  -3.970E-06     0.00000
    0.08500  -9.277E-05     0.00000     0.00000   4.623E-05   1.726E-06     0.00000  -2.067E-04     0.00000     0.00000
    0.09000  -2.651E-04   3.407E-06     0.00000  -1.030E-05   7.387E-06     0.00000  -1.888E-04   3.407E-06     0.00000
    0.09500  -2.332E-04   2.204E-06     0.00000  -1.697E-04   6.312E-06     0.00000  -6.464E-05   2.204E-06     0.00000
    0.10000  -2.894E-04   2.965E-06     0.00000  -2.323E-04   6.176E-06     0.00000  -7.861E-06   2.965E-06     0.00000
    0.10500  -3.342E-04   3.918E-06     0.00000  -2.852E-04   5.807E-06     0.00000   3.170E-05   3.918E-06     0.00000
    0.11000  -3.157E-04   3.582E-06     0.00000  -3.248E-04   3.671E-06     0.00000   6.209E-05   3.582E-06     0.00000
    0.11500  -4.461E-04   7.657E-06     0.00000  -2.568E-04   6.065E-06     0.00000  -1.859E-05   7.657E-06     0.00000
    0.12000  -4.536E-04   9.790E-06     0.00000  -3.093E-04   7.140E-06     0.00000  -4.206E-05   9.790E-06     0.00000
    0.12500  -3.637E-04   8.992E-06     0.00000  -3.454E-04   4.804E-06     0.00000  -5.985E-05   8.992E-06     0.00000
    0.13000  -3.229E-04   9.411E-06     0.00000  -3.287E-04   4.048E-06     0.00000  -1.282E-04   9.411E-06     0.00000
    0.13500  -2.236E-04   8.037E-06     0.00000  -3.107E-04   1.844E-06     0.00000  -1.898E-04   8.037E-06     0.00000
    0.14000  -1.274E-04   6.311E-06     0.00000  -2.625E-04     0.00000     0.00000  -2.665E-04   6.311E-06     0.00000
    0.14500   1.979E-05   2.716E-06     0.00000  -2.216E-04  -3.496E-06     0.00000  -3.199E-04   2.716E-06     0.00000
    0.15000   1.971E-04  -2.607E-06     0.00000  -1.551E-04  -8.091E-06     0.00000  -3.594E-04  -2.607E-06     0.00000
    0.15500   3.482E-04  -8.139E-06     0.00000  -4.758E-05  -1.224E-05     0.00000  -4.000E-04  -8.139E-06     0.00000
    0.16000   4.230E-04  -1.236E-05     0.00000   9.563E-05  -1.424E-05     0.00000  -4.467E-04  -1.236E-05     0.00000
    0.16500   3.830E-04  -1.380E-05     0.00000   2.336E-04  -1.249E-05     0.00000  -4.876E-04  -1.380E-05     0.00000
    0.17000   3.452E-04  -1.527E-05     0.00000   2.686E-04  -1.027E-05     0.00000  -4.448E-04  -1.527E-05     0.00000
    0.17500   2.219E-04  -1.487E-05     0.00000   2.796E-04  -6.495E-06     0.00000  -3.730E-04  -1.487E-05     0.00000
    0.18000  -1.592E-05  -1.109E-05     0.00000   2.358E-04     0.00000     0.00000  -2.779E-04  -1.109E-05     0.00000
    0.18500  -1.473E-04  -9.592E-06     0.00000   5.439E-05   3.496E-06     0.00000  -7.535E-05  -9.592E-06     0.00000
    0.19000  -2.634E-04  -8.511E-06     0.00000  -1.088E-04   4.219E-06     0.00000   1.291E-04  -8.511E-06     0.00000
    0.19500  -3.836E-04  -6.541E-06     0.00000  -2.378E-04   4.268E-06     0.00000   2.976E-04  -6.541E-06     0.00000
    0.20000  -3.827E-04  -6.758E-06     0.00000  -3.513E-04     0.00000     0.00000   4.536E-04  -6.758E-06     0.00000
    0.20500  -3.678E-04  -6.388E-06     0.00000  -3.536E-04  -3.267E-06     0.00000   5.141E-04  -6.388E-06     0.00000
    0.21000  -3.554E-04  -4.466E-06     0.00000  -2.819E-04  -5.452E-06     0.00000   4.817E-04  -4.466E-06     0.00000
    0.21500  -2.818E-04  -2.825E-06     0.00000  -1.939E-04  -7.236E-06     0.00000   4.034E-04  -2.825E-06     0.00000
    0.22000  -2.155E-04     0.00000     0.00000  -7.376E-05  -7.013E-06     0.00000   2.671E-04     0.00000     0.00000
    0.22500  -1.060E-04   1.670E-06     0.00000   8.552E-06  -6.233E-06     0.00000   1.330E-04   1.670E-06     0.00000
