 
 ETABS v9.7.3  File:HW1_WITHDAMPER  Units:Ton-m  May 9, 2018 18:39  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9-Accel-X:  Joint 9  Story RF  Acceleration  UX
 FUNCTION  Point9-Displ-X:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION
            Point9-Acce Point9-Disp
    0.00000     0.00109     0.00000
    0.00500   4.294E-04     0.00000
    0.01000  -1.421E-04     0.00000
    0.01500   4.675E-04     0.00000
    0.02000  -1.225E-04     0.00000
    0.02500  -1.079E-04     0.00000
    0.03000  -1.181E-04     0.00000
    0.03500  -1.457E-04     0.00000
    0.04000  -1.839E-04     0.00000
    0.04500   9.329E-04     0.00000
    0.05000  -9.022E-04     0.00000
    0.05500  -2.795E-04     0.00000
    0.06000  -3.023E-04     0.00000
    0.06500  -9.018E-04     0.00000
    0.07000   8.630E-04     0.00000
    0.07500  -3.624E-04     0.00000
    0.08000  -8.916E-04     0.00000
    0.08500     0.00208     0.00000
    0.09000  -3.066E-04     0.00000
    0.09500  -1.824E-04     0.00000
    0.10000   4.728E-04     0.00000
    0.10500  -8.602E-05     0.00000
    0.11000  -5.563E-05     0.00000
    0.11500     0.00166     0.00000
    0.12000  -7.680E-04     0.00000
    0.12500   4.208E-04     0.00000
    0.13000  -2.459E-04     0.00000
    0.13500  -3.075E-04     0.00000
    0.14000  -3.843E-04     0.00000
    0.14500    -0.00105     0.00000
    0.15000    -0.00109     0.00000
    0.15500    -0.00113     0.00000
    0.16000  -5.644E-04     0.00000
    0.16500  -6.922E-06     0.00000
    0.17000  -5.625E-04     0.00000
    0.17500   7.159E-04     0.00000
    0.18000   8.110E-04     0.00000
    0.18500  -1.931E-04     0.00000
    0.19000   6.098E-04     0.00000
    0.19500   1.799E-04     0.00000
    0.20000  -2.723E-04     0.00000
    0.20500   3.964E-04     0.00000
    0.21000   3.640E-04     0.00000
    0.21500   2.856E-04     0.00000
    0.22000   7.478E-04     0.00000
    0.22500   1.524E-05     0.00000
    0.23000  -9.732E-05     0.00000
    0.23500  -7.925E-04     0.00000
    0.24000  -2.749E-04     0.00000
    0.24500   2.156E-04     0.00000
    0.25000  -4.178E-04     0.00000
    0.25500  -3.765E-04     0.00000
    0.26000  -8.842E-04     0.00000
    0.26500  -1.690E-04     0.00000
    0.27000  -6.863E-05     0.00000
    0.27500   4.937E-05     0.00000
    0.28000  -4.148E-04     0.00000
    0.28500     0.00146     0.00000
    0.29000   3.131E-04     0.00000
    0.29500  -1.832E-04     0.00000
    0.30000  -6.927E-04     0.00000
    0.30500  -6.700E-04     0.00000
    0.31000  -1.441E-04     0.00000
    0.31500   3.251E-04     0.00000
    0.32000   1.944E-04     0.00000
    0.32500    -0.00105     0.00000
    0.33000   6.983E-04     0.00000
    0.33500   5.878E-05  -1.018E-06
    0.34000     0.00127  -1.077E-06
    0.34500  -4.414E-04  -1.118E-06
    0.35000   3.291E-04  -1.159E-06
    0.35500     0.00103  -1.192E-06
    0.36000  -6.176E-04  -1.209E-06
    0.36500   1.192E-04  -1.232E-06
    0.37000   7.471E-04  -1.252E-06
    0.37500   7.144E-04  -1.256E-06
    0.38000     0.00124  -1.239E-06
    0.38500   5.618E-04  -1.197E-06
    0.39000  -9.391E-05  -1.141E-06
    0.39500     0.00158  -1.077E-06
    0.40000   8.066E-04     0.00000
    0.40500   1.225E-04     0.00000
    0.41000   5.150E-05     0.00000
    0.41500  -3.074E-05     0.00000
    0.42000   4.614E-04     0.00000
    0.42500     0.00151     0.00000
    0.43000  -3.334E-04     0.00000
    0.43500   8.518E-04     0.00000
    0.44000  -9.503E-04     0.00000
    0.44500   2.466E-04     0.00000
    0.45000   7.502E-04     0.00000
    0.45500  -5.148E-04     0.00000
    0.46000  -5.501E-04     0.00000
    0.46500  -6.255E-04     0.00000
    0.47000    -0.00131   1.103E-06
    0.47500  -8.097E-04   1.213E-06
    0.48000  -9.383E-04   1.301E-06
    0.48500  -4.634E-04   1.368E-06
    0.49000    -0.00113   1.418E-06
    0.49500    -0.00171   1.440E-06
    0.50000  -4.885E-04   1.427E-06
    0.50500   1.171E-04   1.400E-06
    0.51000    -0.00156   1.365E-06
    0.51500  -1.979E-04   1.304E-06
    0.52000     0.00166   1.240E-06
    0.52500  -5.860E-04   1.201E-06
    0.53000  -3.536E-04   1.157E-06
    0.53500  -1.985E-04   1.104E-06
    0.54000  -1.142E-04   1.046E-06
    0.54500    -0.00125     0.00000
    0.55000  -6.507E-04     0.00000
    0.55500  -1.477E-04     0.00000
    0.56000  -2.724E-04     0.00000
    0.56500  -9.506E-04     0.00000
    0.57000     0.00133     0.00000
    0.57500  -4.981E-04     0.00000
    0.58000  -9.777E-04     0.00000
    0.58500   3.371E-04     0.00000
    0.59000  -1.334E-04     0.00000
    0.59500   4.658E-05     0.00000
    0.60000   8.031E-04     0.00000
    0.60500   3.728E-04     0.00000
    0.61000  -4.317E-05     0.00000
    0.61500     0.00185     0.00000
    0.62000     0.00126     0.00000
    0.62500   7.079E-04     0.00000
    0.63000   7.163E-04     0.00000
    0.63500   6.578E-04     0.00000
    0.64000  -6.112E-04     0.00000
    0.64500  -1.283E-04     0.00000
    0.65000   8.531E-04     0.00000
    0.65500   5.362E-05     0.00000
    0.66000  -6.561E-04     0.00000
    0.66500   4.485E-04     0.00000
    0.67000  -2.062E-04     0.00000
    0.67500  -7.620E-04     0.00000
    0.68000  -8.375E-05     0.00000
    0.68500    -0.00117     0.00000
    0.69000  -4.399E-04     0.00000
    0.69500     0.00140     0.00000
    0.70000   8.247E-04     0.00000
    0.70500  -2.397E-04     0.00000
    0.71000   4.827E-04     0.00000
    0.71500  -6.332E-05     0.00000
    0.72000     0.00170     0.00000
    0.72500  -1.581E-04     0.00000
    0.73000   4.063E-04     0.00000
    0.73500     0.00145     0.00000
    0.74000   6.883E-04     0.00000
    0.74500   5.734E-04     0.00000
