 
 ETABS v9.7.3  File:HW1_DAMPER_NONLINEAR07_V3  Units:Ton-m  May 21, 2018 22:07  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9_A_2F:  Joint 9  Story 2F  Abs Accel  UX
 FUNCTION  Point9_V_2F:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_2F:  Joint 9  Story 2F  Displacement  UX
 FUNCTION  Point9_A_3F:  Joint 9  Story 3F  Abs Accel  UX
 FUNCTION  Point9_V_3F:  Joint 9  Story 3F  Velocity  UX
 FUNCTION  Point9_D_3F:  Joint 9  Story 3F  Displacement  UX
 FUNCTION  Point9_A_RF:  Joint 9  Story RF  Abs Accel  UX
 FUNCTION  Point9_V_RF:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_RF:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
            Point9_A_2F Point9_V_2F Point9_D_2F Point9_A_3F Point9_V_3F Point9_D_3F Point9_A_RF Point9_V_RF Point9_D_RF
    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    0.00500  -1.108E-04   2.571E-06     0.00000  -8.000E-06   2.560E-06     0.00000     0.00000   2.571E-06     0.00000
    0.01000  -6.764E-05  -1.409E-06     0.00000  -3.789E-05  -1.518E-06     0.00000  -3.581E-06  -1.409E-06     0.00000
    0.01500   9.754E-05     0.00000     0.00000  -6.110E-05  -1.071E-06     0.00000  -2.342E-05     0.00000     0.00000
    0.02000   2.094E-05   3.483E-06     0.00000  -3.228E-05   3.115E-06     0.00000  -5.691E-05   3.483E-06     0.00000
    0.02500  -2.137E-04   4.755E-06     0.00000  -1.452E-06   4.670E-06     0.00000  -7.728E-05   4.755E-06     0.00000
    0.03000  -3.410E-04   4.134E-06     0.00000  -6.080E-05   4.317E-06     0.00000  -6.942E-05   4.134E-06     0.00000
    0.03500  -2.880E-04   3.569E-06     0.00000  -2.069E-04   3.420E-06     0.00000  -6.352E-05   3.569E-06     0.00000
    0.04000  -1.331E-04   2.905E-06     0.00000  -3.272E-04   1.801E-06     0.00000  -1.179E-04   2.905E-06     0.00000
    0.04500   3.263E-05     0.00000     0.00000  -3.141E-04  -1.976E-06     0.00000  -2.528E-04     0.00000     0.00000
    0.05000   1.506E-04  -1.055E-06     0.00000  -1.685E-04  -2.509E-06     0.00000  -4.061E-04  -1.055E-06     0.00000
    0.05500   1.158E-05  -1.635E-06     0.00000  -6.905E-06  -1.277E-06     0.00000  -4.558E-04  -1.635E-06     0.00000
    0.06000  -1.245E-04  -3.903E-06     0.00000   2.094E-05  -1.413E-06     0.00000  -3.230E-04  -3.903E-06     0.00000
    0.06500  -2.040E-04  -5.126E-06     0.00000  -1.031E-04  -1.821E-06     0.00000  -5.677E-05  -5.126E-06     0.00000
    0.07000  -1.666E-04  -5.002E-06     0.00000  -2.371E-04  -2.953E-06     0.00000   1.852E-04  -5.002E-06     0.00000
    0.07500  -1.597E-04  -2.195E-06     0.00000  -2.175E-04  -2.553E-06     0.00000   2.555E-04  -2.195E-06     0.00000
    0.08000  -2.027E-04     0.00000     0.00000  -3.793E-05  -1.613E-06     0.00000   1.383E-04     0.00000     0.00000
    0.08500  -1.995E-04   1.379E-06     0.00000   1.367E-04     0.00000     0.00000  -4.704E-05   1.379E-06     0.00000
    0.09000  -4.593E-05     0.00000     0.00000   1.454E-04     0.00000     0.00000  -1.597E-04     0.00000     0.00000
    0.09500   1.508E-04   1.360E-06     0.00000     0.00000   1.925E-06     0.00000  -1.533E-04   1.360E-06     0.00000
    0.10000   1.744E-04   1.443E-06     0.00000  -1.457E-04   2.210E-06     0.00000  -8.591E-05   1.443E-06     0.00000
    0.10500   1.479E-04  -2.825E-06     0.00000  -1.605E-04  -2.595E-06     0.00000  -4.034E-05  -2.825E-06     0.00000
    0.11000   2.002E-04  -6.991E-06     0.00000  -2.887E-05  -7.091E-06     0.00000  -4.200E-05  -6.991E-06     0.00000
    0.11500   2.378E-04  -8.385E-06     0.00000   1.723E-04  -7.915E-06     0.00000  -3.680E-05  -8.385E-06     0.00000
    0.12000   1.884E-04  -6.771E-06     0.00000   3.222E-04  -5.014E-06     0.00000   5.366E-05  -6.771E-06     0.00000
    0.12500   6.956E-05  -6.289E-06     0.00000   3.367E-04  -3.552E-06     0.00000   2.521E-04  -6.289E-06     0.00000
    0.13000   8.600E-05  -4.689E-06     0.00000   2.417E-04  -2.328E-06     0.00000   4.795E-04  -4.689E-06     0.00000
    0.13500   4.144E-05     0.00000     0.00000   1.640E-04   1.204E-06     0.00000   6.066E-04     0.00000     0.00000
    0.14000  -1.029E-04   8.036E-06     0.00000   1.762E-04   6.436E-06     0.00000   5.546E-04   8.036E-06     0.00000
    0.14500  -3.185E-04   1.197E-05     0.00000   2.044E-04   9.029E-06     0.00000   3.518E-04   1.197E-05     0.00000
    0.15000  -2.159E-04   1.096E-05     0.00000   1.185E-04   7.789E-06     0.00000   8.722E-05   1.096E-05     0.00000
    0.15500   7.500E-05   1.050E-05     0.00000  -7.767E-05   7.668E-06     0.00000  -1.699E-04   1.050E-05     0.00000
    0.16000   3.037E-04   8.836E-06     0.00000  -2.469E-04   6.569E-06     0.00000  -3.888E-04   8.836E-06     0.00000
    0.16500   2.927E-04   6.225E-06     0.00000  -2.800E-04   4.945E-06     0.00000  -5.435E-04   6.225E-06     0.00000
    0.17000   2.657E-05   4.031E-06     0.00000  -2.127E-04   4.384E-06     0.00000  -5.854E-04   4.031E-06     0.00000
    0.17500  -4.120E-04   4.819E-06     0.00000  -1.902E-04   6.935E-06     0.00000  -4.774E-04   4.819E-06     0.00000
    0.18000  -8.480E-04   5.528E-06     0.00000  -3.314E-04   8.282E-06     0.00000  -2.605E-04   5.528E-06     0.00000
    0.18500  -9.264E-04   3.549E-06     0.00000  -6.024E-04   4.791E-06     0.00000  -8.244E-05   3.549E-06     0.00000
    0.19000  -6.037E-04   1.051E-06     0.00000  -7.971E-04     0.00000     0.00000  -1.195E-04   1.051E-06     0.00000
    0.19500  -1.470E-04     0.00000     0.00000  -7.099E-04  -5.050E-06     0.00000  -4.222E-04     0.00000     0.00000
    0.20000   1.217E-04  -2.897E-06     0.00000  -3.616E-04  -7.108E-06     0.00000  -8.202E-04  -2.897E-06     0.00000
    0.20500   2.285E-04  -9.730E-06     0.00000  -1.194E-05  -1.009E-05     0.00000    -0.00101  -9.730E-06     0.00000
    0.21000   2.986E-04  -1.560E-05     0.00000   1.014E-04  -1.093E-05     0.00000  -7.932E-04  -1.560E-05     0.00000
    0.21500   1.883E-04  -1.661E-05     0.00000  -2.136E-06  -9.006E-06     0.00000  -2.194E-04  -1.661E-05     0.00000
    0.22000  -5.164E-05  -1.722E-05     0.00000  -1.072E-04  -1.051E-05     0.00000   4.344E-04  -1.722E-05     0.00000
    0.22500  -2.412E-04  -1.223E-05     0.00000  -1.987E-05  -9.304E-06     0.00000   8.579E-04  -1.223E-05     0.00000
