 
 ETABS v9.7.3  File:HW1_NODAMPER_V2  Units:Ton-m  May 9, 2018 20:51  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9_A_2F:  Joint 9  Story 2F  Abs Accel  UX
 FUNCTION  Point9_V_2F:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_2F:  Joint 9  Story 2F  Displacement  UX
 FUNCTION  Point9_A_3F:  Joint 9  Story 3F  Abs Accel  UX
 FUNCTION  Point9_V_3F:  Joint 9  Story 3F  Velocity  UX
 FUNCTION  Point9_D_3F:  Joint 9  Story 3F  Displacement  UX
 FUNCTION  Point9_A_RF:  Joint 9  Story RF  Abs Accel  UX
 FUNCTION  Point9_V_RF:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_RF:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
            Point9_A_2F Point9_V_2F Point9_D_2F Point9_A_3F Point9_V_3F Point9_D_3F Point9_A_RF Point9_V_RF Point9_D_RF
    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    0.00500  -5.877E-05   2.563E-06     0.00000   1.639E-05   2.608E-06     0.00000  -3.896E-06   2.563E-06     0.00000
    0.01000  -4.500E-05  -1.418E-06     0.00000   7.935E-06  -1.284E-06     0.00000   2.612E-06  -1.418E-06     0.00000
    0.01500   2.442E-05     0.00000     0.00000  -2.922E-05     0.00000     0.00000   1.278E-05     0.00000     0.00000
    0.02000  -6.320E-06   3.838E-06     0.00000  -2.840E-05   3.645E-06     0.00000   1.057E-05   3.838E-06     0.00000
    0.02500  -1.059E-04   5.486E-06     0.00000   4.090E-06   5.200E-06     0.00000   1.425E-06   5.486E-06     0.00000
    0.03000  -1.822E-04   5.236E-06     0.00000   2.100E-05   5.031E-06     0.00000  -1.572E-06   5.236E-06     0.00000
    0.03500  -2.045E-04   5.001E-06     0.00000     0.00000   4.856E-06     0.00000   7.450E-06   5.001E-06     0.00000
    0.04000  -1.724E-04   4.836E-06     0.00000  -5.421E-05   4.488E-06     0.00000   2.572E-05   4.836E-06     0.00000
    0.04500  -8.606E-05   2.904E-06     0.00000  -1.269E-04   1.931E-06     0.00000   4.439E-05   2.904E-06     0.00000
    0.05000   3.026E-05   3.857E-06     0.00000  -1.928E-04   1.824E-06     0.00000   4.718E-05   3.857E-06     0.00000
    0.05500   4.362E-05   5.670E-06     0.00000  -1.846E-04   2.493E-06     0.00000   1.577E-05   5.670E-06     0.00000
    0.06000   2.489E-05   5.371E-06     0.00000  -1.268E-04   1.453E-06     0.00000  -4.130E-05   5.371E-06     0.00000
    0.06500  -2.623E-05   4.744E-06     0.00000  -3.917E-05     0.00000     0.00000  -1.115E-04   4.744E-06     0.00000
    0.07000  -5.227E-05   3.780E-06     0.00000   3.305E-05     0.00000     0.00000  -1.735E-04   3.780E-06     0.00000
    0.07500  -7.946E-05   4.417E-06     0.00000   7.660E-05   2.448E-06     0.00000  -2.146E-04   4.417E-06     0.00000
    0.08000  -1.031E-04   4.923E-06     0.00000   7.925E-05   4.475E-06     0.00000  -2.248E-04   4.923E-06     0.00000
    0.08500  -1.079E-04   4.530E-06     0.00000   3.438E-05   5.466E-06     0.00000  -2.018E-04   4.530E-06     0.00000
    0.09000  -7.365E-05   3.393E-06     0.00000  -5.456E-05   5.185E-06     0.00000  -1.520E-04   3.393E-06     0.00000
    0.09500  -3.910E-05   4.396E-06     0.00000  -1.544E-04   6.274E-06     0.00000  -9.506E-05   4.396E-06     0.00000
    0.10000  -5.953E-05   4.724E-06     0.00000  -2.182E-04   6.013E-06     0.00000  -5.101E-05   4.724E-06     0.00000
    0.10500  -4.845E-05     0.00000     0.00000  -2.581E-04     0.00000     0.00000  -2.417E-05     0.00000     0.00000
    0.11000   3.666E-05  -3.502E-06     0.00000  -2.838E-04  -4.495E-06     0.00000  -2.072E-05  -3.502E-06     0.00000
    0.11500   1.148E-04  -4.845E-06     0.00000  -2.602E-04  -7.060E-06     0.00000  -5.188E-05  -4.845E-06     0.00000
    0.12000   1.163E-04  -3.638E-06     0.00000  -1.648E-04  -6.535E-06     0.00000  -1.182E-04  -3.638E-06     0.00000
    0.12500   3.632E-05  -4.682E-06     0.00000  -1.439E-05  -7.235E-06     0.00000  -2.005E-04  -4.682E-06     0.00000
    0.13000  -1.130E-05  -6.103E-06     0.00000   1.104E-04  -7.222E-06     0.00000  -2.654E-04  -6.103E-06     0.00000
    0.13500  -7.599E-05  -4.972E-06     0.00000   1.918E-04  -3.893E-06     0.00000  -2.947E-04  -4.972E-06     0.00000
    0.14000  -1.479E-04  -2.000E-06     0.00000   2.068E-04   1.545E-06     0.00000  -2.741E-04  -2.000E-06     0.00000
    0.14500  -2.325E-04  -1.592E-06     0.00000   1.567E-04   4.109E-06     0.00000  -2.005E-04  -1.592E-06     0.00000
    0.15000  -1.862E-04  -4.408E-06     0.00000   4.207E-06   2.439E-06     0.00000  -7.633E-05  -4.408E-06     0.00000
    0.15500  -7.832E-05  -4.687E-06     0.00000  -1.913E-04   1.726E-06     0.00000   6.176E-05  -4.687E-06     0.00000
    0.16000   1.687E-05  -4.330E-06     0.00000  -3.470E-04     0.00000     0.00000   1.712E-04  -4.330E-06     0.00000
    0.16500   4.777E-05  -3.570E-06     0.00000  -4.020E-04  -2.065E-06     0.00000   2.187E-04  -3.570E-06     0.00000
    0.17000  -1.091E-05  -1.826E-06     0.00000  -3.345E-04  -3.270E-06     0.00000   1.923E-04  -1.826E-06     0.00000
    0.17500  -1.773E-04   2.442E-06     0.00000  -1.615E-04  -1.039E-06     0.00000   1.041E-04   2.442E-06     0.00000
    0.18000  -4.116E-04   5.258E-06     0.00000   5.441E-05   1.276E-06     0.00000  -7.148E-06   5.258E-06     0.00000
    0.18500  -5.333E-04   3.822E-06     0.00000   1.889E-04     0.00000     0.00000  -8.729E-05   3.822E-06     0.00000
    0.19000  -4.477E-04   1.203E-06     0.00000   1.679E-04     0.00000     0.00000  -1.059E-04   1.203E-06     0.00000
    0.19500  -1.963E-04     0.00000     0.00000   1.415E-05     0.00000     0.00000  -7.168E-05     0.00000     0.00000
    0.20000   8.376E-05     0.00000     0.00000  -1.728E-04     0.00000     0.00000  -2.310E-05     0.00000     0.00000
    0.20500   3.289E-04  -1.196E-06     0.00000  -3.070E-04  -3.199E-06     0.00000   1.226E-06  -1.196E-06     0.00000
    0.21000   4.928E-04  -2.413E-06     0.00000  -3.323E-04  -6.034E-06     0.00000  -2.834E-05  -2.413E-06     0.00000
    0.21500   4.615E-04  -1.149E-06     0.00000  -1.997E-04  -5.810E-06     0.00000  -1.234E-04  -1.149E-06     0.00000
    0.22000   2.849E-04  -3.264E-06     0.00000   4.401E-05  -7.398E-06     0.00000  -2.528E-04  -3.264E-06     0.00000
    0.22500   8.202E-05  -3.205E-06     0.00000   2.827E-04  -4.947E-06     0.00000  -3.649E-04  -3.205E-06     0.00000
