 
 ETABS v9.7.3  File:HW1_DAMPER_NONLINEAR_03_V2  Units:Ton-m  May 20, 2018 10:24  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9-Accel-X:  Joint 9  Story RF  Acceleration  UX
 FUNCTION  Point9-Displ-X:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION
            Point9-Acce Point9-Disp
    0.00000     0.00182     0.00000
    0.00500  -7.981E-04     0.00000
    0.01000  -7.917E-04     0.00000
    0.01500     0.00109     0.00000
    0.02000   7.069E-04     0.00000
    0.02500  -4.755E-05     0.00000
    0.03000  -5.051E-05     0.00000
    0.03500  -4.147E-05     0.00000
    0.04000  -2.321E-05     0.00000
    0.04500  -7.499E-04     0.00000
    0.05000     0.00113     0.00000
    0.05500  -4.059E-04     0.00000
    0.06000   2.823E-04     0.00000
    0.06500  -5.332E-04     0.00000
    0.07000   1.501E-04     0.00000
    0.07500   1.089E-04     0.00000
    0.08000   9.863E-05     0.00000
    0.08500  -2.509E-04     0.00000
    0.09000  -2.011E-04     0.00000
    0.09500   6.013E-04     0.00000
    0.10000  -4.725E-04     0.00000
    0.10500    -0.00119     0.00000
    0.11000  -4.422E-04     0.00000
    0.11500  -1.008E-04     0.00000
    0.12000   5.781E-04     0.00000
    0.12500  -9.950E-04     0.00000
    0.13000   4.305E-04     0.00000
    0.13500   2.849E-05     0.00000
    0.14000     0.00117     0.00000
    0.14500  -9.951E-04     0.00000
    0.15000  -1.254E-04     0.00000
    0.15500   1.294E-05     0.00000
    0.16000   1.226E-04     0.00000
    0.16500   1.702E-04     0.00000
    0.17000   5.165E-04     0.00000
    0.17500     0.00118     0.00000
    0.18000  -5.580E-05     0.00000
    0.18500  -5.089E-04     0.00000
    0.19000  -5.278E-04     0.00000
    0.19500   2.514E-04     0.00000
    0.20000  -7.274E-05     0.00000
    0.20500  -7.937E-04     0.00000
    0.21000   2.949E-04     0.00000
    0.21500   2.002E-04     0.00000
    0.22000    -0.00105     0.00000
    0.22500     0.00108     0.00000
    0.23000  -4.648E-04     0.00000
    0.23500  -4.111E-04     0.00000
    0.24000   1.191E-04     0.00000
    0.24500  -3.412E-05     0.00000
    0.25000   1.839E-04     0.00000
    0.25500  -4.091E-04     0.00000
    0.26000   3.806E-04     0.00000
    0.26500     0.00105     0.00000
    0.27000  -2.347E-04     0.00000
    0.27500  -4.497E-05     0.00000
    0.28000  -5.551E-04     0.00000
    0.28500  -6.094E-04     0.00000
    0.29000  -2.142E-04     0.00000
    0.29500   2.156E-04     0.00000
    0.30000  -1.144E-04     0.00000
    0.30500  -8.590E-04     0.00000
    0.31000   2.166E-04     0.00000
    0.31500   5.226E-04     0.00000
    0.32000  -2.661E-04     0.00000
    0.32500  -6.045E-04     0.00000
    0.33000  -9.653E-05     0.00000
    0.33500   1.170E-04     0.00000
    0.34000   3.519E-04     0.00000
    0.34500  -2.050E-04     0.00000
    0.35000   2.545E-04     0.00000
    0.35500     0.00171     0.00000
    0.36000   4.174E-04     0.00000
    0.36500  -1.643E-04     0.00000
    0.37000   3.205E-05     0.00000
    0.37500   3.118E-04     0.00000
    0.38000  -4.303E-04     0.00000
    0.38500   7.597E-04     0.00000
    0.39000   4.692E-04     0.00000
    0.39500  -9.732E-04     0.00000
    0.40000   1.369E-04     0.00000
    0.40500  -6.759E-04     0.00000
    0.41000  -3.992E-04     0.00000
    0.41500   6.326E-04     0.00000
    0.42000  -1.502E-04     0.00000
    0.42500  -8.500E-04     0.00000
    0.43000   2.281E-05     0.00000
    0.43500   1.897E-04     0.00000
    0.44000     0.00108     0.00000
    0.44500   7.914E-04     0.00000
    0.45000  -3.251E-04     0.00000
    0.45500   3.608E-04     0.00000
    0.46000  -1.045E-04     0.00000
    0.46500   5.481E-04     0.00000
    0.47000   1.039E-04     0.00000
    0.47500   8.078E-04     0.00000
    0.48000   4.319E-05     0.00000
    0.48500   3.513E-05     0.00000
    0.49000   2.032E-05     0.00000
    0.49500  -3.869E-04     0.00000
    0.50000  -8.149E-04     0.00000
    0.50500   2.323E-04     0.00000
    0.51000  -2.173E-04     0.00000
    0.51500   9.600E-05     0.00000
    0.52000   7.543E-05     0.00000
    0.52500   1.080E-04     0.00000
    0.53000  -1.789E-04     0.00000
    0.53500  -8.012E-04     0.00000
    0.54000   4.417E-04     0.00000
    0.54500   5.208E-04     0.00000
    0.55000  -5.875E-04     0.00000
    0.55500   1.004E-04     0.00000
    0.56000   7.338E-04     0.00000
    0.56500  -5.175E-04     0.00000
    0.57000  -2.551E-04     0.00000
    0.57500  -3.187E-04     0.00000
    0.58000  -7.050E-04     0.00000
    0.58500  -3.137E-04     0.00000
    0.59000  -6.660E-04     0.00000
    0.59500  -2.954E-04     0.00000
    0.60000  -3.293E-04     0.00000
    0.60500   3.638E-04     0.00000
    0.61000  -7.912E-04     0.00000
    0.61500  -2.487E-05     0.00000
    0.62000   4.432E-04     0.00000
    0.62500  -5.098E-04     0.00000
    0.63000  -3.020E-04     0.00000
    0.63500     0.00139     0.00000
    0.64000  -3.627E-04     0.00000
    0.64500   3.474E-05     0.00000
    0.65000   3.330E-04     0.00000
    0.65500     0.00131     0.00000
    0.66000  -7.472E-04     0.00000
    0.66500  -5.218E-04     0.00000
    0.67000  -2.302E-04     0.00000
    0.67500   4.973E-04     0.00000
    0.68000  -5.990E-04     0.00000
    0.68500   1.821E-04     0.00000
    0.69000   9.580E-04     0.00000
    0.69500  -1.679E-04     0.00000
    0.70000  -5.301E-04     0.00000
    0.70500   2.607E-04     0.00000
    0.71000   3.509E-04     0.00000
    0.71500   4.809E-04     0.00000
    0.72000   2.559E-04     0.00000
    0.72500   1.478E-05     0.00000
    0.73000     0.00195     0.00000
    0.73500   8.131E-04     0.00000
    0.74000   7.112E-04     0.00000
    0.74500   9.290E-04     0.00000
    0.75000  -3.554E-04     0.00000
    0.75500   6.223E-04     0.00000
