 
 ETABS v9.7.3  File:HW1_NODAMPER_V1  Units:Ton-m  May 9, 2018 19:10  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9-Accel-X:  Joint 9  Story RF  Acceleration  UX
 FUNCTION  Point9-Displ-X:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION
            Point9-Acce Point9-Disp
    0.00000     0.00182     0.00000
    0.00500  -7.985E-04     0.00000
    0.01000  -7.920E-04     0.00000
    0.01500     0.00109     0.00000
    0.02000   7.071E-04     0.00000
    0.02500  -4.763E-05     0.00000
    0.03000  -5.062E-05     0.00000
    0.03500  -4.160E-05     0.00000
    0.04000  -2.333E-05     0.00000
    0.04500  -7.502E-04     0.00000
    0.05000     0.00113     0.00000
    0.05500  -4.061E-04     0.00000
    0.06000   2.824E-04     0.00000
    0.06500  -5.334E-04     0.00000
    0.07000   1.503E-04     0.00000
    0.07500   1.092E-04     0.00000
    0.08000   9.889E-05     0.00000
    0.08500  -2.508E-04     0.00000
    0.09000  -2.010E-04     0.00000
    0.09500   6.015E-04     0.00000
    0.10000  -4.728E-04     0.00000
    0.10500    -0.00119     0.00000
    0.11000  -4.425E-04     0.00000
    0.11500  -1.009E-04     0.00000
    0.12000   5.784E-04     0.00000
    0.12500  -9.951E-04     0.00000
    0.13000   4.311E-04     0.00000
    0.13500   2.900E-05     0.00000
    0.14000     0.00117     0.00000
    0.14500  -9.951E-04     0.00000
    0.15000  -1.254E-04     0.00000
    0.15500   1.271E-05     0.00000
    0.16000   1.221E-04     0.00000
    0.16500   1.696E-04     0.00000
    0.17000   5.160E-04     0.00000
    0.17500     0.00118     0.00000
    0.18000  -5.620E-05     0.00000
    0.18500  -5.091E-04     0.00000
    0.19000  -5.277E-04     0.00000
    0.19500   2.520E-04     0.00000
    0.20000  -7.215E-05     0.00000
    0.20500  -7.934E-04     0.00000
    0.21000   2.954E-04     0.00000
    0.21500   2.004E-04     0.00000
    0.22000    -0.00105     0.00000
    0.22500     0.00108     0.00000
    0.23000  -4.651E-04     0.00000
    0.23500  -4.113E-04     0.00000
    0.24000   1.191E-04     0.00000
    0.24500  -3.411E-05     0.00000
    0.25000   1.839E-04     0.00000
    0.25500  -4.095E-04     0.00000
    0.26000   3.804E-04     0.00000
    0.26500     0.00105     0.00000
    0.27000  -2.350E-04     0.00000
    0.27500  -4.508E-05     0.00000
    0.28000  -5.551E-04     0.00000
    0.28500  -6.092E-04     0.00000
    0.29000  -2.138E-04     0.00000
    0.29500   2.163E-04     0.00000
    0.30000  -1.140E-04     0.00000
    0.30500  -8.590E-04     0.00000
    0.31000   2.168E-04     0.00000
    0.31500   5.227E-04     0.00000
    0.32000  -2.664E-04     0.00000
    0.32500  -6.050E-04     0.00000
    0.33000  -9.688E-05     0.00000
    0.33500   1.167E-04     0.00000
    0.34000   3.518E-04     0.00000
    0.34500  -2.052E-04     0.00000
    0.35000   2.546E-04     0.00000
    0.35500     0.00171     0.00000
    0.36000   4.177E-04     0.00000
    0.36500  -1.642E-04     0.00000
    0.37000   3.209E-05     0.00000
    0.37500   3.118E-04     0.00000
    0.38000  -4.308E-04     0.00000
    0.38500   7.595E-04     0.00000
    0.39000   4.689E-04     0.00000
    0.39500  -9.739E-04     0.00000
    0.40000   1.368E-04     0.00000
    0.40500  -6.760E-04     0.00000
    0.41000  -3.990E-04     0.00000
    0.41500   6.334E-04     0.00000
    0.42000  -1.496E-04     0.00000
    0.42500  -8.498E-04     0.00000
    0.43000   2.319E-05     0.00000
    0.43500   1.899E-04     0.00000
    0.44000     0.00108     0.00000
    0.44500   7.914E-04     0.00000
    0.45000  -3.257E-04     0.00000
    0.45500   3.603E-04     0.00000
    0.46000  -1.052E-04     0.00000
    0.46500   5.477E-04     0.00000
    0.47000   1.034E-04     0.00000
    0.47500   8.077E-04     0.00000
    0.48000   4.309E-05     0.00000
    0.48500   3.528E-05     0.00000
    0.49000   2.070E-05     0.00000
    0.49500  -3.865E-04     0.00000
    0.50000  -8.145E-04     0.00000
    0.50500   2.330E-04     0.00000
    0.51000  -2.169E-04     0.00000
    0.51500   9.631E-05     0.00000
    0.52000   7.549E-05     0.00000
    0.52500   1.079E-04     0.00000
    0.53000  -1.793E-04     0.00000
    0.53500  -8.019E-04     0.00000
    0.54000   4.414E-04     0.00000
    0.54500   5.206E-04     0.00000
    0.55000  -5.880E-04     0.00000
    0.55500   1.002E-04     0.00000
    0.56000   7.340E-04     0.00000
    0.56500  -5.175E-04     0.00000
    0.57000  -2.548E-04     0.00000
    0.57500  -3.183E-04     0.00000
    0.58000  -7.047E-04     0.00000
    0.58500  -3.132E-04     0.00000
    0.59000  -6.658E-04     0.00000
    0.59500  -2.953E-04     0.00000
    0.60000  -3.294E-04     0.00000
    0.60500   3.637E-04     0.00000
    0.61000  -7.917E-04     0.00000
    0.61500  -2.511E-05     0.00000
    0.62000   4.432E-04     0.00000
    0.62500  -5.100E-04     0.00000
    0.63000  -3.021E-04     0.00000
    0.63500     0.00139     0.00000
    0.64000  -3.629E-04     0.00000
    0.64500   3.461E-05     0.00000
    0.65000   3.330E-04     0.00000
    0.65500     0.00131     0.00000
    0.66000  -7.474E-04     0.00000
    0.66500  -5.219E-04     0.00000
    0.67000  -2.301E-04     0.00000
    0.67500   4.976E-04     0.00000
    0.68000  -5.991E-04     0.00000
    0.68500   1.822E-04     0.00000
    0.69000   9.583E-04     0.00000
    0.69500  -1.680E-04     0.00000
    0.70000  -5.303E-04     0.00000
    0.70500   2.608E-04     0.00000
    0.71000   3.510E-04     0.00000
    0.71500   4.810E-04     0.00000
    0.72000   2.558E-04     0.00000
    0.72500   1.455E-05     0.00000
    0.73000     0.00195     0.00000
    0.73500   8.131E-04     0.00000
    0.74000   7.112E-04     0.00000
    0.74500   9.290E-04     0.00000
    0.75000  -3.558E-04     0.00000
    0.75500   6.222E-04     0.00000
    0.76000  -2.282E-04     0.00000
