 
 ETABS v9.7.3  File:HW1_DAMPER_NONLINEAR07_V3  Units:Ton-m  May 21, 2018 22:07  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9_A_2F:  Joint 9  Story 2F  Abs Accel  UX
 FUNCTION  Point9_V_2F:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_2F:  Joint 9  Story 2F  Displacement  UX
 FUNCTION  Point9_A_3F:  Joint 9  Story 3F  Abs Accel  UX
 FUNCTION  Point9_V_3F:  Joint 9  Story 3F  Velocity  UX
 FUNCTION  Point9_D_3F:  Joint 9  Story 3F  Displacement  UX
 FUNCTION  Point9_A_RF:  Joint 9  Story RF  Abs Accel  UX
 FUNCTION  Point9_V_RF:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_RF:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
            Point9_A_2F Point9_V_2F Point9_D_2F Point9_A_3F Point9_V_3F Point9_D_3F Point9_A_RF Point9_V_RF Point9_D_RF
    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    0.00500  -1.082E-04   3.920E-06     0.00000  -7.247E-06   3.912E-06     0.00000  -1.345E-06   3.920E-06     0.00000
    0.01000  -2.601E-04   4.815E-06     0.00000  -4.826E-05   4.702E-06     0.00000  -4.992E-06   4.815E-06     0.00000
    0.01500  -3.009E-04   5.650E-06     0.00000  -1.411E-04   5.154E-06     0.00000  -2.977E-05   5.650E-06     0.00000
    0.02000  -2.831E-04   6.252E-06     0.00000  -2.490E-04   5.080E-06     0.00000  -1.023E-04   6.252E-06     0.00000
    0.02500  -1.821E-04   4.845E-06     0.00000  -3.158E-04   3.053E-06     0.00000  -2.337E-04   4.845E-06     0.00000
    0.03000  -5.720E-05   2.685E-06     0.00000  -3.095E-04     0.00000     0.00000  -3.950E-04   2.685E-06     0.00000
    0.03500   2.299E-05     0.00000     0.00000  -2.469E-04  -1.123E-06     0.00000  -5.160E-04     0.00000     0.00000
    0.04000   3.363E-05  -3.460E-06     0.00000  -1.809E-04  -2.771E-06     0.00000  -5.232E-04  -3.460E-06     0.00000
    0.04500  -6.272E-05  -3.372E-06     0.00000  -1.546E-04  -1.161E-06     0.00000  -3.912E-04  -3.372E-06     0.00000
    0.05000  -3.024E-04  -3.874E-06     0.00000  -1.783E-04  -1.067E-06     0.00000  -1.640E-04  -3.874E-06     0.00000
    0.05500  -3.515E-04  -6.229E-06     0.00000  -2.283E-04  -4.194E-06     0.00000   5.409E-05  -6.229E-06     0.00000
    0.06000  -2.317E-04  -6.231E-06     0.00000  -2.256E-04  -5.958E-06     0.00000   1.550E-04  -6.231E-06     0.00000
    0.06500  -2.673E-06  -7.636E-06     0.00000  -1.038E-04  -8.943E-06     0.00000   1.047E-04  -7.636E-06     0.00000
    0.07000   2.577E-04  -6.524E-06     0.00000   1.143E-04  -8.032E-06     0.00000  -2.554E-05  -6.524E-06     0.00000
    0.07500   2.736E-04  -4.449E-06     0.00000   3.193E-04  -4.484E-06     0.00000  -9.326E-05  -4.449E-06     0.00000
    0.08000   2.512E-04  -6.848E-06     0.00000   3.782E-04  -4.773E-06     0.00000   7.841E-06  -6.848E-06     0.00000
    0.08500   2.199E-04  -2.337E-06     0.00000   2.806E-04     0.00000     0.00000   2.503E-04  -2.337E-06     0.00000
    0.09000  -1.542E-04   4.983E-06     0.00000   1.389E-04   7.284E-06     0.00000   4.972E-04   4.983E-06     0.00000
    0.09500  -4.388E-04   7.206E-06     0.00000   2.046E-05   7.080E-06     0.00000   5.912E-04   7.206E-06     0.00000
    0.10000  -4.634E-04   1.081E-05     0.00000  -6.254E-05   7.867E-06     0.00000   4.445E-04   1.081E-05     0.00000
    0.10500  -3.100E-04   1.311E-05     0.00000  -1.161E-04   8.320E-06     0.00000   8.962E-05   1.311E-05     0.00000
    0.11000  -1.592E-05   1.188E-05     0.00000  -1.642E-04   7.033E-06     0.00000  -3.466E-04   1.188E-05     0.00000
    0.11500   1.735E-04   1.309E-05     0.00000  -2.228E-04   9.972E-06     0.00000  -7.033E-04   1.309E-05     0.00000
    0.12000  -2.846E-05   1.148E-05     0.00000  -3.133E-04   1.103E-05     0.00000  -8.549E-04   1.148E-05     0.00000
    0.12500  -2.856E-04   6.690E-06     0.00000  -4.706E-04   8.488E-06     0.00000  -7.833E-04   6.690E-06     0.00000
    0.13000  -5.792E-04   4.150E-06     0.00000  -6.588E-04   6.566E-06     0.00000  -5.877E-04   4.150E-06     0.00000
    0.13500  -7.543E-04   1.078E-06     0.00000  -7.869E-04   2.319E-06     0.00000  -4.229E-04   1.078E-06     0.00000
    0.14000  -7.362E-04  -1.507E-06     0.00000  -7.823E-04  -2.255E-06     0.00000  -4.041E-04  -1.507E-06     0.00000
    0.14500  -5.105E-04  -5.910E-06     0.00000  -6.406E-04  -7.969E-06     0.00000  -5.307E-04  -5.910E-06     0.00000
    0.15000  -7.224E-05  -1.261E-05     0.00000  -4.192E-04  -1.427E-05     0.00000  -6.904E-04  -1.261E-05     0.00000
    0.15500   4.216E-04  -1.987E-05     0.00000  -1.710E-04  -1.938E-05     0.00000  -7.279E-04  -1.987E-05     0.00000
    0.16000   7.523E-04  -2.523E-05     0.00000   9.139E-05  -2.169E-05     0.00000  -5.307E-04  -2.523E-05     0.00000
    0.16500   7.071E-04  -2.594E-05     0.00000   3.639E-04  -1.965E-05     0.00000  -7.845E-05  -2.594E-05     0.00000
    0.17000   3.241E-04  -2.390E-05     0.00000   5.961E-04  -1.631E-05     0.00000   5.492E-04  -2.390E-05     0.00000
    0.17500  -8.073E-05  -1.711E-05     0.00000   7.170E-04  -1.054E-05     0.00000     0.00118  -1.711E-05     0.00000
    0.18000  -3.997E-04  -4.616E-06     0.00000   7.113E-04  -1.477E-06     0.00000     0.00159  -4.616E-06     0.00000
    0.18500  -4.445E-04   6.039E-06     0.00000   6.162E-04   4.294E-06     0.00000     0.00163   6.039E-06     0.00000
    0.19000  -7.421E-05   1.429E-05     0.00000   4.980E-04   7.980E-06     0.00000     0.00124   1.429E-05     0.00000
    0.19500   4.338E-04   1.979E-05     0.00000   4.255E-04   1.117E-05     0.00000   5.612E-04   1.979E-05     0.00000
    0.20000   8.661E-04   1.863E-05     0.00000   3.990E-04   1.111E-05     0.00000  -1.648E-04   1.863E-05     0.00000
    0.20500     0.00106   1.432E-05     0.00000   3.508E-04   1.091E-05     0.00000  -6.530E-04   1.432E-05     0.00000
    0.21000   8.147E-04   1.010E-05     0.00000   2.164E-04   1.178E-05     0.00000  -7.279E-04   1.010E-05     0.00000
    0.21500   2.147E-04   6.517E-06     0.00000  -1.468E-05   1.173E-05     0.00000  -4.210E-04   6.517E-06     0.00000
    0.22000  -5.034E-04   6.476E-06     0.00000  -2.917E-04   1.187E-05     0.00000   4.292E-05   6.476E-06     0.00000
    0.22500    -0.00109   8.522E-06     0.00000  -5.292E-04   1.069E-05     0.00000   3.659E-04   8.522E-06     0.00000
