 
 ETABS v9.7.3  File:HW1_NODAMPER_V2  Units:Ton-m  May 9, 2018 20:51  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9_A_2F:  Joint 9  Story 2F  Abs Accel  UX
 FUNCTION  Point9_V_2F:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_2F:  Joint 9  Story 2F  Displacement  UX
 FUNCTION  Point9_A_3F:  Joint 9  Story 3F  Abs Accel  UX
 FUNCTION  Point9_V_3F:  Joint 9  Story 3F  Velocity  UX
 FUNCTION  Point9_D_3F:  Joint 9  Story 3F  Displacement  UX
 FUNCTION  Point9_A_RF:  Joint 9  Story RF  Abs Accel  UX
 FUNCTION  Point9_V_RF:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_RF:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
            Point9_A_2F Point9_V_2F Point9_D_2F Point9_A_3F Point9_V_3F Point9_D_3F Point9_A_RF Point9_V_RF Point9_D_RF
    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    0.00500  -5.860E-05   3.914E-06     0.00000   1.501E-05   3.950E-06     0.00000  -4.444E-06   3.914E-06     0.00000
    0.01000  -1.476E-04   4.793E-06     0.00000   3.563E-05   4.991E-06     0.00000  -5.321E-06   4.793E-06     0.00000
    0.01500  -2.031E-04   5.696E-06     0.00000   2.592E-05   6.066E-06     0.00000   5.474E-06   5.696E-06     0.00000
    0.02000  -2.370E-04   6.680E-06     0.00000  -1.185E-05   7.021E-06     0.00000   2.694E-05   6.680E-06     0.00000
    0.02500  -2.118E-04   6.298E-06     0.00000  -8.225E-05   6.209E-06     0.00000   5.610E-05   6.298E-06     0.00000
    0.03000  -1.392E-04   6.055E-06     0.00000  -1.658E-04   4.999E-06     0.00000   7.990E-05   6.055E-06     0.00000
    0.03500  -5.204E-05   5.883E-06     0.00000  -2.288E-04   3.408E-06     0.00000   8.208E-05   5.883E-06     0.00000
    0.04000   1.857E-05   5.642E-06     0.00000  -2.430E-04   1.616E-06     0.00000   5.062E-05   5.642E-06     0.00000
    0.04500   2.563E-05   8.165E-06     0.00000  -1.912E-04   2.926E-06     0.00000  -1.890E-05   8.165E-06     0.00000
    0.05000  -6.596E-05   8.743E-06     0.00000  -7.269E-05   3.161E-06     0.00000  -1.142E-04   8.743E-06     0.00000
    0.05500  -1.040E-04   5.838E-06     0.00000   2.615E-05     0.00000     0.00000  -2.006E-04   5.838E-06     0.00000
    0.06000  -8.232E-05   4.086E-06     0.00000   7.017E-05     0.00000     0.00000  -2.590E-04   4.086E-06     0.00000
    0.06500   8.497E-06     0.00000     0.00000   4.985E-05  -1.147E-06     0.00000  -2.792E-04     0.00000     0.00000
    0.07000   1.435E-04     0.00000     0.00000  -2.103E-05     0.00000     0.00000  -2.688E-04     0.00000     0.00000
    0.07500   1.788E-04   1.275E-06     0.00000  -6.762E-05   2.029E-06     0.00000  -2.495E-04   1.275E-06     0.00000
    0.08000   1.808E-04  -2.021E-06     0.00000  -9.263E-05     0.00000     0.00000  -2.244E-04  -2.021E-06     0.00000
    0.08500   1.327E-04     0.00000     0.00000  -9.611E-05   2.919E-06     0.00000  -2.028E-04     0.00000     0.00000
    0.09000  -1.134E-04   5.249E-06     0.00000  -2.572E-05   8.016E-06     0.00000  -1.916E-04   5.249E-06     0.00000
    0.09500  -3.438E-04   3.768E-06     0.00000   2.336E-05   7.450E-06     0.00000  -1.603E-04   3.768E-06     0.00000
    0.10000  -4.793E-04   4.021E-06     0.00000  -8.765E-06   8.429E-06     0.00000  -9.615E-05   4.021E-06     0.00000
    0.10500  -5.278E-04   4.668E-06     0.00000  -1.163E-04   9.053E-06     0.00000  -4.475E-06   4.668E-06     0.00000
    0.11000  -4.640E-04   4.312E-06     0.00000  -2.820E-04   7.484E-06     0.00000   9.689E-05   4.312E-06     0.00000
    0.11500  -3.725E-04   8.902E-06     0.00000  -4.404E-04   9.551E-06     0.00000   1.704E-04   8.902E-06     0.00000
    0.12000  -3.798E-04   1.219E-05     0.00000  -5.015E-04   9.535E-06     0.00000   1.834E-04   1.219E-05     0.00000
    0.12500  -3.654E-04   1.240E-05     0.00000  -4.941E-04   6.406E-06     0.00000   1.359E-04   1.240E-05     0.00000
    0.13000  -3.728E-04   1.374E-05     0.00000  -4.149E-04   5.015E-06     0.00000   2.978E-05   1.374E-05     0.00000
    0.13500  -3.539E-04   1.296E-05     0.00000  -3.015E-04   2.632E-06     0.00000  -1.118E-04   1.296E-05     0.00000
    0.14000  -2.814E-04   1.143E-05     0.00000  -1.960E-04     0.00000     0.00000  -2.624E-04   1.143E-05     0.00000
    0.14500  -1.358E-04   7.664E-06     0.00000  -1.285E-04  -2.089E-06     0.00000  -3.977E-04   7.664E-06     0.00000
    0.15000   1.083E-04   1.771E-06     0.00000  -1.184E-04  -6.313E-06     0.00000  -5.023E-04   1.771E-06     0.00000
    0.15500   4.044E-04  -4.570E-06     0.00000  -1.416E-04  -1.059E-05     0.00000  -5.782E-04  -4.570E-06     0.00000
    0.16000   6.647E-04  -9.723E-06     0.00000  -1.479E-04  -1.344E-05     0.00000  -6.380E-04  -9.723E-06     0.00000
    0.16500   7.687E-04  -1.215E-05     0.00000  -8.149E-05  -1.315E-05     0.00000  -6.935E-04  -1.215E-05     0.00000
    0.17000   6.693E-04  -1.482E-05     0.00000   6.798E-05  -1.230E-05     0.00000  -7.367E-04  -1.482E-05     0.00000
    0.17500   4.275E-04  -1.611E-05     0.00000   2.393E-04  -9.098E-06     0.00000  -7.397E-04  -1.611E-05     0.00000
    0.18000   4.914E-05  -1.423E-05     0.00000   3.787E-04  -2.080E-06     0.00000  -6.739E-04  -1.423E-05     0.00000
    0.18500  -3.401E-04  -1.481E-05     0.00000   4.020E-04   2.369E-06     0.00000  -5.074E-04  -1.481E-05     0.00000
    0.19000  -5.745E-04  -1.579E-05     0.00000   2.330E-04   4.945E-06     0.00000  -2.313E-04  -1.579E-05     0.00000
    0.19500  -6.542E-04  -1.518E-05     0.00000  -9.270E-05   6.252E-06     0.00000   1.163E-04  -1.518E-05     0.00000
    0.20000  -5.785E-04  -1.582E-05     0.00000  -4.886E-04   2.697E-06     0.00000   4.693E-04  -1.582E-05     0.00000
    0.20500  -4.073E-04  -1.484E-05     0.00000  -8.310E-04  -2.766E-06     0.00000   7.436E-04  -1.484E-05     0.00000
    0.21000  -2.863E-04  -1.134E-05     0.00000  -9.766E-04  -7.977E-06     0.00000   8.622E-04  -1.134E-05     0.00000
    0.21500  -2.782E-04  -7.711E-06     0.00000  -8.607E-04  -1.327E-05     0.00000   7.937E-04  -7.711E-06     0.00000
    0.22000  -3.740E-04  -3.360E-06     0.00000  -5.181E-04  -1.588E-05     0.00000   5.608E-04  -3.360E-06     0.00000
    0.22500  -5.131E-04     0.00000     0.00000  -5.944E-05  -1.643E-05     0.00000   2.343E-04     0.00000     0.00000
