 
 ETABS v9.7.3  File:HW1_DAMPER_NONLINEAR_03_V2  Units:Ton-m  May 20, 2018 10:24  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9-Accel-X:  Joint 9  Story RF  Acceleration  UX
 FUNCTION  Point9-Displ-X:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION
            Point9-Acce Point9-Disp
    0.00000     0.00109     0.00000
    0.00500   4.762E-04     0.00000
    0.01000  -1.229E-04     0.00000
    0.01500   4.861E-04     0.00000
    0.02000  -9.061E-05     0.00000
    0.02500  -6.142E-05     0.00000
    0.03000  -3.762E-05     0.00000
    0.03500  -3.546E-05     0.00000
    0.04000  -6.697E-05     0.00000
    0.04500     0.00107     0.00000
    0.05000  -8.399E-04     0.00000
    0.05500  -3.184E-04     0.00000
    0.06000  -3.769E-04     0.00000
    0.06500    -0.00101     0.00000
    0.07000   8.195E-04     0.00000
    0.07500  -3.675E-04     0.00000
    0.08000  -9.502E-04     0.00000
    0.08500     0.00208     0.00000
    0.09000  -3.091E-04     0.00000
    0.09500  -2.777E-04     0.00000
    0.10000   3.848E-04     0.00000
    0.10500  -1.218E-04     0.00000
    0.11000  -2.043E-05     0.00000
    0.11500     0.00185     0.00000
    0.12000  -5.420E-04     0.00000
    0.12500   6.167E-04     0.00000
    0.13000  -8.773E-05     0.00000
    0.13500  -2.294E-04     0.00000
    0.14000  -3.802E-04     0.00000
    0.14500    -0.00112     0.00000
    0.15000    -0.00123     0.00000
    0.15500    -0.00130     0.00000
    0.16000  -7.562E-04     0.00000
    0.16500  -2.134E-04     0.00000
    0.17000  -8.547E-04     0.00000
    0.17500   3.486E-04     0.00000
    0.18000   4.145E-04     0.00000
    0.18500  -6.251E-04     0.00000
    0.19000   2.494E-04     0.00000
    0.19500     0.00000     0.00000
    0.20000  -2.557E-04     0.00000
    0.20500   6.268E-04     0.00000
    0.21000   7.454E-04     0.00000
    0.21500   6.767E-04     0.00000
    0.22000     0.00104     0.00000
    0.22500   1.167E-04     0.00000
    0.23000  -2.062E-04     0.00000
    0.23500    -0.00105     0.00000
    0.24000  -5.595E-04     0.00000
    0.24500   2.436E-05     0.00000
    0.25000  -5.363E-04     0.00000
    0.25500  -4.910E-04     0.00000
    0.26000    -0.00107     0.00000
    0.26500  -4.401E-04     0.00000
    0.27000  -4.000E-04     0.00000
    0.27500  -3.009E-04     0.00000
    0.28000  -7.212E-04     0.00000
    0.28500     0.00136     0.00000
    0.29000   4.683E-04     0.00000
    0.29500   1.573E-04  -1.051E-06
    0.30000  -2.171E-04  -1.148E-06
    0.30500  -1.205E-04  -1.249E-06
    0.31000   4.133E-04  -1.350E-06
    0.31500   7.991E-04  -1.442E-06
    0.32000   4.701E-04  -1.516E-06
    0.32500    -0.00108  -1.584E-06
    0.33000   4.569E-04  -1.666E-06
    0.33500  -2.794E-04  -1.746E-06
    0.34000   9.369E-04  -1.825E-06
    0.34500  -7.407E-04  -1.894E-06
    0.35000   9.239E-05  -1.970E-06
    0.35500   9.403E-04  -2.044E-06
    0.36000  -6.387E-04  -2.105E-06
    0.36500   1.425E-04  -2.172E-06
    0.37000   8.799E-04  -2.235E-06
    0.37500   9.609E-04  -2.279E-06
    0.38000     0.00161  -2.296E-06
    0.38500     0.00104  -2.279E-06
    0.39000   4.662E-04  -2.235E-06
    0.39500     0.00229  -2.170E-06
    0.40000     0.00164  -2.057E-06
    0.40500   9.268E-04  -1.904E-06
    0.41000   7.428E-04  -1.725E-06
    0.41500   5.033E-04  -1.527E-06
    0.42000   8.335E-04  -1.315E-06
    0.42500     0.00177  -1.079E-06
    0.43000  -2.494E-04     0.00000
    0.43500   8.256E-04     0.00000
    0.44000    -0.00102     0.00000
    0.44500   2.416E-04     0.00000
    0.45000   9.368E-04     0.00000
    0.45500  -2.039E-04     0.00000
    0.46000  -1.896E-04     0.00000
    0.46500  -2.397E-04   1.149E-06
    0.47000  -9.542E-04   1.424E-06
    0.47500  -4.880E-04   1.680E-06
    0.48000  -6.480E-04   1.922E-06
    0.48500  -2.133E-04   2.150E-06
    0.49000  -9.697E-04   2.367E-06
    0.49500    -0.00172   2.561E-06
    0.50000  -6.393E-04   2.719E-06
    0.50500  -1.528E-04   2.858E-06
    0.51000    -0.00208   2.984E-06
    0.51500  -9.429E-04   3.070E-06
    0.52000   8.327E-04   3.135E-06
    0.52500    -0.00154   3.204E-06
    0.53000    -0.00143   3.244E-06
    0.53500    -0.00124   3.249E-06
    0.54000    -0.00102   3.223E-06
    0.54500    -0.00202   3.167E-06
    0.55000    -0.00130   3.067E-06
    0.55500  -6.856E-04   2.934E-06
    0.56000  -8.018E-04   2.782E-06
    0.56500    -0.00160   2.607E-06
    0.57000   6.011E-04   2.404E-06
    0.57500    -0.00133   2.199E-06
    0.58000    -0.00193   1.966E-06
    0.58500  -5.609E-04   1.692E-06
    0.59000  -8.900E-04   1.398E-06
    0.59500  -5.813E-04   1.084E-06
    0.60000   2.903E-04     0.00000
    0.60500  -1.161E-04     0.00000
    0.61000  -6.086E-04     0.00000
    0.61500     0.00128     0.00000
    0.62000   7.497E-04     0.00000
    0.62500   2.833E-04     0.00000
    0.63000   4.893E-04  -1.112E-06
    0.63500   7.405E-04  -1.381E-06
    0.64000  -2.322E-04  -1.638E-06
    0.64500   5.098E-04  -1.892E-06
    0.65000     0.00171  -2.132E-06
    0.65500   9.317E-04  -2.337E-06
    0.66000   4.657E-05  -2.519E-06
    0.66500   9.768E-04  -2.693E-06
    0.67000   2.024E-04  -2.849E-06
    0.67500  -4.087E-04  -2.999E-06
    0.68000   3.775E-04  -3.155E-06
    0.68500  -5.296E-04  -3.308E-06
    0.69000   3.936E-04  -3.467E-06
    0.69500     0.00245  -3.612E-06
    0.70000     0.00194  -3.705E-06
    0.70500   7.058E-04  -3.753E-06
    0.71000     0.00125  -3.776E-06
    0.71500   6.167E-04  -3.772E-06
