 
 ETABS v9.7.3  File:HW1_DAMPER_NONLINEAR_03_V2  Units:Ton-m  May 21, 2018 21:52  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9_A_2F:  Joint 9  Story 2F  Abs Accel  UX
 FUNCTION  Point9_V_2F:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_2F:  Joint 9  Story 2F  Displacement  UX
 FUNCTION  Point9_A_3F:  Joint 9  Story 3F  Abs Accel  UX
 FUNCTION  Point9_V_3F:  Joint 9  Story 3F  Velocity  UX
 FUNCTION  Point9_D_3F:  Joint 9  Story 3F  Displacement  UX
 FUNCTION  Point9_A_RF:  Joint 9  Story RF  Abs Accel  UX
 FUNCTION  Point9_V_RF:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_RF:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
            Point9_A_2F Point9_V_2F Point9_D_2F Point9_A_3F Point9_V_3F Point9_D_3F Point9_A_RF Point9_V_RF Point9_D_RF
    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    0.00500  -9.375E-05   2.569E-06     0.00000     0.00000   2.571E-06     0.00000  -1.722E-06   2.569E-06     0.00000
    0.01000  -3.552E-05  -1.411E-06     0.00000  -1.134E-05  -1.423E-06     0.00000     0.00000  -1.411E-06     0.00000
    0.01500   8.060E-05     0.00000     0.00000  -3.083E-05     0.00000     0.00000  -1.095E-06     0.00000     0.00000
    0.02000  -1.977E-05   3.715E-06     0.00000  -2.130E-05   3.473E-06     0.00000  -9.093E-06   3.715E-06     0.00000
    0.02500  -1.859E-04   5.260E-06     0.00000  -1.846E-06   5.041E-06     0.00000  -1.955E-05   5.260E-06     0.00000
    0.03000  -2.377E-04   4.906E-06     0.00000  -2.189E-05   4.758E-06     0.00000  -2.277E-05   4.906E-06     0.00000
    0.03500  -1.891E-04   4.548E-06     0.00000  -7.940E-05   4.267E-06     0.00000  -2.248E-05   4.548E-06     0.00000
    0.04000  -1.042E-04   4.173E-06     0.00000  -1.323E-04   3.482E-06     0.00000  -3.208E-05   4.173E-06     0.00000
    0.04500  -3.541E-06   1.846E-06     0.00000  -1.477E-04     0.00000     0.00000  -5.711E-05   1.846E-06     0.00000
    0.05000   8.754E-05   2.189E-06     0.00000  -1.239E-04     0.00000     0.00000  -9.119E-05   2.189E-06     0.00000
    0.05500  -1.256E-06   3.297E-06     0.00000  -6.928E-05   1.825E-06     0.00000  -1.204E-04   3.297E-06     0.00000
    0.06000  -5.160E-05   2.417E-06     0.00000  -2.880E-05   1.351E-06     0.00000  -1.297E-04   2.417E-06     0.00000
    0.06500  -8.034E-05   1.549E-06     0.00000  -2.834E-05     0.00000     0.00000  -1.160E-04   1.549E-06     0.00000
    0.07000  -4.248E-05     0.00000     0.00000  -5.501E-05     0.00000     0.00000  -9.131E-05     0.00000     0.00000
    0.07500  -5.438E-05   1.999E-06     0.00000  -7.783E-05   1.809E-06     0.00000  -7.245E-05   1.999E-06     0.00000
    0.08000  -1.152E-04   3.275E-06     0.00000  -8.276E-05   3.021E-06     0.00000  -6.680E-05   3.275E-06     0.00000
    0.08500  -1.736E-04   3.621E-06     0.00000  -8.456E-05   3.292E-06     0.00000  -7.028E-05   3.621E-06     0.00000
    0.09000  -1.675E-04   3.009E-06     0.00000  -9.901E-05   2.594E-06     0.00000  -7.654E-05   3.009E-06     0.00000
    0.09500  -1.471E-04   4.225E-06     0.00000  -1.215E-04   3.661E-06     0.00000  -8.562E-05   4.225E-06     0.00000
    0.10000  -1.730E-04   4.450E-06     0.00000  -1.353E-04   3.701E-06     0.00000  -9.928E-05   4.450E-06     0.00000
    0.10500  -7.318E-05     0.00000     0.00000  -1.442E-04     0.00000     0.00000  -1.138E-04     0.00000     0.00000
    0.11000   1.573E-04  -4.629E-06     0.00000  -1.430E-04  -5.672E-06     0.00000  -1.260E-04  -4.629E-06     0.00000
    0.11500   3.078E-04  -6.463E-06     0.00000  -9.762E-05  -7.475E-06     0.00000  -1.359E-04  -6.463E-06     0.00000
    0.12000   2.782E-04  -5.533E-06     0.00000  -4.122E-06  -6.124E-06     0.00000  -1.375E-04  -5.533E-06     0.00000
    0.12500   1.253E-04  -6.425E-06     0.00000   9.241E-05  -6.136E-06     0.00000  -1.158E-04  -6.425E-06     0.00000
    0.13000   6.615E-05  -7.129E-06     0.00000   1.315E-04  -5.791E-06     0.00000  -6.348E-05  -7.129E-06     0.00000
    0.13500  -4.171E-05  -4.726E-06     0.00000   1.148E-04  -2.610E-06     0.00000   5.018E-06  -4.726E-06     0.00000
    0.14000  -1.832E-04     0.00000     0.00000   6.953E-05   2.275E-06     0.00000   6.445E-05     0.00000     0.00000
    0.14500  -3.490E-04   1.908E-06     0.00000   1.119E-05   4.100E-06     0.00000   9.857E-05   1.908E-06     0.00000
    0.15000  -2.739E-04     0.00000     0.00000  -6.538E-05   1.862E-06     0.00000   1.036E-04     0.00000     0.00000
    0.15500  -1.291E-04     0.00000     0.00000  -1.298E-04   1.112E-06     0.00000   7.779E-05     0.00000     0.00000
    0.16000  -1.539E-05     0.00000     0.00000  -1.401E-04     0.00000     0.00000   2.566E-05     0.00000     0.00000
    0.16500   4.236E-05     0.00000     0.00000  -1.001E-04     0.00000     0.00000  -3.502E-05     0.00000     0.00000
    0.17000   4.132E-05     0.00000     0.00000  -4.326E-05     0.00000     0.00000  -8.138E-05     0.00000     0.00000
    0.17500  -5.882E-05   3.716E-06     0.00000  -3.360E-06   3.038E-06     0.00000  -1.004E-04   3.716E-06     0.00000
    0.18000  -2.347E-04   5.799E-06     0.00000  -2.170E-06   5.619E-06     0.00000  -9.235E-05   5.799E-06     0.00000
    0.18500  -2.669E-04   4.217E-06     0.00000  -5.459E-05   4.322E-06     0.00000  -6.843E-05   4.217E-06     0.00000
    0.19000  -1.405E-04   1.821E-06     0.00000  -1.342E-04   1.739E-06     0.00000  -4.882E-05   1.821E-06     0.00000
    0.19500   6.386E-06   1.334E-06     0.00000  -1.800E-04     0.00000     0.00000  -5.316E-05   1.334E-06     0.00000
    0.20000   3.472E-05   1.688E-06     0.00000  -1.571E-04     0.00000     0.00000  -8.278E-05   1.688E-06     0.00000
    0.20500   4.385E-05     0.00000     0.00000  -9.359E-05  -2.241E-06     0.00000  -1.166E-04     0.00000     0.00000
    0.21000   1.056E-04  -2.732E-06     0.00000  -3.845E-05  -3.739E-06     0.00000  -1.320E-04  -2.732E-06     0.00000
    0.21500   7.402E-05  -1.761E-06     0.00000     0.00000  -2.213E-06     0.00000  -1.233E-04  -1.761E-06     0.00000
    0.22000   2.307E-05  -3.492E-06     0.00000   2.107E-05  -3.329E-06     0.00000  -9.544E-05  -3.492E-06     0.00000
    0.22500   2.559E-05  -2.260E-06     0.00000   1.666E-05  -1.607E-06     0.00000  -5.915E-05  -2.260E-06     0.00000
