 
 ETABS v9.7.3  File:HW1_DAMPER_NONLINEAR_03_V2  Units:Ton-m  May 21, 2018 21:53  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9-Accel-X:  Joint 9  Story RF  Acceleration  UX
 FUNCTION  Point9-Displ-X:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION
            Point9-Acce Point9-Disp
    0.00000     0.00182     0.00000
    0.00500  -7.963E-04     0.00000
    0.01000  -7.954E-04     0.00000
    0.01500     0.00108     0.00000
    0.02000   6.874E-04     0.00000
    0.02500  -6.860E-05     0.00000
    0.03000  -7.182E-05     0.00000
    0.03500  -7.153E-05     0.00000
    0.04000  -8.113E-05     0.00000
    0.04500  -8.517E-04     0.00000
    0.05000   9.879E-04     0.00000
    0.05500  -5.422E-04     0.00000
    0.06000   1.941E-04     0.00000
    0.06500  -5.378E-04     0.00000
    0.07000   2.324E-04     0.00000
    0.07500   2.513E-04     0.00000
    0.08000   2.569E-04     0.00000
    0.08500  -1.193E-04     0.00000
    0.09000  -1.256E-04     0.00000
    0.09500   6.109E-04     0.00000
    0.10000  -5.211E-04     0.00000
    0.10500    -0.00128     0.00000
    0.11000  -5.478E-04     0.00000
    0.11500  -1.850E-04     0.00000
    0.12000   5.590E-04     0.00000
    0.12500  -9.104E-04     0.00000
    0.13000   6.330E-04     0.00000
    0.13500   3.287E-04     0.00000
    0.14000     0.00151     0.00000
    0.14500  -6.960E-04     0.00000
    0.15000   5.453E-05     0.00000
    0.15500   2.874E-05     0.00000
    0.16000  -2.339E-05     0.00000
    0.16500  -8.407E-05     0.00000
    0.17000   2.423E-04     0.00000
    0.17500   9.787E-04     0.00000
    0.18000  -1.414E-04     0.00000
    0.18500  -4.903E-04     0.00000
    0.19000  -4.706E-04     0.00000
    0.19500   2.706E-04     0.00000
    0.20000  -1.318E-04     0.00000
    0.20500  -9.112E-04     0.00000
    0.21000   1.917E-04     0.00000
    0.21500   2.004E-04     0.00000
    0.22000  -8.900E-04     0.00000
    0.22500     0.00138     0.00000
    0.23000  -7.656E-05     0.00000
    0.23500  -5.477E-05     0.00000
    0.24000   3.277E-04     0.00000
    0.24500  -5.141E-05     0.00000
    0.25000  -7.316E-05     0.00000
    0.25500  -8.477E-04     0.00000
    0.26000  -1.284E-04     0.00000
    0.26500   5.998E-04     0.00000
    0.27000  -5.206E-04     0.00000
    0.27500  -1.286E-04     0.00000
    0.28000  -4.661E-04     0.00000
    0.28500  -4.295E-04     0.00000
    0.29000  -3.077E-05     0.00000
    0.29500   3.558E-04     0.00000
    0.30000  -5.537E-06     0.00000
    0.30500  -7.301E-04     0.00000
    0.31000   4.188E-04     0.00000
    0.31500   8.194E-04     0.00000
    0.32000   9.126E-05     0.00000
    0.32500  -2.708E-04     0.00000
    0.33000   1.084E-04     0.00000
    0.33500   1.061E-04     0.00000
    0.34000   9.364E-05     0.00000
    0.34500  -6.674E-04     0.00000
    0.35000  -3.035E-04     0.00000
    0.35500     0.00120     0.00000
    0.36000   7.578E-05     0.00000
    0.36500  -2.788E-04     0.00000
    0.37000   1.192E-04     0.00000
    0.37500   5.085E-04     0.00000
    0.38000  -2.403E-04     0.00000
    0.38500   8.576E-04     0.00000
    0.39000   4.575E-04     0.00000
    0.39500    -0.00106     0.00000
    0.40000   4.896E-05     0.00000
    0.40500  -7.092E-04     0.00000
    0.41000  -3.527E-04     0.00000
    0.41500   7.518E-04     0.00000
    0.42000   7.359E-06     0.00000
    0.42500  -7.111E-04     0.00000
    0.43000   8.120E-05     0.00000
    0.43500   1.241E-04     0.00000
    0.44000   8.898E-04     0.00000
    0.44500   5.142E-04     0.00000
    0.45000  -6.155E-04     0.00000
    0.45500   1.194E-04     0.00000
    0.46000  -2.680E-04     0.00000
    0.46500   4.529E-04     0.00000
    0.47000   5.065E-05     0.00000
    0.47500   7.749E-04     0.00000
    0.48000   2.454E-05     0.00000
    0.48500   3.317E-05     0.00000
    0.49000   4.066E-05     0.00000
    0.49500  -3.409E-04     0.00000
    0.50000  -7.418E-04     0.00000
    0.50500   3.376E-04     0.00000
    0.51000  -7.012E-05     0.00000
    0.51500   2.872E-04     0.00000
    0.52000   2.975E-04     0.00000
    0.52500   3.246E-04     0.00000
    0.53000  -2.235E-05     0.00000
    0.53500  -7.591E-04     0.00000
    0.54000   3.430E-04     0.00000
    0.54500   3.051E-04     0.00000
    0.55000  -8.541E-04     0.00000
    0.55500  -1.314E-04     0.00000
    0.56000   6.135E-04     0.00000
    0.56500  -4.908E-04     0.00000
    0.57000  -9.685E-05     0.00000
    0.57500  -7.701E-05     0.00000
    0.58000  -4.387E-04     0.00000
    0.58500  -6.489E-05     0.00000
    0.59000  -4.416E-04     0.00000
    0.59500  -6.996E-05     0.00000
    0.60000  -6.229E-05     0.00000
    0.60500   7.009E-04     0.00000
    0.61000  -3.917E-04     0.00000
    0.61500   3.830E-04     0.00000
    0.62000   7.775E-04     0.00000
    0.62500  -3.344E-04     0.00000
    0.63000  -3.425E-04     0.00000
    0.63500     0.00114     0.00000
    0.64000  -7.663E-04     0.00000
    0.64500  -4.211E-04     0.00000
    0.65000  -6.675E-05     0.00000
    0.65500     0.00105     0.00000
    0.66000  -8.290E-04     0.00000
    0.66500  -4.484E-04     0.00000
    0.67000  -5.968E-05     0.00000
    0.67500   6.969E-04     0.00000
    0.68000  -4.185E-04     0.00000
    0.68500   3.297E-04     0.00000
    0.69000     0.00109     0.00000
    0.69500  -3.112E-05     0.00000
    0.70000  -4.016E-04     0.00000
    0.70500   3.350E-04     0.00000
    0.71000   3.066E-04     0.00000
    0.71500   2.630E-04     0.00000
    0.72000  -1.527E-04     0.00000
    0.72500  -5.546E-04     0.00000
    0.73000     0.00129     0.00000
    0.73500   1.605E-04     0.00000
    0.74000   1.470E-04     0.00000
    0.74500   5.049E-04     0.00000
    0.75000  -6.354E-04     0.00000
    0.75500   4.481E-04     0.00000
