 
 ETABS v9.7.3  File:HW1_DAMPER_NONLINEAR_03_V2  Units:Ton-m  May 21, 2018 21:52  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9_A_2F:  Joint 9  Story 2F  Abs Accel  UX
 FUNCTION  Point9_V_2F:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_2F:  Joint 9  Story 2F  Displacement  UX
 FUNCTION  Point9_A_3F:  Joint 9  Story 3F  Abs Accel  UX
 FUNCTION  Point9_V_3F:  Joint 9  Story 3F  Velocity  UX
 FUNCTION  Point9_D_3F:  Joint 9  Story 3F  Displacement  UX
 FUNCTION  Point9_A_RF:  Joint 9  Story RF  Abs Accel  UX
 FUNCTION  Point9_V_RF:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_RF:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
            Point9_A_2F Point9_V_2F Point9_D_2F Point9_A_3F Point9_V_3F Point9_D_3F Point9_A_RF Point9_V_RF Point9_D_RF
    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    0.00500  -9.421E-05   3.919E-06     0.00000  -1.277E-06   3.920E-06     0.00000  -2.149E-06   3.919E-06     0.00000
    0.01000  -2.011E-04   4.809E-06     0.00000  -1.181E-05   4.804E-06     0.00000  -4.442E-06   4.809E-06     0.00000
    0.01500  -2.216E-04   5.688E-06     0.00000  -5.073E-05   5.567E-06     0.00000  -7.463E-06   5.688E-06     0.00000
    0.02000  -2.243E-04   6.538E-06     0.00000  -1.023E-04   6.091E-06     0.00000  -1.715E-05   6.538E-06     0.00000
    0.02500  -1.657E-04   5.815E-06     0.00000  -1.453E-04   4.877E-06     0.00000  -3.901E-05   5.815E-06     0.00000
    0.03000  -8.182E-05   4.951E-06     0.00000  -1.651E-04   3.500E-06     0.00000  -7.257E-05   4.951E-06     0.00000
    0.03500  -1.196E-05   3.904E-06     0.00000  -1.546E-04   2.100E-06     0.00000  -1.109E-04   3.904E-06     0.00000
    0.04000   3.030E-05   2.676E-06     0.00000  -1.219E-04     0.00000     0.00000  -1.429E-04   2.676E-06     0.00000
    0.04500   1.233E-06   4.339E-06     0.00000  -8.475E-05   2.727E-06     0.00000  -1.603E-04   4.339E-06     0.00000
    0.05000  -1.281E-04   4.440E-06     0.00000  -5.811E-05   3.286E-06     0.00000  -1.589E-04   4.440E-06     0.00000
    0.05500  -1.046E-04   1.578E-06     0.00000  -6.904E-05     0.00000     0.00000  -1.400E-04   1.578E-06     0.00000
    0.06000  -2.918E-05     0.00000     0.00000  -1.020E-04     0.00000     0.00000  -1.160E-04     0.00000     0.00000
    0.06500   5.852E-05  -2.296E-06     0.00000  -1.139E-04  -2.803E-06     0.00000  -1.010E-04  -2.296E-06     0.00000
    0.07000   1.242E-04  -1.883E-06     0.00000  -9.058E-05  -2.421E-06     0.00000  -9.885E-05  -1.883E-06     0.00000
    0.07500   1.469E-06     0.00000     0.00000  -3.591E-05     0.00000     0.00000  -1.015E-04     0.00000     0.00000
    0.08000  -5.845E-05  -2.560E-06     0.00000   4.724E-06  -2.487E-06     0.00000  -9.289E-05  -2.560E-06     0.00000
    0.08500  -7.249E-05     0.00000     0.00000  -1.791E-06   1.437E-06     0.00000  -7.073E-05     0.00000     0.00000
    0.09000  -3.097E-04   6.054E-06     0.00000  -2.605E-05   6.790E-06     0.00000  -4.744E-05   6.054E-06     0.00000
    0.09500  -3.912E-04   5.273E-06     0.00000  -7.997E-05   5.956E-06     0.00000  -3.153E-05   5.273E-06     0.00000
    0.10000  -3.319E-04   6.032E-06     0.00000  -1.653E-04   6.254E-06     0.00000  -3.120E-05   6.032E-06     0.00000
    0.10500  -2.697E-04   6.732E-06     0.00000  -2.320E-04   6.151E-06     0.00000  -5.622E-05   6.732E-06     0.00000
    0.11000  -1.786E-04   5.748E-06     0.00000  -2.549E-04   4.327E-06     0.00000  -1.049E-04   5.748E-06     0.00000
    0.11500  -1.609E-04   8.977E-06     0.00000  -2.405E-04   6.975E-06     0.00000  -1.643E-04   8.977E-06     0.00000
    0.12000  -3.106E-04   1.040E-05     0.00000  -2.069E-04   8.236E-06     0.00000  -2.160E-04   1.040E-05     0.00000
    0.12500  -3.059E-04   8.623E-06     0.00000  -2.081E-04   6.608E-06     0.00000  -2.443E-04   8.623E-06     0.00000
    0.13000  -2.734E-04   8.282E-06     0.00000  -2.472E-04   6.384E-06     0.00000  -2.528E-04   8.282E-06     0.00000
    0.13500  -1.952E-04   6.421E-06     0.00000  -2.862E-04   4.456E-06     0.00000  -2.569E-04   6.421E-06     0.00000
    0.14000  -1.068E-04   4.524E-06     0.00000  -2.977E-04   2.392E-06     0.00000  -2.678E-04   4.524E-06     0.00000
    0.14500  -1.800E-05   1.036E-06     0.00000  -2.714E-04  -1.155E-06     0.00000  -2.837E-04   1.036E-06     0.00000
    0.15000   1.219E-04  -4.042E-06     0.00000  -2.176E-04  -6.016E-06     0.00000  -2.938E-04  -4.042E-06     0.00000
    0.15500   2.738E-04  -9.133E-06     0.00000  -1.435E-04  -1.056E-05     0.00000  -2.874E-04  -9.133E-06     0.00000
    0.16000   3.755E-04  -1.262E-05     0.00000  -5.051E-05  -1.316E-05     0.00000  -2.592E-04  -1.262E-05     0.00000
    0.16500   3.343E-04  -1.289E-05     0.00000   5.251E-05  -1.225E-05     0.00000  -2.077E-04  -1.289E-05     0.00000
    0.17000   1.742E-04  -1.284E-05     0.00000   1.387E-04  -1.085E-05     0.00000  -1.328E-04  -1.284E-05     0.00000
    0.17500   1.655E-05  -1.085E-05     0.00000   1.705E-04  -7.617E-06     0.00000  -4.083E-05  -1.085E-05     0.00000
    0.18000  -2.193E-04  -5.378E-06     0.00000   1.441E-04  -1.365E-06     0.00000   5.045E-05  -5.378E-06     0.00000
    0.18500  -4.159E-04  -2.510E-06     0.00000   7.069E-05   1.618E-06     0.00000   1.208E-04  -2.510E-06     0.00000
    0.19000  -4.208E-04     0.00000     0.00000  -3.919E-05   2.613E-06     0.00000   1.545E-04     0.00000     0.00000
    0.19500  -3.505E-04     0.00000     0.00000  -1.405E-04   3.057E-06     0.00000   1.416E-04     0.00000     0.00000
    0.20000  -1.924E-04     0.00000     0.00000  -1.933E-04     0.00000     0.00000   8.623E-05     0.00000     0.00000
    0.20500   2.373E-05  -2.623E-06     0.00000  -1.881E-04  -2.998E-06     0.00000   7.848E-06  -2.623E-06     0.00000
    0.21000   1.501E-04  -3.368E-06     0.00000  -1.268E-04  -4.394E-06     0.00000  -6.796E-05  -3.368E-06     0.00000
    0.21500   1.817E-04  -4.433E-06     0.00000  -3.658E-05  -5.394E-06     0.00000  -1.166E-04  -4.433E-06     0.00000
    0.22000   1.396E-04  -4.145E-06     0.00000   4.000E-05  -4.465E-06     0.00000  -1.240E-04  -4.145E-06     0.00000
    0.22500   3.195E-05  -3.793E-06     0.00000   7.835E-05  -3.243E-06     0.00000  -9.243E-05  -3.793E-06     0.00000
