 
 ETABS v9.7.3  File:HW1_DAMPER_NONLINEAR_03_V2  Units:Ton-m  May 21, 2018 21:53  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9-Accel-X:  Joint 9  Story RF  Acceleration  UX
 FUNCTION  Point9-Displ-X:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION
            Point9-Acce Point9-Disp
    0.00000     0.00109     0.00000
    0.00500   4.785E-04     0.00000
    0.01000  -1.222E-04     0.00000
    0.01500   4.732E-04     0.00000
    0.02000  -1.349E-04     0.00000
    0.02500  -1.567E-04     0.00000
    0.03000  -1.903E-04     0.00000
    0.03500  -2.286E-04     0.00000
    0.04000  -2.606E-04     0.00000
    0.04500   9.286E-04     0.00000
    0.05000  -8.849E-04     0.00000
    0.05500  -2.577E-04     0.00000
    0.06000  -2.337E-04     0.00000
    0.06500  -8.269E-04     0.00000
    0.07000   9.901E-04     0.00000
    0.07500  -2.192E-04     0.00000
    0.08000  -8.188E-04     0.00000
    0.08500     0.00222     0.00000
    0.09000  -1.652E-04     0.00000
    0.09500  -1.493E-04     0.00000
    0.10000   4.495E-04     0.00000
    0.10500  -1.739E-04     0.00000
    0.11000  -2.226E-04     0.00000
    0.11500     0.00151     0.00000
    0.12000  -9.419E-04     0.00000
    0.12500   2.364E-04     0.00000
    0.13000  -3.705E-04     0.00000
    0.13500  -3.746E-04     0.00000
    0.14000  -3.855E-04     0.00000
    0.14500    -0.00101     0.00000
    0.15000    -0.00102     0.00000
    0.15500    -0.00101     0.00000
    0.16000  -3.769E-04     0.00000
    0.16500   2.730E-04     0.00000
    0.17000  -2.505E-04     0.00000
    0.17500     0.00105     0.00000
    0.18000     0.00114     0.00000
    0.18500   3.122E-06     0.00000
    0.19000   6.352E-04     0.00000
    0.19500   2.385E-05     0.00000
    0.20000  -6.397E-04     0.00000
    0.20500  -1.099E-04     0.00000
    0.21000  -1.857E-04     0.00000
    0.21500  -2.344E-04     0.00000
    0.22000   3.567E-04     0.00000
    0.22500  -2.101E-04     0.00000
    0.23000  -1.556E-04     0.00000
    0.23500  -7.085E-04     0.00000
    0.24000  -6.309E-05     0.00000
    0.24500   5.475E-04     0.00000
    0.25000  -5.339E-05     0.00000
    0.25500  -5.091E-05     0.00000
    0.26000  -6.416E-04     0.00000
    0.26500  -7.574E-06     0.00000
    0.27000   1.319E-05     0.00000
    0.27500   2.503E-05     0.00000
    0.28000  -5.714E-04     0.00000
    0.28500     0.00126     0.00000
    0.29000   8.410E-05     0.00000
    0.29500  -4.910E-04     0.00000
    0.30000    -0.00106     0.00000
    0.30500    -0.00104     0.00000
    0.31000  -4.445E-04     0.00000
    0.31500   1.539E-04     0.00000
    0.32000   1.649E-04     0.00000
    0.32500  -9.857E-04     0.00000
    0.33000   9.169E-04  -1.009E-06
    0.33500   4.256E-04  -1.110E-06
    0.34000     0.00172  -1.193E-06
    0.34500  -5.139E-05  -1.246E-06
    0.35000   5.698E-04  -1.291E-06
    0.35500     0.00115  -1.321E-06
    0.36000  -7.034E-04  -1.332E-06
    0.36500  -1.672E-04  -1.351E-06
    0.37000   3.768E-04  -1.374E-06
    0.37500   3.221E-04  -1.391E-06
    0.38000   8.879E-04  -1.396E-06
    0.38500   2.860E-04  -1.385E-06
    0.39000  -3.037E-04  -1.366E-06
    0.39500     0.00153  -1.345E-06
    0.40000   9.122E-04  -1.296E-06
    0.40500   2.741E-04  -1.223E-06
    0.41000   2.142E-04  -1.142E-06
    0.41500   1.423E-04  -1.055E-06
    0.42000   6.593E-04     0.00000
    0.42500     0.00177     0.00000
    0.43000  -1.085E-04     0.00000
    0.43500     0.00103     0.00000
    0.44000  -8.397E-04     0.00000
    0.44500   3.033E-04     0.00000
    0.45000   8.260E-04     0.00000
    0.45500  -4.829E-04     0.00000
    0.46000  -5.789E-04     0.00000
    0.46500  -6.520E-04     0.00000
    0.47000    -0.00131     0.00000
    0.47500  -7.375E-04     0.00000
    0.48000  -7.604E-04     0.00000
    0.48500  -1.670E-04     0.00000
    0.49000  -7.436E-04     0.00000
    0.49500    -0.00130     0.00000
    0.50000  -2.561E-05     0.00000
    0.50500   6.452E-04     0.00000
    0.51000    -0.00112     0.00000
    0.51500   1.220E-04   1.001E-06
    0.52000     0.00195   1.013E-06
    0.52500  -4.350E-04   1.055E-06
    0.53000  -4.278E-04   1.097E-06
    0.53500  -4.308E-04   1.128E-06
    0.54000  -4.555E-04   1.148E-06
    0.54500    -0.00171   1.151E-06
    0.55000    -0.00115   1.120E-06
    0.55500  -5.625E-04   1.059E-06
    0.56000  -5.376E-04     0.00000
    0.56500    -0.00107     0.00000
    0.57000     0.00146     0.00000
    0.57500  -2.033E-04     0.00000
    0.58000  -6.841E-04     0.00000
    0.58500   6.191E-04     0.00000
    0.59000   6.917E-05     0.00000
    0.59500   7.373E-05     0.00000
    0.60000   6.542E-04     0.00000
    0.60500   3.925E-05     0.00000
    0.61000  -5.694E-04     0.00000
    0.61500     0.00126     0.00000
    0.62000   6.643E-04     0.00000
    0.62500   7.528E-05     0.00000
    0.63000   8.114E-05     0.00000
    0.63500   7.916E-05     0.00000
    0.64000    -0.00114     0.00000
    0.64500  -5.702E-04     0.00000
    0.65000   6.079E-04     0.00000
    0.65500  -6.847E-06     0.00000
    0.66000  -5.985E-04     0.00000
    0.66500   6.606E-04     0.00000
    0.67000   1.303E-04     0.00000
    0.67500  -4.186E-04     0.00000
    0.68000   2.262E-04     0.00000
    0.68500  -9.693E-04     0.00000
    0.69000  -3.752E-04     0.00000
    0.69500     0.00143     0.00000
    0.70000   8.275E-04     0.00000
    0.70500  -3.516E-04     0.00000
    0.71000   3.056E-04     0.00000
    0.71500  -2.596E-04     0.00000
    0.72000     0.00156  -1.008E-06
    0.72500  -2.818E-04  -1.015E-06
    0.73000   2.799E-04  -1.020E-06
    0.73500     0.00145  -1.015E-06
    0.74000   8.060E-04     0.00000
