 
 ETABS v9.7.3  File:HW1_DAMPER_NONLINEAR03_V3  Units:Ton-m  May 21, 2018 22:02  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9_A_2F:  Joint 9  Story 2F  Abs Accel  UX
 FUNCTION  Point9_V_2F:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_2F:  Joint 9  Story 2F  Displacement  UX
 FUNCTION  Point9_A_3F:  Joint 9  Story 3F  Abs Accel  UX
 FUNCTION  Point9_V_3F:  Joint 9  Story 3F  Velocity  UX
 FUNCTION  Point9_D_3F:  Joint 9  Story 3F  Displacement  UX
 FUNCTION  Point9_A_RF:  Joint 9  Story RF  Abs Accel  UX
 FUNCTION  Point9_V_RF:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_RF:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
            Point9_A_2F Point9_V_2F Point9_D_2F Point9_A_3F Point9_V_3F Point9_D_3F Point9_A_RF Point9_V_RF Point9_D_RF
    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    0.00500  -1.083E-04   3.920E-06     0.00000  -7.269E-06   3.912E-06     0.00000  -1.343E-06   3.920E-06     0.00000
    0.01000  -2.609E-04   4.815E-06     0.00000  -4.855E-05   4.701E-06     0.00000  -4.990E-06   4.815E-06     0.00000
    0.01500  -3.028E-04   5.650E-06     0.00000  -1.423E-04   5.150E-06     0.00000  -2.994E-05   5.650E-06     0.00000
    0.02000  -2.858E-04   6.249E-06     0.00000  -2.521E-04   5.065E-06     0.00000  -1.033E-04   6.249E-06     0.00000
    0.02500  -1.847E-04   4.832E-06     0.00000  -3.213E-04   3.017E-06     0.00000  -2.373E-04   4.832E-06     0.00000
    0.03000  -5.882E-05   2.642E-06     0.00000  -3.166E-04     0.00000     0.00000  -4.033E-04   2.642E-06     0.00000
    0.03500   2.219E-05     0.00000     0.00000  -2.539E-04  -1.228E-06     0.00000  -5.299E-04     0.00000     0.00000
    0.04000   3.227E-05  -3.637E-06     0.00000  -1.873E-04  -2.909E-06     0.00000  -5.406E-04  -3.637E-06     0.00000
    0.04500  -6.650E-05  -3.633E-06     0.00000  -1.614E-04  -1.331E-06     0.00000  -4.067E-04  -3.633E-06     0.00000
    0.05000  -3.105E-04  -4.197E-06     0.00000  -1.870E-04  -1.275E-06     0.00000  -1.721E-04  -4.197E-06     0.00000
    0.05500  -3.638E-04  -6.570E-06     0.00000  -2.383E-04  -4.450E-06     0.00000   5.460E-05  -6.570E-06     0.00000
    0.06000  -2.441E-04  -6.555E-06     0.00000  -2.337E-04  -6.261E-06     0.00000   1.606E-04  -6.555E-06     0.00000
    0.06500  -9.631E-06  -7.930E-06     0.00000  -1.063E-04  -9.274E-06     0.00000   1.100E-04  -7.930E-06     0.00000
    0.07000   2.605E-04  -6.800E-06     0.00000   1.194E-04  -8.357E-06     0.00000  -2.395E-05  -6.800E-06     0.00000
    0.07500   2.873E-04  -4.725E-06     0.00000   3.314E-04  -4.765E-06     0.00000  -9.423E-05  -4.725E-06     0.00000
    0.08000   2.719E-04  -7.124E-06     0.00000   3.948E-04  -4.981E-06     0.00000   9.831E-06  -7.124E-06     0.00000
    0.08500   2.413E-04  -2.582E-06     0.00000   2.991E-04     0.00000     0.00000   2.620E-04  -2.582E-06     0.00000
    0.09000  -1.398E-04   4.832E-06     0.00000   1.574E-04   7.258E-06     0.00000   5.236E-04   4.832E-06     0.00000
    0.09500  -4.362E-04   7.223E-06     0.00000   3.776E-05   7.144E-06     0.00000   6.307E-04   7.223E-06     0.00000
    0.10000  -4.679E-04   1.103E-05     0.00000  -4.552E-05   8.016E-06     0.00000   4.875E-04   1.103E-05     0.00000
    0.10500  -3.121E-04   1.354E-05     0.00000  -9.863E-05   8.555E-06     0.00000   1.225E-04   1.354E-05     0.00000
    0.11000  -7.568E-06   1.242E-05     0.00000  -1.483E-04   7.353E-06     0.00000  -3.330E-04   1.242E-05     0.00000
    0.11500   1.955E-04   1.365E-05     0.00000  -2.129E-04   1.036E-05     0.00000  -7.119E-04   1.365E-05     0.00000
    0.12000  -1.204E-06   1.194E-05     0.00000  -3.133E-04   1.144E-05     0.00000  -8.816E-04   1.194E-05     0.00000
    0.12500  -2.705E-04   6.995E-06     0.00000  -4.831E-04   8.870E-06     0.00000  -8.176E-04   6.995E-06     0.00000
    0.13000  -5.921E-04   4.286E-06     0.00000  -6.851E-04   6.852E-06     0.00000  -6.190E-04   4.286E-06     0.00000
    0.13500  -7.998E-04   1.077E-06     0.00000  -8.266E-04   2.439E-06     0.00000  -4.469E-04   1.077E-06     0.00000
    0.14000  -8.026E-04  -1.620E-06     0.00000  -8.326E-04  -2.361E-06     0.00000  -4.263E-04  -1.620E-06     0.00000
    0.14500  -5.755E-04  -6.154E-06     0.00000  -6.959E-04  -8.342E-06     0.00000  -5.633E-04  -6.154E-06     0.00000
    0.15000  -1.133E-04  -1.307E-05     0.00000  -4.718E-04  -1.491E-05     0.00000  -7.441E-04  -1.307E-05     0.00000
    0.15500   4.145E-04  -2.065E-05     0.00000  -2.124E-04  -2.026E-05     0.00000  -8.029E-04  -2.065E-05     0.00000
    0.16000   7.702E-04  -2.641E-05     0.00000   6.603E-05  -2.275E-05     0.00000  -6.112E-04  -2.641E-05     0.00000
    0.16500   7.318E-04  -2.748E-05     0.00000   3.538E-04  -2.079E-05     0.00000  -1.373E-04  -2.748E-05     0.00000
    0.17000   3.376E-04  -2.563E-05     0.00000   6.014E-04  -1.746E-05     0.00000   5.364E-04  -2.563E-05     0.00000
    0.17500  -8.993E-05  -1.875E-05     0.00000   7.400E-04  -1.162E-05     0.00000     0.00123  -1.875E-05     0.00000
    0.18000  -4.253E-04  -5.861E-06     0.00000   7.524E-04  -2.399E-06     0.00000     0.00170  -5.861E-06     0.00000
    0.18500  -4.620E-04   5.440E-06     0.00000   6.743E-04   3.621E-06     0.00000     0.00177   5.440E-06     0.00000
    0.19000  -5.130E-05   1.442E-05     0.00000   5.732E-04   7.640E-06     0.00000     0.00138   1.442E-05     0.00000
    0.19500   5.167E-04   2.053E-05     0.00000   5.180E-04   1.125E-05     0.00000   6.617E-04   2.053E-05     0.00000
    0.20000   9.993E-04   1.974E-05     0.00000   5.041E-04   1.169E-05     0.00000  -1.164E-04   1.974E-05     0.00000
    0.20500     0.00120   1.558E-05     0.00000   4.563E-04   1.201E-05     0.00000  -6.382E-04   1.558E-05     0.00000
    0.21000   9.237E-04   1.142E-05     0.00000   3.057E-04   1.338E-05     0.00000  -7.131E-04   1.142E-05     0.00000
    0.21500   2.528E-04   7.977E-06     0.00000   3.855E-05   1.370E-05     0.00000  -3.754E-04   7.977E-06     0.00000
    0.22000  -5.433E-04   8.260E-06     0.00000  -2.844E-04   1.399E-05     0.00000   1.250E-04   8.260E-06     0.00000
    0.22500    -0.00118   1.075E-05     0.00000  -5.614E-04   1.274E-05     0.00000   4.552E-04   1.075E-05     0.00000
