 
 ETABS v9.7.3  File:HW1_DAMPER_NONLINEAR03_V3  Units:Ton-m  May 21, 2018 22:02  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9_A_2F:  Joint 9  Story 2F  Abs Accel  UX
 FUNCTION  Point9_V_2F:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_2F:  Joint 9  Story 2F  Displacement  UX
 FUNCTION  Point9_A_3F:  Joint 9  Story 3F  Abs Accel  UX
 FUNCTION  Point9_V_3F:  Joint 9  Story 3F  Velocity  UX
 FUNCTION  Point9_D_3F:  Joint 9  Story 3F  Displacement  UX
 FUNCTION  Point9_A_RF:  Joint 9  Story RF  Abs Accel  UX
 FUNCTION  Point9_V_RF:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_RF:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
            Point9_A_2F Point9_V_2F Point9_D_2F Point9_A_3F Point9_V_3F Point9_D_3F Point9_A_RF Point9_V_RF Point9_D_RF
    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    0.00500  -1.109E-04   2.571E-06     0.00000  -8.030E-06   2.560E-06     0.00000     0.00000   2.571E-06     0.00000
    0.01000  -6.808E-05  -1.409E-06     0.00000  -3.809E-05  -1.519E-06     0.00000  -3.592E-06  -1.409E-06     0.00000
    0.01500   9.737E-05     0.00000     0.00000  -6.152E-05  -1.073E-06     0.00000  -2.357E-05     0.00000     0.00000
    0.02000   2.120E-05   3.481E-06     0.00000  -3.272E-05   3.110E-06     0.00000  -5.740E-05   3.481E-06     0.00000
    0.02500  -2.138E-04   4.750E-06     0.00000  -1.753E-06   4.664E-06     0.00000  -7.815E-05   4.750E-06     0.00000
    0.03000  -3.428E-04   4.123E-06     0.00000  -6.150E-05   4.309E-06     0.00000  -7.043E-05   4.123E-06     0.00000
    0.03500  -2.912E-04   3.554E-06     0.00000  -2.092E-04   3.405E-06     0.00000  -6.460E-05   3.554E-06     0.00000
    0.04000  -1.359E-04   2.883E-06     0.00000  -3.322E-04   1.768E-06     0.00000  -1.199E-04   2.883E-06     0.00000
    0.04500   3.138E-05     0.00000     0.00000  -3.207E-04  -2.040E-06     0.00000  -2.577E-04     0.00000     0.00000
    0.05000   1.510E-04  -1.130E-06     0.00000  -1.738E-04  -2.605E-06     0.00000  -4.158E-04  -1.130E-06     0.00000
    0.05500   1.154E-05  -1.770E-06     0.00000  -8.919E-06  -1.391E-06     0.00000  -4.693E-04  -1.770E-06     0.00000
    0.06000  -1.269E-04  -4.105E-06     0.00000   1.997E-05  -1.532E-06     0.00000  -3.350E-04  -4.105E-06     0.00000
    0.06500  -2.088E-04  -5.370E-06     0.00000  -1.072E-04  -1.952E-06     0.00000  -6.104E-05  -5.370E-06     0.00000
    0.07000  -1.728E-04  -5.245E-06     0.00000  -2.448E-04  -3.114E-06     0.00000   1.901E-04  -5.245E-06     0.00000
    0.07500  -1.661E-04  -2.398E-06     0.00000  -2.244E-04  -2.752E-06     0.00000   2.653E-04  -2.398E-06     0.00000
    0.08000  -2.075E-04     0.00000     0.00000  -3.833E-05  -1.833E-06     0.00000   1.463E-04     0.00000     0.00000
    0.08500  -2.001E-04   1.249E-06     0.00000   1.447E-04     0.00000     0.00000  -4.499E-05   1.249E-06     0.00000
    0.09000  -3.920E-05     0.00000     0.00000   1.574E-04     0.00000     0.00000  -1.618E-04     0.00000     0.00000
    0.09500   1.653E-04   1.218E-06     0.00000   9.120E-06   1.834E-06     0.00000  -1.543E-04   1.218E-06     0.00000
    0.10000   1.920E-04   1.308E-06     0.00000  -1.406E-04   2.156E-06     0.00000  -8.133E-05   1.308E-06     0.00000
    0.10500   1.607E-04  -2.921E-06     0.00000  -1.568E-04  -2.629E-06     0.00000  -2.962E-05  -2.921E-06     0.00000
    0.11000   2.022E-04  -7.023E-06     0.00000  -2.119E-05  -7.099E-06     0.00000  -2.779E-05  -7.023E-06     0.00000
    0.11500   2.311E-04  -8.344E-06     0.00000   1.850E-04  -7.871E-06     0.00000  -2.179E-05  -8.344E-06     0.00000
    0.12000   1.814E-04  -6.655E-06     0.00000   3.360E-04  -4.902E-06     0.00000   6.853E-05  -6.655E-06     0.00000
    0.12500   6.970E-05  -6.098E-06     0.00000   3.467E-04  -3.378E-06     0.00000   2.670E-04  -6.098E-06     0.00000
    0.13000   9.559E-05  -4.424E-06     0.00000   2.467E-04  -2.118E-06     0.00000   4.941E-04  -4.424E-06     0.00000
    0.13500   5.648E-05     0.00000     0.00000   1.679E-04   1.434E-06     0.00000   6.193E-04     0.00000     0.00000
    0.14000  -9.015E-05   8.423E-06     0.00000   1.845E-04   6.695E-06     0.00000   5.624E-04   8.423E-06     0.00000
    0.14500  -3.135E-04   1.238E-05     0.00000   2.175E-04   9.344E-06     0.00000   3.538E-04   1.238E-05     0.00000
    0.15000  -2.166E-04   1.137E-05     0.00000   1.293E-04   8.168E-06     0.00000   8.535E-05   1.137E-05     0.00000
    0.15500   7.398E-05   1.090E-05     0.00000  -7.794E-05   8.075E-06     0.00000  -1.726E-04   1.090E-05     0.00000
    0.16000   3.046E-04   9.218E-06     0.00000  -2.603E-04   6.941E-06     0.00000  -3.932E-04   9.218E-06     0.00000
    0.16500   2.924E-04   6.568E-06     0.00000  -3.006E-04   5.228E-06     0.00000  -5.553E-04   6.568E-06     0.00000
    0.17000   1.821E-05   4.286E-06     0.00000  -2.316E-04   4.566E-06     0.00000  -6.091E-04   4.286E-06     0.00000
    0.17500  -4.329E-04   4.931E-06     0.00000  -2.060E-04   7.032E-06     0.00000  -5.101E-04   4.931E-06     0.00000
    0.18000  -8.799E-04   5.471E-06     0.00000  -3.522E-04   8.292E-06     0.00000  -2.934E-04   5.471E-06     0.00000
    0.18500  -9.623E-04   3.343E-06     0.00000  -6.380E-04   4.663E-06     0.00000  -1.093E-04   3.343E-06     0.00000
    0.19000  -6.342E-04     0.00000     0.00000  -8.467E-04  -1.246E-06     0.00000  -1.438E-04     0.00000     0.00000
    0.19500  -1.661E-04     0.00000     0.00000  -7.599E-04  -5.651E-06     0.00000  -4.558E-04     0.00000     0.00000
    0.20000   1.134E-04  -3.581E-06     0.00000  -3.942E-04  -7.922E-06     0.00000  -8.729E-04  -3.581E-06     0.00000
    0.20500   2.270E-04  -1.072E-05     0.00000  -2.086E-05  -1.100E-05     0.00000    -0.00108  -1.072E-05     0.00000
    0.21000   3.012E-04  -1.691E-05     0.00000   1.039E-04  -1.185E-05     0.00000  -8.499E-04  -1.691E-05     0.00000
    0.21500   1.917E-04  -1.812E-05     0.00000  -6.147E-06  -9.928E-06     0.00000  -2.367E-04  -1.812E-05     0.00000
    0.22000  -5.317E-05  -1.868E-05     0.00000  -1.199E-04  -1.147E-05     0.00000   4.668E-04  -1.868E-05     0.00000
    0.22500  -2.524E-04  -1.343E-05     0.00000  -2.356E-05  -1.032E-05     0.00000   9.270E-04  -1.343E-05     0.00000
