 
 ETABS v9.7.3  File:HW1_DAMPER_NONLINEAR_03_V2  Units:Ton-m  May 20, 2018 10:09  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9-Accel-X:  Joint 9  Story RF  Acceleration  UX
 FUNCTION  Point9-Displ-X:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION
            Point9-Acce Point9-Disp
    0.00000     0.00109     0.00000
    0.00500   4.762E-04     0.00000
    0.01000  -1.230E-04     0.00000
    0.01500   4.862E-04     0.00000
    0.02000  -9.078E-05     0.00000
    0.02500  -6.162E-05     0.00000
    0.03000  -3.782E-05     0.00000
    0.03500  -3.564E-05     0.00000
    0.04000  -6.710E-05     0.00000
    0.04500     0.00107     0.00000
    0.05000  -8.401E-04     0.00000
    0.05500  -3.183E-04     0.00000
    0.06000  -3.767E-04     0.00000
    0.06500    -0.00101     0.00000
    0.07000   8.202E-04     0.00000
    0.07500  -3.673E-04     0.00000
    0.08000  -9.503E-04     0.00000
    0.08500     0.00208     0.00000
    0.09000  -3.093E-04     0.00000
    0.09500  -2.780E-04     0.00000
    0.10000   3.845E-04     0.00000
    0.10500  -1.222E-04     0.00000
    0.11000  -2.083E-05     0.00000
    0.11500     0.00185     0.00000
    0.12000  -5.425E-04     0.00000
    0.12500   6.166E-04     0.00000
    0.13000  -8.794E-05     0.00000
    0.13500  -2.295E-04     0.00000
    0.14000  -3.801E-04     0.00000
    0.14500    -0.00112     0.00000
    0.15000    -0.00123     0.00000
    0.15500    -0.00130     0.00000
    0.16000  -7.558E-04     0.00000
    0.16500  -2.128E-04     0.00000
    0.17000  -8.544E-04     0.00000
    0.17500   3.492E-04     0.00000
    0.18000   4.150E-04     0.00000
    0.18500  -6.251E-04     0.00000
    0.19000   2.494E-04     0.00000
    0.19500  -1.413E-06     0.00000
    0.20000  -2.566E-04     0.00000
    0.20500   6.259E-04     0.00000
    0.21000   7.445E-04     0.00000
    0.21500   6.759E-04     0.00000
    0.22000     0.00104     0.00000
    0.22500   1.166E-04     0.00000
    0.23000  -2.058E-04     0.00000
    0.23500    -0.00105     0.00000
    0.24000  -5.585E-04     0.00000
    0.24500   2.546E-05     0.00000
    0.25000  -5.357E-04     0.00000
    0.25500  -4.908E-04     0.00000
    0.26000    -0.00107     0.00000
    0.26500  -4.405E-04     0.00000
    0.27000  -4.004E-04     0.00000
    0.27500  -3.012E-04     0.00000
    0.28000  -7.215E-04     0.00000
    0.28500     0.00137     0.00000
    0.29000   4.685E-04     0.00000
    0.29500   1.573E-04  -1.051E-06
    0.30000  -2.173E-04  -1.148E-06
    0.30500  -1.208E-04  -1.249E-06
    0.31000   4.131E-04  -1.350E-06
    0.31500   7.990E-04  -1.442E-06
    0.32000   4.700E-04  -1.516E-06
    0.32500    -0.00108  -1.584E-06
    0.33000   4.570E-04  -1.666E-06
    0.33500  -2.792E-04  -1.746E-06
    0.34000   9.377E-04  -1.825E-06
    0.34500  -7.404E-04  -1.894E-06
    0.35000   9.294E-05  -1.970E-06
    0.35500   9.409E-04  -2.044E-06
    0.36000  -6.389E-04  -2.105E-06
    0.36500   1.422E-04  -2.172E-06
    0.37000   8.795E-04  -2.235E-06
    0.37500   9.603E-04  -2.279E-06
    0.38000     0.00161  -2.296E-06
    0.38500     0.00104  -2.279E-06
    0.39000   4.659E-04  -2.235E-06
    0.39500     0.00229  -2.169E-06
    0.40000     0.00164  -2.057E-06
    0.40500   9.271E-04  -1.904E-06
    0.41000   7.428E-04  -1.725E-06
    0.41500   5.029E-04  -1.527E-06
    0.42000   8.329E-04  -1.315E-06
    0.42500     0.00176  -1.079E-06
    0.43000  -2.503E-04     0.00000
    0.43500   8.254E-04     0.00000
    0.44000    -0.00102     0.00000
    0.44500   2.423E-04     0.00000
    0.45000   9.380E-04     0.00000
    0.45500  -2.030E-04     0.00000
    0.46000  -1.888E-04     0.00000
    0.46500  -2.393E-04   1.149E-06
    0.47000  -9.544E-04   1.424E-06
    0.47500  -4.884E-04   1.680E-06
    0.48000  -6.486E-04   1.922E-06
    0.48500  -2.139E-04   2.150E-06
    0.49000  -9.703E-04   2.367E-06
    0.49500    -0.00172   2.561E-06
    0.50000  -6.391E-04   2.719E-06
    0.50500  -1.520E-04   2.858E-06
    0.51000    -0.00208   2.984E-06
    0.51500  -9.421E-04   3.070E-06
    0.52000   8.340E-04   3.135E-06
    0.52500    -0.00154   3.204E-06
    0.53000    -0.00143   3.244E-06
    0.53500    -0.00124   3.249E-06
    0.54000    -0.00102   3.223E-06
    0.54500    -0.00203   3.167E-06
    0.55000    -0.00130   3.067E-06
    0.55500  -6.858E-04   2.934E-06
    0.56000  -8.016E-04   2.782E-06
    0.56500    -0.00160   2.607E-06
    0.57000   6.022E-04   2.404E-06
    0.57500    -0.00133   2.199E-06
    0.58000    -0.00193   1.966E-06
    0.58500  -5.608E-04   1.693E-06
    0.59000  -8.902E-04   1.398E-06
    0.59500  -5.818E-04   1.084E-06
    0.60000   2.899E-04     0.00000
    0.60500  -1.167E-04     0.00000
    0.61000  -6.093E-04     0.00000
    0.61500     0.00128     0.00000
    0.62000   7.499E-04     0.00000
    0.62500   2.834E-04     0.00000
    0.63000   4.895E-04  -1.112E-06
    0.63500   7.406E-04  -1.381E-06
    0.64000  -2.326E-04  -1.638E-06
    0.64500   5.094E-04  -1.892E-06
    0.65000     0.00171  -2.132E-06
    0.65500   9.314E-04  -2.337E-06
    0.66000   4.620E-05  -2.519E-06
    0.66500   9.771E-04  -2.693E-06
    0.67000   2.028E-04  -2.849E-06
    0.67500  -4.082E-04  -3.000E-06
    0.68000   3.783E-04  -3.155E-06
    0.68500  -5.292E-04  -3.309E-06
    0.69000   3.940E-04  -3.468E-06
    0.69500     0.00245  -3.612E-06
    0.70000     0.00194  -3.705E-06
    0.70500   7.053E-04  -3.753E-06
    0.71000     0.00125  -3.776E-06
    0.71500   6.162E-04  -3.772E-06
