 
 ETABS v9.7.3  File:HW1_DAMPER_NONLINEAR07_V3  Units:Ton-m  May 21, 2018 22:08  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9-Accel-X:  Joint 9  Story RF  Acceleration  UX
 FUNCTION  Point9-Displ-X:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION
            Point9-Acce Point9-Disp
    0.00000     0.00182     0.00000
    0.00500  -7.954E-04     0.00000
    0.01000  -7.982E-04     0.00000
    0.01500     0.00106     0.00000
    0.02000   6.396E-04     0.00000
    0.02500  -1.263E-04     0.00000
    0.03000  -1.185E-04     0.00000
    0.03500  -1.126E-04     0.00000
    0.04000  -1.670E-04     0.00000
    0.04500    -0.00105     0.00000
    0.05000   6.730E-04     0.00000
    0.05500  -8.776E-04     0.00000
    0.06000     0.00000     0.00000
    0.06500  -4.786E-04     0.00000
    0.07000   5.090E-04     0.00000
    0.07500   5.792E-04     0.00000
    0.08000   4.621E-04     0.00000
    0.08500  -9.609E-05     0.00000
    0.09000  -2.087E-04     0.00000
    0.09500   5.433E-04     0.00000
    0.10000  -5.077E-04     0.00000
    0.10500    -0.00121     0.00000
    0.11000  -4.638E-04     0.00000
    0.11500  -8.585E-05     0.00000
    0.12000   7.502E-04     0.00000
    0.12500  -5.425E-04     0.00000
    0.13000     0.00118     0.00000
    0.13500   9.304E-04     0.00000
    0.14000     0.00200     0.00000
    0.14500  -4.428E-04     0.00000
    0.15000   3.817E-05     0.00000
    0.15500  -2.190E-04     0.00000
    0.16000  -4.378E-04     0.00000
    0.16500  -5.925E-04     0.00000
    0.17000  -2.617E-04     0.00000
    0.17500   6.017E-04     0.00000
    0.18000  -3.096E-04     0.00000
    0.18500  -5.043E-04     0.00000
    0.19000  -5.413E-04     0.00000
    0.19500  -9.850E-05     0.00000
    0.20000  -8.693E-04     0.00000
    0.20500    -0.00181     0.00000
    0.21000  -4.695E-04     0.00000
    0.21500   1.043E-04     0.00000
    0.22000  -3.602E-04     0.00000
    0.22500     0.00230     0.00000
    0.23000   8.691E-04     0.00000
    0.23500   6.549E-04     0.00000
    0.24000   7.209E-04     0.00000
    0.24500   8.452E-05     0.00000
    0.25000  -8.818E-05     0.00000
    0.25500  -9.013E-04     0.00000
    0.26000  -9.416E-05     0.00000
    0.26500   8.496E-04     0.00000
    0.27000  -3.543E-06     0.00000
    0.27500   5.351E-04     0.00000
    0.28000   5.739E-05     0.00000
    0.28500  -3.485E-04     0.00000
    0.29000  -5.008E-04     0.00000
    0.29500  -4.616E-04     0.00000
    0.30000  -7.533E-04     0.00000
    0.30500    -0.00104     0.00000
    0.31000   6.196E-04     0.00000
    0.31500     0.00129     0.00000
    0.32000   4.749E-04     0.00000
    0.32500  -2.314E-04     0.00000
    0.33000  -2.212E-04     0.00000
    0.33500  -4.435E-04     0.00000
    0.34000  -4.802E-04     0.00000
    0.34500    -0.00110     0.00000
    0.35000  -4.709E-04     0.00000
    0.35500     0.00138     0.00000
    0.36000   6.135E-04     0.00000
    0.36500   4.421E-04     0.00000
    0.37000   7.079E-04     0.00000
    0.37500   6.578E-04     0.00000
    0.38000  -6.243E-04     0.00000
    0.38500   1.551E-04     0.00000
    0.39000  -1.512E-04     0.00000
    0.39500    -0.00124     0.00000
    0.40000   3.224E-04     0.00000
    0.40500  -2.752E-04     0.00000
    0.41000  -1.347E-04     0.00000
    0.41500   5.712E-04     0.00000
    0.42000  -4.442E-04     0.00000
    0.42500    -0.00113     0.00000
    0.43000  -7.847E-05     0.00000
    0.43500   2.424E-04     0.00000
    0.44000     0.00115     0.00000
    0.44500   7.994E-04     0.00000
    0.45000  -3.443E-04     0.00000
    0.45500   3.550E-04     0.00000
    0.46000  -1.668E-04     0.00000
    0.46500   2.805E-04     0.00000
    0.47000  -4.100E-04     0.00000
    0.47500   2.504E-04     0.00000
    0.48000  -2.109E-04     0.00000
    0.48500   2.793E-04     0.00000
    0.49000   5.836E-04     0.00000
    0.49500   2.575E-05     0.00000
    0.50000  -9.627E-04     0.00000
    0.50500  -4.893E-04     0.00000
    0.51000    -0.00109     0.00000
    0.51500  -3.800E-04     0.00000
    0.52000   2.819E-04     0.00000
    0.52500   8.542E-04     0.00000
    0.53000   6.697E-04     0.00000
    0.53500  -2.831E-04     0.00000
    0.54000   4.242E-04     0.00000
    0.54500   3.015E-05     0.00000
    0.55000    -0.00132     0.00000
    0.55500  -5.713E-04     0.00000
    0.56000   4.175E-04     0.00000
    0.56500  -2.523E-04     0.00000
    0.57000   6.285E-04     0.00000
    0.57500   9.442E-04     0.00000
    0.58000   4.757E-04     0.00000
    0.58500   3.331E-04     0.00000
    0.59000  -7.062E-04     0.00000
    0.59500  -7.451E-04     0.00000
    0.60000  -6.329E-04     0.00000
    0.60500   6.827E-04     0.00000
    0.61000   2.386E-04     0.00000
    0.61500     0.00135     0.00000
    0.62000     0.00158     0.00000
    0.62500  -8.862E-05     0.00000
    0.63000  -7.631E-04     0.00000
    0.63500   2.185E-04     0.00000
    0.64000    -0.00186     0.00000
    0.64500    -0.00135     0.00000
    0.65000  -5.945E-04     0.00000
    0.65500     0.00102     0.00000
    0.66000  -4.464E-04     0.00000
    0.66500   6.739E-05     0.00000
    0.67000   2.208E-04     0.00000
    0.67500   4.848E-04     0.00000
    0.68000    -0.00108     0.00000
    0.68500  -4.185E-04     0.00000
    0.69000   7.422E-04     0.00000
    0.69500   3.173E-04     0.00000
    0.70000   5.358E-04     0.00000
    0.70500     0.00140     0.00000
    0.71000   9.682E-04     0.00000
    0.71500   2.573E-04     0.00000
    0.72000  -7.142E-04     0.00000
    0.72500    -0.00130     0.00000
    0.73000   7.325E-04     0.00000
    0.73500  -2.266E-05     0.00000
    0.74000   3.127E-04     0.00000
    0.74500   8.373E-04     0.00000
    0.75000  -3.928E-04     0.00000
    0.75500   3.354E-04     0.00000
    0.76000  -9.866E-04     0.00000
