 
 ETABS v9.7.3  File:HW1_DAMPER_NONLINEAR07_V3  Units:Ton-m  May 21, 2018 22:09  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9-Accel-X:  Joint 9  Story RF  Acceleration  UX
 FUNCTION  Point9-Displ-X:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION
            Point9-Acce Point9-Disp
    0.00000     0.00109     0.00000
    0.00500   4.793E-04     0.00000
    0.01000  -1.227E-04     0.00000
    0.01500   4.509E-04     0.00000
    0.02000  -2.200E-04     0.00000
    0.02500  -3.515E-04     0.00000
    0.03000  -5.127E-04     0.00000
    0.03500  -6.337E-04     0.00000
    0.04000  -6.409E-04     0.00000
    0.04500   6.977E-04     0.00000
    0.05000  -8.899E-04     0.00000
    0.05500  -6.363E-05     0.00000
    0.06000   3.725E-05     0.00000
    0.06500  -6.213E-04     0.00000
    0.07000     0.00106     0.00000
    0.07500  -2.110E-04     0.00000
    0.08000  -7.181E-04     0.00000
    0.08500     0.00254     0.00000
    0.09000   3.795E-04     0.00000
    0.09500   4.735E-04     0.00000
    0.10000   9.252E-04     0.00000
    0.10500  -2.810E-05     0.00000
    0.11000  -4.643E-04     0.00000
    0.11500   9.742E-04     0.00000
    0.12000    -0.00158     0.00000
    0.12500  -3.026E-04     0.00000
    0.13000  -7.055E-04     0.00000
    0.13500  -5.406E-04     0.00000
    0.14000  -5.218E-04     0.00000
    0.14500    -0.00126     0.00000
    0.15000    -0.00142     0.00000
    0.15500    -0.00145     0.00000
    0.16000  -6.485E-04     0.00000
    0.16500   4.022E-04     0.00000
    0.17000   4.315E-04     0.00000
    0.17500     0.00227     0.00000
    0.18000     0.00268     0.00000
    0.18500     0.00151     0.00000
    0.19000     0.00172     0.00000
    0.19500   4.435E-04     0.00000
    0.20000  -8.908E-04     0.00000
    0.20500  -7.708E-04     0.00000
    0.21000  -8.456E-04     0.00000
    0.21500  -5.388E-04     0.00000
    0.22000   5.236E-04     0.00000
    0.22500   2.482E-04     0.00000
    0.23000   2.077E-04     0.00000
    0.23500  -8.316E-04     0.00000
    0.24000  -8.602E-04     0.00000
    0.24500  -7.878E-04     0.00000
    0.25000    -0.00151     0.00000
    0.25500    -0.00113     0.00000
    0.26000    -0.00101     0.00000
    0.26500   3.476E-04     0.00000
    0.27000   7.930E-04     0.00000
    0.27500   7.987E-04     0.00000
    0.28000  -1.161E-04     0.00000
    0.28500     0.00135     0.00000
    0.29000   1.693E-05     0.00000
    0.29500  -4.195E-04     0.00000
    0.30000  -6.460E-04     0.00000
    0.30500  -2.807E-04     0.00000
    0.31000   5.099E-04     0.00000
    0.31500     0.00111     0.00000
    0.32000   9.892E-04     0.00000
    0.32500  -3.259E-04     0.00000
    0.33000     0.00142     0.00000
    0.33500   7.556E-04     0.00000
    0.34000     0.00186     0.00000
    0.34500  -9.035E-05     0.00000
    0.35000   3.607E-04     0.00000
    0.35500   7.457E-04     0.00000
    0.36000    -0.00139     0.00000
    0.36500    -0.00125     0.00000
    0.37000    -0.00111     0.00000
    0.37500    -0.00136     0.00000
    0.38000  -6.339E-04     0.00000
    0.38500  -7.632E-04     0.00000
    0.39000  -8.197E-04     0.00000
    0.39500     0.00131     0.00000
    0.40000   6.215E-04     0.00000
    0.40500  -3.220E-04     0.00000
    0.41000  -6.445E-04     0.00000
    0.41500  -7.199E-04     0.00000
    0.42000   7.246E-05     0.00000
    0.42500     0.00160     0.00000
    0.43000   1.434E-04     0.00000
    0.43500     0.00160     0.00000
    0.44000  -1.387E-04     0.00000
    0.44500   8.928E-04     0.00000
    0.45000     0.00104     0.00000
    0.45500  -7.895E-04     0.00000
    0.46000    -0.00126     0.00000
    0.46500    -0.00132     0.00000
    0.47000    -0.00155     0.00000
    0.47500  -3.839E-04     0.00000
    0.48000   1.533E-05     0.00000
    0.48500   6.751E-04     0.00000
    0.49000  -1.054E-04     0.00000
    0.49500  -8.948E-04     0.00000
    0.50000   3.028E-04     0.00000
    0.50500     0.00107     0.00000
    0.51000  -5.151E-04     0.00000
    0.51500   9.061E-04     0.00000
    0.52000     0.00289     0.00000
    0.52500   5.953E-04     0.00000
    0.53000   5.571E-04     0.00000
    0.53500   2.352E-04     0.00000
    0.54000  -3.913E-04     0.00000
    0.54500    -0.00232     0.00000
    0.55000    -0.00215     0.00000
    0.55500    -0.00140     0.00000
    0.56000  -7.274E-04     0.00000
    0.56500  -4.596E-04     0.00000
    0.57000     0.00258     0.00000
    0.57500   9.161E-04     0.00000
    0.58000  -7.038E-06     0.00000
    0.58500   6.903E-04     0.00000
    0.59000  -3.422E-04     0.00000
    0.59500  -5.315E-04     0.00000
    0.60000   1.748E-04     0.00000
    0.60500  -5.689E-05     0.00000
    0.61000  -1.710E-04     0.00000
    0.61500     0.00203     0.00000
    0.62000     0.00147     0.00000
    0.62500   4.792E-04     0.00000
    0.63000  -2.386E-04     0.00000
    0.63500  -9.663E-04     0.00000
    0.64000    -0.00257     0.00000
    0.64500    -0.00188     0.00000
    0.65000  -1.734E-04     0.00000
    0.65500  -1.168E-04     0.00000
    0.66000  -1.759E-04     0.00000
    0.66500     0.00129     0.00000
    0.67000   6.125E-04     0.00000
    0.67500  -3.298E-04     0.00000
    0.68000  -1.290E-04     0.00000
    0.68500    -0.00159     0.00000
    0.69000  -8.901E-04     0.00000
    0.69500     0.00141     0.00000
    0.70000     0.00152     0.00000
    0.70500   9.557E-04     0.00000
    0.71000     0.00179     0.00000
    0.71500   8.107E-04     0.00000
    0.72000     0.00178     0.00000
    0.72500  -9.712E-04     0.00000
    0.73000  -9.361E-04     0.00000
    0.73500   2.907E-04     0.00000
    0.74000   1.619E-04     0.00000
    0.74500   7.009E-04     0.00000
    0.75000   8.834E-04     0.00000
    0.75500   5.151E-04     0.00000
    0.76000  -8.900E-04     0.00000
    0.76500    -0.00120     0.00000
    0.77000    -0.00185     0.00000
