 
 ETABS v9.7.3  File:HW1_DAMPER_V1  Units:Ton-m  May 20, 2018 9:29  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9-Accel-X:  Joint 9  Story RF  Acceleration  UX
 FUNCTION  Point9-Displ-X:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION
            Point9-Acce Point9-Disp
    0.00000     0.00182     0.00000
    0.00500  -7.967E-04     0.00000
    0.01000  -8.115E-04     0.00000
    0.01500     0.00108     0.00000
    0.02000   7.000E-04     0.00000
    0.02500  -6.277E-05     0.00000
    0.03000  -8.043E-05     0.00000
    0.03500  -9.398E-05     0.00000
    0.04000  -1.077E-04     0.00000
    0.04500  -8.717E-04     0.00000
    0.05000     0.00100     0.00000
    0.05500  -5.060E-04     0.00000
    0.06000   2.330E-04     0.00000
    0.06500  -5.154E-04     0.00000
    0.07000   2.361E-04     0.00000
    0.07500   2.443E-04     0.00000
    0.08000   2.457E-04     0.00000
    0.08500  -1.328E-04     0.00000
    0.09000  -1.395E-04     0.00000
    0.09500   6.052E-04     0.00000
    0.10000  -5.279E-04     0.00000
    0.10500    -0.00129     0.00000
    0.11000  -5.450E-04     0.00000
    0.11500  -1.522E-04     0.00000
    0.12000   6.213E-04     0.00000
    0.12500  -8.539E-04     0.00000
    0.13000   6.698E-04     0.00000
    0.13500   3.308E-04     0.00000
    0.14000     0.00148     0.00000
    0.14500  -7.668E-04     0.00000
    0.15000  -3.204E-05     0.00000
    0.15500  -3.910E-05     0.00000
    0.16000  -5.402E-05     0.00000
    0.16500  -7.142E-05     0.00000
    0.17000   2.890E-04     0.00000
    0.17500     0.00104     0.00000
    0.18000  -1.085E-04     0.00000
    0.18500  -5.043E-04     0.00000
    0.19000  -5.162E-04     0.00000
    0.19500   2.299E-04     0.00000
    0.20000  -1.462E-04     0.00000
    0.20500  -9.014E-04     0.00000
    0.21000   2.274E-04     0.00000
    0.21500   2.452E-04     0.00000
    0.22000  -8.668E-04     0.00000
    0.22500     0.00140     0.00000
    0.23000  -7.873E-05     0.00000
    0.23500  -7.972E-05     0.00000
    0.24000   2.967E-04     0.00000
    0.24500  -8.139E-05     0.00000
    0.25000  -9.305E-05     0.00000
    0.25500  -8.552E-04     0.00000
    0.26000  -1.131E-04     0.00000
    0.26500   6.424E-04     0.00000
    0.27000  -4.779E-04     0.00000
    0.27500  -1.011E-04     0.00000
    0.28000  -4.617E-04     0.00000
    0.28500  -4.445E-04     0.00000
    0.29000  -4.585E-05     0.00000
    0.29500   3.560E-04     0.00000
    0.30000   4.110E-06     0.00000
    0.30500  -7.286E-04     0.00000
    0.31000   4.169E-04     0.00000
    0.31500   8.183E-04     0.00000
    0.32000   8.056E-05     0.00000
    0.32500  -2.948E-04     0.00000
    0.33000   8.085E-05     0.00000
    0.33500   8.294E-05     0.00000
    0.34000   8.032E-05     0.00000
    0.34500  -6.741E-04     0.00000
    0.35000  -3.000E-04     0.00000
    0.35500     0.00122     0.00000
    0.36000   9.928E-05     0.00000
    0.36500  -2.791E-04     0.00000
    0.37000   9.838E-05     0.00000
    0.37500   4.794E-04     0.00000
    0.38000  -2.715E-04     0.00000
    0.38500   8.454E-04     0.00000
    0.39000   4.633E-04     0.00000
    0.39500    -0.00106     0.00000
    0.40000   4.720E-05     0.00000
    0.40500  -7.062E-04     0.00000
    0.41000  -3.347E-04     0.00000
    0.41500   8.002E-04     0.00000
    0.42000   6.344E-05     0.00000
    0.42500  -6.812E-04     0.00000
    0.43000   8.151E-05     0.00000
    0.43500   1.032E-04     0.00000
    0.44000   8.680E-04     0.00000
    0.44500   4.997E-04     0.00000
    0.45000  -6.347E-04     0.00000
    0.45500   1.023E-04     0.00000
    0.46000  -2.785E-04     0.00000
    0.46500   4.611E-04     0.00000
    0.47000   7.754E-05     0.00000
    0.47500   8.140E-04     0.00000
    0.48000   5.103E-05     0.00000
    0.48500   3.003E-05     0.00000
    0.49000   1.191E-05     0.00000
    0.49500  -3.820E-04     0.00000
    0.50000  -7.755E-04     0.00000
    0.50500   3.397E-04     0.00000
    0.51000  -3.535E-05     0.00000
    0.51500   3.363E-04     0.00000
    0.52000   3.376E-04     0.00000
    0.52500   3.361E-04     0.00000
    0.53000  -4.485E-05     0.00000
    0.53500  -8.064E-04     0.00000
    0.54000   3.084E-04     0.00000
    0.54500   3.041E-04     0.00000
    0.55000  -8.350E-04     0.00000
    0.55500  -9.772E-05     0.00000
    0.56000   6.552E-04     0.00000
    0.56500  -4.685E-04     0.00000
    0.57000  -9.773E-05     0.00000
    0.57500  -9.186E-05     0.00000
    0.58000  -4.613E-04     0.00000
    0.58500  -7.965E-05     0.00000
    0.59000  -4.433E-04     0.00000
    0.59500  -5.649E-05     0.00000
    0.60000  -3.896E-05     0.00000
    0.60500   7.284E-04     0.00000
    0.61000  -3.821E-04     0.00000
    0.61500   3.733E-04     0.00000
    0.62000   7.576E-04     0.00000
    0.62500  -3.710E-04     0.00000
    0.63000  -3.860E-04     0.00000
    0.63500     0.00112     0.00000
    0.64000  -7.808E-04     0.00000
    0.64500  -4.303E-04     0.00000
    0.65000  -6.175E-05     0.00000
    0.65500     0.00107     0.00000
    0.66000  -8.136E-04     0.00000
    0.66500  -4.487E-04     0.00000
    0.67000  -6.479E-05     0.00000
    0.67500   6.984E-04     0.00000
    0.68000  -4.181E-04     0.00000
    0.68500   3.324E-04     0.00000
    0.69000     0.00110     0.00000
    0.69500  -4.031E-05     0.00000
    0.70000  -4.358E-04     0.00000
    0.70500   2.974E-04     0.00000
    0.71000   2.824E-04     0.00000
    0.71500   2.590E-04     0.00000
    0.72000  -1.427E-04     0.00000
    0.72500  -5.436E-04     0.00000
    0.73000     0.00131     0.00000
    0.73500   1.756E-04     0.00000
    0.74000   1.444E-04     0.00000
    0.74500   4.916E-04     0.00000
    0.75000  -6.637E-04     0.00000
    0.75500   4.266E-04     0.00000
