 
 ETABS v9.7.3  File:HW1_DAMPER_V2_LINEAR  Units:Ton-m  May 20, 2018 23:59  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point9_A_2F:  Joint 9  Story 2F  Abs Accel  UX
 FUNCTION  Point9_V_2F:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_2F:  Joint 9  Story 2F  Displacement  UX
 FUNCTION  Point9_A_3F:  Joint 9  Story 3F  Abs Accel  UX
 FUNCTION  Point9_V_3F:  Joint 9  Story 3F  Velocity  UX
 FUNCTION  Point9_D_3F:  Joint 9  Story 3F  Displacement  UX
 FUNCTION  Point9_A_RF:  Joint 9  Story RF  Abs Accel  UX
 FUNCTION  Point9_V_RF:  Joint 9  Story RF  Velocity  UX
 FUNCTION  Point9_D_RF:  Joint 9  Story RF  Displacement  UX
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
            Point9_A_2F Point9_V_2F Point9_D_2F Point9_A_3F Point9_V_3F Point9_D_3F Point9_A_RF Point9_V_RF Point9_D_RF
    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    0.00500  -2.175E-04   3.950E-06     0.00000  -3.633E-05   3.824E-06     0.00000   4.578E-06   3.950E-06     0.00000
    0.01000  -2.179E-04   4.843E-06     0.00000  -5.868E-05   4.489E-06     0.00000  -1.177E-05   4.843E-06     0.00000
    0.01500  -2.068E-04   5.656E-06     0.00000  -8.942E-05   5.038E-06     0.00000  -2.447E-05   5.656E-06     0.00000
    0.02000  -1.900E-04   6.400E-06     0.00000  -1.171E-04   5.416E-06     0.00000  -4.354E-05   6.400E-06     0.00000
    0.02500  -9.387E-05   5.534E-06     0.00000  -1.257E-04   4.217E-06     0.00000  -6.655E-05   5.534E-06     0.00000
    0.03000  -2.229E-05   4.562E-06     0.00000  -1.218E-04   3.004E-06     0.00000  -8.634E-05   4.562E-06     0.00000
    0.03500   2.371E-05   3.499E-06     0.00000  -1.054E-04   1.842E-06     0.00000  -1.029E-04   3.499E-06     0.00000
    0.04000   4.953E-05   2.364E-06     0.00000  -8.135E-05     0.00000     0.00000  -1.145E-04   2.364E-06     0.00000
    0.04500  -1.115E-04   4.219E-06     0.00000  -8.264E-05   2.826E-06     0.00000  -1.121E-04   4.219E-06     0.00000
    0.05000  -1.477E-04   4.546E-06     0.00000  -8.177E-05   3.298E-06     0.00000  -1.253E-04   4.546E-06     0.00000
    0.05500     0.00000   1.783E-06     0.00000  -7.089E-05     0.00000     0.00000  -1.310E-04   1.783E-06     0.00000
    0.06000   3.964E-05     0.00000     0.00000  -6.866E-05     0.00000     0.00000  -1.229E-04     0.00000     0.00000
    0.06500   1.500E-04  -2.149E-06     0.00000  -4.382E-05  -2.526E-06     0.00000  -1.170E-04  -2.149E-06     0.00000
    0.07000   5.244E-05  -1.777E-06     0.00000  -3.555E-05  -1.789E-06     0.00000  -9.236E-05  -1.777E-06     0.00000
    0.07500  -1.136E-04     0.00000     0.00000  -3.904E-05     0.00000     0.00000  -8.001E-05     0.00000     0.00000
    0.08000   1.633E-05  -2.275E-06     0.00000  -1.993E-05  -1.826E-06     0.00000  -7.957E-05  -2.275E-06     0.00000
    0.08500  -2.166E-04   1.289E-06     0.00000  -5.803E-05   1.932E-06     0.00000  -4.818E-05   1.289E-06     0.00000
    0.09000  -4.740E-04   6.495E-06     0.00000  -1.161E-04   6.884E-06     0.00000  -4.929E-05   6.495E-06     0.00000
    0.09500  -3.242E-04   5.600E-06     0.00000  -1.475E-04   5.642E-06     0.00000  -7.127E-05   5.600E-06     0.00000
    0.10000  -2.692E-04   6.119E-06     0.00000  -1.905E-04   5.710E-06     0.00000  -8.292E-05   6.119E-06     0.00000
    0.10500  -2.259E-04   6.565E-06     0.00000  -2.162E-04   5.583E-06     0.00000  -1.052E-04   6.565E-06     0.00000
    0.11000  -1.170E-04   5.378E-06     0.00000  -2.131E-04   3.914E-06     0.00000  -1.334E-04   5.378E-06     0.00000
    0.11500  -2.996E-04   8.570E-06     0.00000  -2.340E-04   6.723E-06     0.00000  -1.468E-04   8.570E-06     0.00000
    0.12000  -3.584E-04   1.013E-05     0.00000  -2.425E-04   7.875E-06     0.00000  -1.871E-04   1.013E-05     0.00000
    0.12500  -2.349E-04   8.487E-06     0.00000  -2.405E-04   6.078E-06     0.00000  -2.197E-04   8.487E-06     0.00000
    0.13000  -2.123E-04   8.244E-06     0.00000  -2.487E-04   5.750E-06     0.00000  -2.422E-04   8.244E-06     0.00000
    0.13500  -1.170E-04   6.389E-06     0.00000  -2.391E-04   3.939E-06     0.00000  -2.626E-04   6.389E-06     0.00000
    0.14000  -4.804E-05   4.455E-06     0.00000  -2.209E-04   2.196E-06     0.00000  -2.739E-04   4.455E-06     0.00000
    0.14500   8.371E-05     0.00000     0.00000  -1.805E-04     0.00000     0.00000  -2.809E-04     0.00000     0.00000
    0.15000   2.622E-04  -4.067E-06     0.00000  -1.172E-04  -5.310E-06     0.00000  -2.736E-04  -4.067E-06     0.00000
    0.15500   3.890E-04  -9.006E-06     0.00000  -4.022E-05  -9.338E-06     0.00000  -2.470E-04  -9.006E-06     0.00000
    0.16000   3.840E-04  -1.224E-05     0.00000   3.332E-05  -1.146E-05     0.00000  -1.998E-04  -1.224E-05     0.00000
    0.16500   1.960E-04  -1.218E-05     0.00000   7.798E-05  -1.025E-05     0.00000  -1.387E-04  -1.218E-05     0.00000
    0.17000   5.105E-05  -1.182E-05     0.00000   1.010E-04  -8.898E-06     0.00000  -8.318E-05  -1.182E-05     0.00000
    0.17500  -1.349E-04  -9.665E-06     0.00000   8.109E-05  -5.982E-06     0.00000  -2.159E-05  -9.665E-06     0.00000
    0.18000  -4.268E-04  -4.190E-06     0.00000   1.025E-05     0.00000     0.00000   2.890E-05  -4.190E-06     0.00000
    0.18500  -4.569E-04  -1.563E-06     0.00000  -6.026E-05   1.992E-06     0.00000   4.491E-05  -1.563E-06     0.00000
    0.19000  -3.683E-04     0.00000     0.00000  -1.262E-04   2.441E-06     0.00000   4.961E-05     0.00000     0.00000
    0.19500  -2.843E-04     0.00000     0.00000  -1.742E-04   2.577E-06     0.00000   3.781E-05     0.00000     0.00000
    0.20000  -5.291E-05  -1.273E-06     0.00000  -1.699E-04     0.00000     0.00000   8.028E-06  -1.273E-06     0.00000
    0.20500   1.129E-04  -3.408E-06     0.00000  -1.331E-04  -3.286E-06     0.00000  -1.562E-05  -3.408E-06     0.00000
    0.21000   1.343E-04  -4.120E-06     0.00000  -8.104E-05  -4.418E-06     0.00000  -3.367E-05  -4.120E-06     0.00000
    0.21500   1.300E-04  -4.914E-06     0.00000  -2.119E-05  -5.261E-06     0.00000  -4.701E-05  -4.914E-06     0.00000
    0.22000   3.294E-05  -4.246E-06     0.00000   1.667E-05  -4.348E-06     0.00000  -4.592E-05  -4.246E-06     0.00000
    0.22500  -3.892E-05  -3.556E-06     0.00000   3.478E-05  -3.313E-06     0.00000  -4.232E-05  -3.556E-06     0.00000
