 
 ETABS v9.7.3  File:HW1_V6_BARE  Units:Ton-m  June 9, 2018 15:27  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  1F_D:  Joint 4  Story 1F  Displacement  UX
 FUNCTION  RF_A:  Joint 4  Story RF  Abs Accel  UX
 
       TIME    FUNCTION    FUNCTION
                   1F_D        RF_A
    0.00000     0.00000     0.00000
    0.01000     0.00000    -0.02584
    0.02000     0.00000    -0.03531
    0.03000     0.00000    -0.04018
    0.04000     0.00000    -0.08446
    0.05000     0.00000    -0.16807
    0.06000     0.00000    -0.23866
    0.07000     0.00000    -0.26401
    0.08000     0.00000    -0.25024
    0.09000     0.00000    -0.21924
    0.10000     0.00000    -0.18663
    0.11000     0.00000    -0.15861
    0.12000     0.00000    -0.13718
    0.13000     0.00000    -0.12248
    0.14000     0.00000    -0.11234
    0.15000     0.00000    -0.10295
    0.16000     0.00000    -0.09118
    0.17000     0.00000    -0.07623
    0.18000     0.00000    -0.05951
    0.19000     0.00000    -0.04338
    0.20000     0.00000    -0.02993
    0.21000     0.00000    -0.02034
    0.22000     0.00000    -0.01473
    0.23000     0.00000    -0.01238
    0.24000     0.00000    -0.01226
    0.25000     0.00000    -0.01353
    0.26000     0.00000    -0.01577
    0.27000     0.00000    -0.01892
    0.28000     0.00000    -0.02303
    0.29000     0.00000    -0.02803
    0.30000     0.00000    -0.03360
    0.31000     0.00000    -0.03932
    0.32000     0.00000    -0.04499
    0.33000     0.00000    -0.05080
    0.34000     0.00000    -0.05700
    0.35000     0.00000    -0.06350
    0.36000     0.00000    -0.06962
    0.37000     0.00000    -0.07453
    0.38000     0.00000    -0.07774
    0.39000     0.00000    -0.07958
    0.40000     0.00000    -0.08085
    0.41000     0.00000    -0.08226
    0.42000     0.00000    -0.08405
    0.43000     0.00000    -0.08602
    0.44000     0.00000    -0.08749
    0.45000     0.00000    -0.08750
    0.46000     0.00000    -0.08529
    0.47000     0.00000    -0.08071
    0.48000     0.00000    -0.07427
    0.49000     0.00000    -0.06674
    0.50000     0.00000    -0.05880
    0.51000     0.00000    -0.05116
    0.52000     0.00000    -0.04479
    0.53000     0.00000    -0.04077
    0.54000     0.00000    -0.03971
    0.55000     0.00000    -0.04136
    0.56000     0.00000    -0.04469
    0.57000     0.00000    -0.04849
    0.58000     0.00000    -0.05187
    0.59000     0.00000    -0.05464
    0.60000     0.00000    -0.05712
    0.61000     0.00000    -0.05967
    0.62000     0.00000    -0.06251
    0.63000     0.00000    -0.06584
    0.64000     0.00000    -0.06963
    0.65000     0.00000    -0.07304
    0.66000     0.00000    -0.07443
    0.67000     0.00000    -0.07210
    0.68000     0.00000    -0.06573
    0.69000     0.00000    -0.05729
    0.70000     0.00000    -0.05034
    0.71000     0.00000    -0.04791
    0.72000     0.00000    -0.05070
    0.73000     0.00000    -0.05694
    0.74000     0.00000    -0.06381
    0.75000     0.00000    -0.06918
    0.76000     0.00000    -0.07258
    0.77000     0.00000    -0.07462
    0.78000     0.00000    -0.07547
    0.79000     0.00000    -0.07422
    0.80000     0.00000    -0.06977
    0.81000     0.00000    -0.06131
    0.82000     0.00000    -0.04766
    0.83000     0.00000    -0.02683
    0.84000     0.00000     0.00300
    0.85000     0.00000     0.04201
    0.86000     0.00000     0.08812
    0.87000     0.00000     0.13830
    0.88000     0.00000     0.18974
    0.89000     0.00000     0.23883
    0.90000     0.00000     0.28020
    0.91000     0.00000     0.30861
    0.92000     0.00000     0.32177
    0.93000     0.00000     0.32124
    0.94000     0.00000     0.31187
    0.95000     0.00000     0.30066
    0.96000     0.00000     0.29418
    0.97000     0.00000     0.29590
    0.98000     0.00000     0.30497
    0.99000     0.00000     0.31740
    1.00000     0.00000     0.32796
    1.01000     0.00000     0.33228
    1.02000     0.00000     0.32849
    1.03000     0.00000     0.31794
    1.04000     0.00000     0.30407
    1.05000     0.00000     0.29063
    1.06000     0.00000     0.28032
    1.07000     0.00000     0.27465
    1.08000     0.00000     0.27424
    1.09000     0.00000     0.27852
    1.10000     0.00000     0.28480
    1.11000     0.00000     0.28856
    1.12000     0.00000     0.28550
    1.13000     0.00000     0.27365
    1.14000     0.00000     0.25392
    1.15000     0.00000     0.22890
    1.16000     0.00000     0.20110
    1.17000     0.00000     0.17221
    1.18000     0.00000     0.14309
    1.19000     0.00000     0.11390
    1.20000     0.00000     0.08440
    1.21000     0.00000     0.05471
    1.22000     0.00000     0.02637
    1.23000     0.00000     0.00157
    1.24000     0.00000    -0.02109
    1.25000     0.00000    -0.05034
    1.26000     0.00000    -0.09918
    1.27000     0.00000    -0.17547
    1.28000     0.00000    -0.27555
    1.29000     0.00000    -0.38810
    1.30000     0.00000    -0.49996
    1.31000     0.00000    -0.59373
    1.32000     0.00000    -0.64507
    1.33000     0.00000    -0.63054
    1.34000     0.00000    -0.54005
    1.35000     0.00000    -0.38128
    1.36000     0.00000    -0.17316
    1.37000     0.00000     0.06452
    1.38000     0.00000     0.31913
    1.39000     0.00000     0.58551
    1.40000     0.00000     0.85726
    1.41000     0.00000     1.11865
    1.42000     0.00000     1.34791
    1.43000     0.00000     1.52864
    1.44000     0.00000     1.65714
    1.45000     0.00000     1.74024
    1.46000     0.00000     1.78837
    1.47000     0.00000     1.81076
    1.48000     0.00000     1.81311
    1.49000     0.00000     1.79755
    1.50000     0.00000     1.76753
    1.51000     0.00000     1.73518
    1.52000     0.00000     1.71977
    1.53000     0.00000     1.73105
    1.54000     0.00000     1.75307
    1.55000     0.00000     1.74966
    1.56000     0.00000     1.68876
    1.57000     0.00000     1.56226
    1.58000     0.00000     1.38618
    1.59000     0.00000     1.18552
    1.60000     0.00000     0.97884
    1.61000     0.00000     0.77248
    1.62000     0.00000     0.56398
    1.63000     0.00000     0.34842
    1.64000     0.00000     0.12323
    1.65000     0.00000    -0.11028
    1.66000     0.00000    -0.34809
    1.67000     0.00000    -0.58533
    1.68000     0.00000    -0.81784
    1.69000     0.00000    -1.04297
    1.70000     0.00000    -1.25935
    1.71000     0.00000    -1.46664
    1.72000     0.00000    -1.66523
    1.73000     0.00000    -1.85585
    1.74000     0.00000    -2.03945
    1.75000     0.00000    -2.21571
