 
 ETABS v9.7.3  File:HW1_V6_BARE  Units:Ton-m  June 9, 2018 16:37  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  1F_D:  Joint 4  Story 1F  Displacement  UX
 FUNCTION  RF_A:  Joint 4  Story RF  Abs Accel  UX
 
       TIME    FUNCTION    FUNCTION
                   1F_D        RF_A
    0.00000     0.00000     0.00000
    0.01000     0.00000    -0.00444
    0.02000     0.00000     0.01314
    0.03000     0.00000     0.07348
    0.04000     0.00000     0.10219
    0.05000     0.00000    -0.00651
    0.06000     0.00000    -0.22278
    0.07000     0.00000    -0.39203
    0.08000     0.00000    -0.41856
    0.09000     0.00000    -0.35785
    0.10000     0.00000    -0.30291
    0.11000     0.00000    -0.25597
    0.12000     0.00000    -0.17331
    0.13000     0.00000    -0.08637
    0.14000     0.00000    -0.08851
    0.15000     0.00000    -0.19842
    0.16000     0.00000    -0.31133
    0.17000     0.00000    -0.31921
    0.18000     0.00000    -0.22940
    0.19000     0.00000    -0.12214
    0.20000     0.00000    -0.03112
    0.21000     0.00000     0.07021
    0.22000     0.00000     0.17649
    0.23000     0.00000     0.21848
    0.24000     0.00000     0.15374
    0.25000     0.00000     0.04209
    0.26000     0.00000    -0.01470
    0.27000     0.00000     0.01291
    0.28000     0.00000     0.07142
    0.29000     0.00000     0.11497
    0.30000     0.00000     0.15328
    0.31000     0.00000     0.19646
    0.32000     0.00000     0.20247
    0.33000     0.00000     0.12265
    0.34000     0.00000    -0.02007
    0.35000     0.00000    -0.14247
    0.36000     0.00000    -0.19126
    0.37000     0.00000    -0.18728
    0.38000     0.00000    -0.17309
    0.39000     0.00000    -0.15480
    0.40000     0.00000    -0.12232
    0.41000     0.00000    -0.10030
    0.42000     0.00000    -0.13536
    0.43000     0.00000    -0.23059
    0.44000     0.00000    -0.32670
    0.45000     0.00000    -0.36285
    0.46000     0.00000    -0.33476
    0.47000     0.00000    -0.27663
    0.48000     0.00000    -0.20742
    0.49000     0.00000    -0.12407
    0.50000     0.00000    -0.03996
    0.51000     0.00000     0.00602
    0.52000     0.00000    -0.00623
    0.53000     0.00000    -0.04517
    0.54000     0.00000    -0.05866
    0.55000     0.00000    -0.02820
    0.56000     0.00000     0.02523
    0.57000     0.00000     0.08072
    0.58000     0.00000     0.13757
    0.59000     0.00000     0.19128
    0.60000     0.00000     0.21439
    0.61000     0.00000     0.18210
    0.62000     0.00000     0.10810
    0.63000     0.00000     0.03539
    0.64000     0.00000    -0.00810
    0.65000     0.00000    -0.02902
    0.66000     0.00000    -0.04259
    0.67000     0.00000    -0.04688
    0.68000     0.00000    -0.03587
    0.69000     0.00000    -0.02538
    0.70000     0.00000    -0.04544
    0.71000     0.00000    -0.10521
    0.72000     0.00000    -0.17967
    0.73000     0.00000    -0.23652
    0.74000     0.00000    -0.26497
    0.75000     0.00000    -0.27137
    0.76000     0.00000    -0.25854
    0.77000     0.00000    -0.22527
    0.78000     0.00000    -0.18319
    0.79000     0.00000    -0.15717
    0.80000     0.00000    -0.16156
    0.81000     0.00000    -0.18353
    0.82000     0.00000    -0.19603
    0.83000     0.00000    -0.18175
    0.84000     0.00000    -0.13815
    0.85000     0.00000    -0.06581
    0.86000     0.00000     0.03507
    0.87000     0.00000     0.15504
    0.88000     0.00000     0.27305
    0.89000     0.00000     0.37052
    0.90000     0.00000     0.44366
    0.91000     0.00000     0.49809
    0.92000     0.00000     0.53569
    0.93000     0.00000     0.55297
    0.94000     0.00000     0.55125
    0.95000     0.00000     0.54163
    0.96000     0.00000     0.53594
    0.97000     0.00000     0.53577
    0.98000     0.00000     0.53376
    0.99000     0.00000     0.52340
    1.00000     0.00000     0.50240
    1.01000     0.00000     0.46722
    1.02000     0.00000     0.41144
    1.03000     0.00000     0.33429
    1.04000     0.00000     0.24727
    1.05000     0.00000     0.16751
    1.06000     0.00000     0.10491
    1.07000     0.00000     0.05949
    1.08000     0.00000     0.03004
    1.09000     0.00000     0.01930
    1.10000     0.00000     0.02700
    1.11000     0.00000     0.04239
    1.12000     0.00000     0.05029
    1.13000     0.00000     0.04504
    1.14000     0.00000     0.03484
    1.15000     0.00000     0.03172
    1.16000     0.00000     0.04114
    1.17000     0.00000     0.06254
    1.18000     0.00000     0.09444
    1.19000     0.00000     0.13262
    1.20000     0.00000     0.16476
    1.21000     0.00000     0.17554
    1.22000     0.00000     0.16278
    1.23000     0.00000     0.14595
    1.24000     0.00000     0.15109
    1.25000     0.00000     0.18340
    1.26000     0.00000     0.21734
    1.27000     0.00000     0.21590
    1.28000     0.00000     0.15547
    1.29000     0.00000     0.02760
    1.30000     0.00000    -0.17370
    1.31000     0.00000    -0.44300
    1.32000     0.00000    -0.73388
    1.33000     0.00000    -0.95797
    1.34000     0.00000    -1.03687
    1.35000     0.00000    -0.95820
    1.36000     0.00000    -0.77402
    1.37000     0.00000    -0.54852
    1.38000     0.00000    -0.31438
    1.39000     0.00000    -0.07141
    1.40000     0.00000     0.19231
    1.41000     0.00000     0.48732
    1.42000     0.00000     0.82110
    1.43000     0.00000     1.19374
    1.44000     0.00000     1.58876
    1.45000     0.00000     1.97247
    1.46000     0.00000     2.30781
    1.47000     0.00000     2.56917
    1.48000     0.00000     2.74214
    1.49000     0.00000     2.81430
    1.50000     0.00000     2.78125
    1.51000     0.00000     2.67324
    1.52000     0.00000     2.56757
    1.53000     0.00000     2.54743
    1.54000     0.00000     2.62756
    1.55000     0.00000     2.72349
    1.56000     0.00000     2.70717
    1.57000     0.00000     2.49680
    1.58000     0.00000     2.09637
    1.59000     0.00000     1.56862
    1.60000     0.00000     0.99458
    1.61000     0.00000     0.45659
    1.62000     0.00000     0.02446
    1.63000     0.00000    -0.27825
    1.64000     0.00000    -0.49925
    1.65000     0.00000    -0.73124
    1.66000     0.00000    -1.04738
    1.67000     0.00000    -1.45796
    1.68000     0.00000    -1.91944
    1.69000     0.00000    -2.36695
    1.70000     0.00000    -2.73297
    1.71000     0.00000    -2.95726
    1.72000     0.00000    -3.01156
    1.73000     0.00000    -2.92755
    1.74000     0.00000    -2.79022
    1.75000     0.00000    -2.68937
    1.76000     0.00000    -2.67079
