 
 ETABS v9.7.3  File:HW1_V6  Units:Ton-m  June 9, 2018 15:25  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  1F_D:  Joint 4  Story 1F  Displacement  UX
 FUNCTION  RF_A:  Joint 4  Story RF  Abs Accel  UX
 
       TIME    FUNCTION    FUNCTION
                   1F_D        RF_A
    0.00000     0.00000     0.00000
    0.01000   2.054E-05    -0.00490
    0.02000   8.197E-05    -0.00928
    0.03000   1.695E-04    -0.01104
    0.04000   2.626E-04    -0.01153
    0.05000   3.591E-04    -0.01321
    0.06000   4.596E-04    -0.01639
    0.07000   5.640E-04    -0.02069
    0.08000   6.721E-04    -0.02526
    0.09000   7.839E-04    -0.02954
    0.10000   8.991E-04    -0.03339
    0.11000     0.00102    -0.03686
    0.12000     0.00114    -0.04004
    0.13000     0.00126    -0.04296
    0.14000     0.00139    -0.04563
    0.15000     0.00152    -0.04810
    0.16000     0.00165    -0.05046
    0.17000     0.00178    -0.05281
    0.18000     0.00191    -0.05523
    0.19000     0.00205    -0.05776
    0.20000     0.00218    -0.06039
    0.21000     0.00232    -0.06312
    0.22000     0.00245    -0.06592
    0.23000     0.00258    -0.06877
    0.24000     0.00272    -0.07163
    0.25000     0.00285    -0.07444
    0.26000     0.00298    -0.07715
    0.27000     0.00311    -0.07973
    0.28000     0.00324    -0.08216
    0.29000     0.00337    -0.08447
    0.30000     0.00349    -0.08670
    0.31000     0.00361    -0.08887
    0.32000     0.00373    -0.09093
    0.33000     0.00385    -0.09288
    0.34000     0.00397    -0.09469
    0.35000     0.00408    -0.09642
    0.36000     0.00419    -0.09810
    0.37000     0.00429    -0.09978
    0.38000     0.00439    -0.10145
    0.39000     0.00449    -0.10307
    0.40000     0.00459    -0.10462
    0.41000     0.00468    -0.10606
    0.42000     0.00477    -0.10736
    0.43000     0.00485    -0.10852
    0.44000     0.00494    -0.10956
    0.45000     0.00501    -0.11048
    0.46000     0.00508    -0.11125
    0.47000     0.00515    -0.11187
    0.48000     0.00521    -0.11234
    0.49000     0.00526    -0.11269
    0.50000     0.00530    -0.11296
    0.51000     0.00534    -0.11314
    0.52000     0.00538    -0.11319
    0.53000     0.00541    -0.11311
    0.54000     0.00544    -0.11288
    0.55000     0.00546    -0.11255
    0.56000     0.00548    -0.11217
    0.57000     0.00550    -0.11177
    0.58000     0.00551    -0.11138
    0.59000     0.00551    -0.11100
    0.60000     0.00551    -0.11063
    0.61000     0.00551    -0.11024
    0.62000     0.00551    -0.10974
    0.63000     0.00550    -0.10902
    0.64000     0.00549    -0.10804
    0.65000     0.00547    -0.10688
    0.66000     0.00544    -0.10568
    0.67000     0.00541    -0.10455
    0.68000     0.00537    -0.10346
    0.69000     0.00533    -0.10228
    0.70000     0.00529    -0.10090
    0.71000     0.00524    -0.09932
    0.72000     0.00519    -0.09766
    0.73000     0.00514    -0.09604
    0.74000     0.00509    -0.09452
    0.75000     0.00503    -0.09305
    0.76000     0.00498    -0.09156
    0.77000     0.00492    -0.09000
    0.78000     0.00486    -0.08834
    0.79000     0.00479    -0.08647
    0.80000     0.00472    -0.08423
    0.81000     0.00463    -0.08149
    0.82000     0.00453    -0.07818
    0.83000     0.00441    -0.07423
    0.84000     0.00428    -0.06956
    0.85000     0.00411    -0.06407
    0.86000     0.00392    -0.05785
    0.87000     0.00371    -0.05109
    0.88000     0.00347    -0.04393
    0.89000     0.00321    -0.03634
    0.90000     0.00293    -0.02824
    0.91000     0.00264    -0.01955
    0.92000     0.00234    -0.01021
    0.93000     0.00202  -2.916E-04
    0.94000     0.00168     0.01001
    0.95000     0.00131     0.02047
    0.96000   9.285E-04     0.03096
    0.97000   5.204E-04     0.04144
    0.98000   9.086E-05     0.05200
    0.99000  -3.581E-04     0.06279
    1.00000  -8.245E-04     0.07397
    1.01000    -0.00131     0.08561
    1.02000    -0.00180     0.09772
    1.03000    -0.00232     0.11025
    1.04000    -0.00284     0.12318
    1.05000    -0.00338     0.13646
    1.06000    -0.00394     0.14998
    1.07000    -0.00451     0.16352
    1.08000    -0.00509     0.17685
    1.09000    -0.00569     0.18988
    1.10000    -0.00629     0.20263
    1.11000    -0.00689     0.21518
    1.12000    -0.00750     0.22749
    1.13000    -0.00810     0.23944
    1.14000    -0.00870     0.25085
    1.15000    -0.00928     0.26157
    1.16000    -0.00986     0.27149
    1.17000    -0.01042     0.28059
    1.18000    -0.01096     0.28898
    1.19000    -0.01148     0.29684
    1.20000    -0.01198     0.30415
    1.21000    -0.01247     0.31053
    1.22000    -0.01294     0.31536
    1.23000    -0.01337     0.31816
    1.24000    -0.01376     0.31893
    1.25000    -0.01409     0.31788
    1.26000    -0.01435     0.31507
    1.27000    -0.01454     0.31056
    1.28000    -0.01464     0.30486
    1.29000    -0.01467     0.29887
    1.30000    -0.01465     0.29315
    1.31000    -0.01459     0.28761
    1.32000    -0.01451     0.28208
    1.33000    -0.01443     0.27681
    1.34000    -0.01437     0.27263
    1.35000    -0.01434     0.27067
    1.36000    -0.01436     0.27188
    1.37000    -0.01444     0.27640
    1.38000    -0.01460     0.28370
    1.39000    -0.01483     0.29336
    1.40000    -0.01513     0.30545
    1.41000    -0.01549     0.32024
    1.42000    -0.01591     0.33768
    1.43000    -0.01640     0.35719
    1.44000    -0.01695     0.37784
    1.45000    -0.01756     0.39877
    1.46000    -0.01822     0.41960
    1.47000    -0.01894     0.44078
    1.48000    -0.01972     0.46340
    1.49000    -0.02058     0.48816
    1.50000    -0.02154     0.51450
    1.51000    -0.02260     0.54078
    1.52000    -0.02376     0.56571
    1.53000    -0.02500     0.58944
    1.54000    -0.02629     0.61299
    1.55000    -0.02763     0.63707
    1.56000    -0.02899     0.66135
    1.57000    -0.03039     0.68461
    1.58000    -0.03179     0.70554
    1.59000    -0.03320     0.72322
    1.60000    -0.03458     0.73724
    1.61000    -0.03593     0.74752
    1.62000    -0.03723     0.75411
    1.63000    -0.03847     0.75696
    1.64000    -0.03963     0.75600
    1.65000    -0.04069     0.75126
    1.66000    -0.04165     0.74295
    1.67000    -0.04248     0.73137
    1.68000    -0.04318     0.71679
    1.69000    -0.04372     0.69938
