 
 ETABS v9.7.3  File:HW1_V6  Units:Ton-m  June 9, 2018 17:43  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  1F_D:  Joint 4  Story 1F  Displacement  UX
 FUNCTION  RF_A:  Joint 4  Story RF  Abs Accel  UX
 
       TIME    FUNCTION    FUNCTION
                   1F_D        RF_A
    0.00000     0.00000     0.00000
    0.01000   2.061E-05  -3.434E-04
    0.02000   8.230E-05  -6.523E-04
    0.03000   1.702E-04  -9.027E-06
    0.04000   2.637E-04     0.00250
    0.05000   3.611E-04     0.00488
    0.06000   4.628E-04     0.00264
    0.07000   5.684E-04    -0.00565
    0.08000   6.781E-04    -0.01612
    0.09000   7.915E-04    -0.02470
    0.10000   9.081E-04    -0.03099
    0.11000     0.00103    -0.03635
    0.12000     0.00115    -0.04159
    0.13000     0.00128    -0.04735
    0.14000     0.00142    -0.05329
    0.15000     0.00155    -0.05684
    0.16000     0.00169    -0.05597
    0.17000     0.00183    -0.05271
    0.18000     0.00197    -0.05123
    0.19000     0.00211    -0.05324
    0.20000     0.00225    -0.05749
    0.21000     0.00239    -0.06252
    0.22000     0.00253    -0.06762
    0.23000     0.00266    -0.07256
    0.24000     0.00280    -0.07832
    0.25000     0.00293    -0.08648
    0.26000     0.00306    -0.09646
    0.27000     0.00319    -0.10502
    0.28000     0.00331    -0.10973
    0.29000     0.00344    -0.11127
    0.30000     0.00355    -0.11162
    0.31000     0.00367    -0.11199
    0.32000     0.00379    -0.11275
    0.33000     0.00390    -0.11359
    0.34000     0.00400    -0.11354
    0.35000     0.00410    -0.11237
    0.36000     0.00419    -0.11195
    0.37000     0.00428    -0.11460
    0.38000     0.00436    -0.12032
    0.39000     0.00443    -0.12703
    0.40000     0.00450    -0.13285
    0.41000     0.00457    -0.13715
    0.42000     0.00462    -0.14012
    0.43000     0.00468    -0.14248
    0.44000     0.00472    -0.14491
    0.45000     0.00476    -0.14679
    0.46000     0.00480    -0.14651
    0.47000     0.00482    -0.14349
    0.48000     0.00484    -0.13924
    0.49000     0.00484    -0.13579
    0.50000     0.00484    -0.13401
    0.51000     0.00483    -0.13363
    0.52000     0.00481    -0.13385
    0.53000     0.00479    -0.13385
    0.54000     0.00476    -0.13348
    0.55000     0.00472    -0.13364
    0.56000     0.00467    -0.13512
    0.57000     0.00462    -0.13720
    0.58000     0.00456    -0.13816
    0.59000     0.00450    -0.13692
    0.60000     0.00443    -0.13367
    0.61000     0.00436    -0.12929
    0.62000     0.00429    -0.12471
    0.63000     0.00421    -0.12045
    0.64000     0.00413    -0.11627
    0.65000     0.00403    -0.11160
    0.66000     0.00393    -0.10666
    0.67000     0.00382    -0.10259
    0.68000     0.00371    -0.10023
    0.69000     0.00359    -0.09920
    0.70000     0.00347    -0.09832
    0.71000     0.00335    -0.09661
    0.72000     0.00322    -0.09372
    0.73000     0.00309    -0.09002
    0.74000     0.00297    -0.08621
    0.75000     0.00284    -0.08255
    0.76000     0.00272    -0.07842
    0.77000     0.00259    -0.07308
    0.78000     0.00246    -0.06668
    0.79000     0.00233    -0.06032
    0.80000     0.00219    -0.05502
    0.81000     0.00205    -0.05114
    0.82000     0.00189    -0.04834
    0.83000     0.00172    -0.04589
    0.84000     0.00152    -0.04314
    0.85000     0.00131    -0.03992
    0.86000     0.00107    -0.03643
    0.87000   8.118E-04    -0.03248
    0.88000   5.319E-04    -0.02714
    0.89000   2.360E-04    -0.01925
    0.90000  -7.254E-05    -0.00820
    0.91000  -3.916E-04     0.00569
    0.92000  -7.212E-04     0.02132
    0.93000    -0.00106     0.03723
    0.94000    -0.00142     0.05234
    0.95000    -0.00180     0.06622
    0.96000    -0.00220     0.07883
    0.97000    -0.00262     0.09008
    0.98000    -0.00305     0.09989
    0.99000    -0.00351     0.10851
    1.00000    -0.00397     0.11672
    1.01000    -0.00445     0.12564
    1.02000    -0.00494     0.13628
    1.03000    -0.00544     0.14921
    1.04000    -0.00595     0.16425
    1.05000    -0.00646     0.18079
    1.06000    -0.00699     0.19820
    1.07000    -0.00753     0.21600
    1.08000    -0.00808     0.23374
    1.09000    -0.00863     0.25081
    1.10000    -0.00919     0.26658
    1.11000    -0.00975     0.28051
    1.12000    -0.01030     0.29232
    1.13000    -0.01085     0.30205
    1.14000    -0.01139     0.31004
    1.15000    -0.01192     0.31693
    1.16000    -0.01243     0.32326
    1.17000    -0.01292     0.32934
    1.18000    -0.01339     0.33545
    1.19000    -0.01384     0.34192
    1.20000    -0.01426     0.34895
    1.21000    -0.01466     0.35634
    1.22000    -0.01503     0.36370
    1.23000    -0.01536     0.37066
    1.24000    -0.01565     0.37694
    1.25000    -0.01587     0.38244
    1.26000    -0.01602     0.38707
    1.27000    -0.01608     0.39052
    1.28000    -0.01605     0.39214
    1.29000    -0.01595     0.39129
    1.30000    -0.01578     0.38837
    1.31000    -0.01558     0.38462
    1.32000    -0.01535     0.37910
    1.33000    -0.01511     0.36809
    1.34000    -0.01488     0.34983
    1.35000    -0.01467     0.32748
    1.36000    -0.01451     0.30595
    1.37000    -0.01441     0.28803
    1.38000    -0.01438     0.27465
    1.39000    -0.01441     0.26631
    1.40000    -0.01451     0.26335
    1.41000    -0.01466     0.26752
    1.42000    -0.01488     0.28201
    1.43000    -0.01516     0.30710
    1.44000    -0.01550     0.33713
    1.45000    -0.01591     0.36470
    1.46000    -0.01638     0.38628
    1.47000    -0.01692     0.40214
    1.48000    -0.01753     0.41336
    1.49000    -0.01824     0.42074
    1.50000    -0.01906     0.42426
    1.51000    -0.02000     0.42261
    1.52000    -0.02105     0.41551
    1.53000    -0.02220     0.40739
    1.54000    -0.02341     0.40590
    1.55000    -0.02468     0.41574
    1.56000    -0.02600     0.43554
    1.57000    -0.02737     0.46061
    1.58000    -0.02876     0.48675
    1.59000    -0.03016     0.51155
    1.60000    -0.03158     0.53446
    1.61000    -0.03298     0.55589
    1.62000    -0.03435     0.57437
    1.63000    -0.03569     0.58535
    1.64000    -0.03697     0.58482
    1.65000    -0.03818     0.57367
    1.66000    -0.03930     0.55708
    1.67000    -0.04032     0.54055
    1.68000    -0.04122     0.52738
    1.69000    -0.04197     0.51859
