 
 ETABS v9.7.3  File:HW1_V6  Units:Ton-m  June 9, 2018 15:24  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  LRB_F:  Link L11 at End-J  Story 1F  Shear 2
 FUNCTION  LRB_D:  Link L11  Story 1F  U2
 
       TIME    FUNCTION    FUNCTION
                  LRB_F            
    0.00000     0.00000     0.00000
    0.01000   1.658E-04   2.054E-05
    0.02000   6.615E-04   8.197E-05
    0.03000     0.00137   1.695E-04
    0.04000     0.00212   2.626E-04
    0.05000     0.00290   3.591E-04
    0.06000     0.00371   4.596E-04
    0.07000     0.00455   5.640E-04
    0.08000     0.00542   6.721E-04
    0.09000     0.00633   7.839E-04
    0.10000     0.00725   8.991E-04
    0.11000     0.00821     0.00102
    0.12000     0.00919     0.00114
    0.13000     0.01019     0.00126
    0.14000     0.01121     0.00139
    0.15000     0.01224     0.00152
    0.16000     0.01329     0.00165
    0.17000     0.01435     0.00178
    0.18000     0.01542     0.00191
    0.19000     0.01650     0.00205
    0.20000     0.01758     0.00218
    0.21000     0.01866     0.00232
    0.22000     0.01975     0.00245
    0.23000     0.02083     0.00258
    0.24000     0.02190     0.00272
    0.25000     0.02296     0.00285
    0.26000     0.02402     0.00298
    0.27000     0.02507     0.00311
    0.28000     0.02610     0.00324
    0.29000     0.02711     0.00337
    0.30000     0.02810     0.00349
    0.31000     0.02907     0.00361
    0.32000     0.03003     0.00373
    0.33000     0.03097     0.00385
    0.34000     0.03189     0.00397
    0.35000     0.03278     0.00408
    0.36000     0.03364     0.00419
    0.37000     0.03448     0.00429
    0.38000     0.03528     0.00439
    0.39000     0.03607     0.00449
    0.40000     0.03683     0.00459
    0.41000     0.03757     0.00468
    0.42000     0.03828     0.00477
    0.43000     0.03896     0.00485
    0.44000     0.03961     0.00494
    0.45000     0.04021     0.00501
    0.46000     0.04077     0.00508
    0.47000     0.04129     0.00515
    0.48000     0.04175     0.00521
    0.49000     0.04215     0.00526
    0.50000     0.04251     0.00530
    0.51000     0.04283     0.00534
    0.52000     0.04312     0.00538
    0.53000     0.04337     0.00541
    0.54000     0.04358     0.00544
    0.55000     0.04377     0.00546
    0.56000     0.04392     0.00548
    0.57000     0.04403     0.00550
    0.58000     0.04411     0.00551
    0.59000     0.04416     0.00551
    0.60000     0.04418     0.00551
    0.61000     0.04417     0.00551
    0.62000     0.04415     0.00551
    0.63000     0.04409     0.00550
    0.64000     0.04398     0.00549
    0.65000     0.04382     0.00547
    0.66000     0.04361     0.00544
    0.67000     0.04334     0.00541
    0.68000     0.04303     0.00537
    0.69000     0.04270     0.00533
    0.70000     0.04234     0.00529
    0.71000     0.04197     0.00524
    0.72000     0.04158     0.00519
    0.73000     0.04117     0.00514
    0.74000     0.04074     0.00509
    0.75000     0.04031     0.00503
    0.76000     0.03985     0.00498
    0.77000     0.03938     0.00492
    0.78000     0.03888     0.00486
    0.79000     0.03834     0.00479
    0.80000     0.03774     0.00472
    0.81000     0.03705     0.00463
    0.82000     0.03625     0.00453
    0.83000     0.03530     0.00441
    0.84000     0.03418     0.00428
    0.85000     0.03286     0.00411
    0.86000     0.03133     0.00392
    0.87000     0.02959     0.00371
    0.88000     0.02766     0.00347
    0.89000     0.02556     0.00321
    0.90000     0.02334     0.00293
    0.91000     0.02100     0.00264
    0.92000     0.01854     0.00234
    0.93000     0.01595     0.00202
    0.94000     0.01320     0.00168
    0.95000     0.01028     0.00131
    0.96000     0.00717   9.285E-04
    0.97000     0.00388   5.204E-04
    0.98000   4.106E-04   9.086E-05
    0.99000    -0.00321  -3.581E-04
    1.00000    -0.00698  -8.245E-04
    1.01000    -0.01087    -0.00131
    1.02000    -0.01487    -0.00180
    1.03000    -0.01899    -0.00232
    1.04000    -0.02321    -0.00284
    1.05000    -0.02754    -0.00338
    1.06000    -0.03198    -0.00394
    1.07000    -0.03653    -0.00451
    1.08000    -0.04117    -0.00509
    1.09000    -0.04587    -0.00569
    1.10000    -0.05059    -0.00629
    1.11000    -0.05532    -0.00689
    1.12000    -0.06002    -0.00750
    1.13000    -0.06466    -0.00810
    1.14000    -0.06923    -0.00870
    1.15000    -0.07370    -0.00928
    1.16000    -0.07804    -0.00986
    1.17000    -0.08223    -0.01042
    1.18000    -0.08625    -0.01096
    1.19000    -0.09011    -0.01148
    1.20000    -0.09381    -0.01198
    1.21000    -0.09735    -0.01247
    1.22000    -0.10070    -0.01294
    1.23000    -0.10379    -0.01337
    1.24000    -0.10655    -0.01376
    1.25000    -0.10887    -0.01409
    1.26000    -0.11070    -0.01435
    1.27000    -0.11199    -0.01454
    1.28000    -0.11271    -0.01464
    1.29000    -0.11293    -0.01467
    1.30000    -0.11273    -0.01465
    1.31000    -0.11224    -0.01459
    1.32000    -0.11163    -0.01451
    1.33000    -0.11101    -0.01443
    1.34000    -0.11051    -0.01437
