 
 ETABS v9.7.3  File:HW1_V6  Units:Ton-m  June 9, 2018 16:33  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  LRB_F:  Link L11 at End-J  Story 1F  Shear 2
 FUNCTION  LRB_D:  Link L11  Story 1F  U2
 
       TIME    FUNCTION    FUNCTION
                  LRB_F            
    0.00000     0.00000     0.00000
    0.01000   1.666E-04   2.064E-05
    0.02000   6.672E-04   8.267E-05
    0.03000     0.00138   1.716E-04
    0.04000     0.00215   2.669E-04
    0.05000     0.00296   3.668E-04
    0.06000     0.00381   4.718E-04
    0.07000     0.00469   5.815E-04
    0.08000     0.00562   6.962E-04
    0.09000     0.00658   8.155E-04
    0.10000     0.00758   9.390E-04
    0.11000     0.00861     0.00107
    0.12000     0.00968     0.00120
    0.13000     0.01080     0.00134
    0.14000     0.01195     0.00148
    0.15000     0.01313     0.00163
    0.16000     0.01434     0.00178
    0.17000     0.01558     0.00193
    0.18000     0.01683     0.00209
    0.19000     0.01811     0.00225
    0.20000     0.01940     0.00241
    0.21000     0.02069     0.00257
    0.22000     0.02198     0.00273
    0.23000     0.02326     0.00289
    0.24000     0.02454     0.00305
    0.25000     0.02583     0.00321
    0.26000     0.02712     0.00337
    0.27000     0.02840     0.00353
    0.28000     0.02968     0.00369
    0.29000     0.03095     0.00385
    0.30000     0.03221     0.00401
    0.31000     0.03347     0.00417
    0.32000     0.03473     0.00432
    0.33000     0.03597     0.00448
    0.34000     0.03719     0.00463
    0.35000     0.03837     0.00478
    0.36000     0.03951     0.00492
    0.37000     0.04063     0.00506
    0.38000     0.04170     0.00520
    0.39000     0.04275     0.00533
    0.40000     0.04377     0.00546
    0.41000     0.04476     0.00559
    0.42000     0.04571     0.00571
    0.43000     0.04664     0.00583
    0.44000     0.04753     0.00594
    0.45000     0.04839     0.00605
    0.46000     0.04920     0.00615
    0.47000     0.04995     0.00625
    0.48000     0.05064     0.00634
    0.49000     0.05127     0.00642
    0.50000     0.05184     0.00649
    0.51000     0.05236     0.00655
    0.52000     0.05282     0.00661
    0.53000     0.05322     0.00666
    0.54000     0.05356     0.00671
    0.55000     0.05384     0.00674
    0.56000     0.05408     0.00678
    0.57000     0.05427     0.00680
    0.58000     0.05441     0.00682
    0.59000     0.05451     0.00683
    0.60000     0.05456     0.00684
    0.61000     0.05457     0.00684
    0.62000     0.05455     0.00683
    0.63000     0.05448     0.00683
    0.64000     0.05435     0.00681
    0.65000     0.05414     0.00678
    0.66000     0.05385     0.00675
    0.67000     0.05347     0.00670
    0.68000     0.05303     0.00665
    0.69000     0.05253     0.00658
    0.70000     0.05199     0.00652
    0.71000     0.05140     0.00645
    0.72000     0.05077     0.00637
    0.73000     0.05009     0.00628
    0.74000     0.04938     0.00619
    0.75000     0.04865     0.00610
    0.76000     0.04788     0.00601
    0.77000     0.04709     0.00591
    0.78000     0.04624     0.00581
    0.79000     0.04533     0.00569
    0.80000     0.04434     0.00557
    0.81000     0.04325     0.00543
    0.82000     0.04202     0.00528
    0.83000     0.04061     0.00511
    0.84000     0.03900     0.00491
    0.85000     0.03716     0.00468
    0.86000     0.03509     0.00442
    0.87000     0.03277     0.00414
    0.88000     0.03025     0.00382
    0.89000     0.02754     0.00349
    0.90000     0.02467     0.00313
    0.91000     0.02165     0.00276
    0.92000     0.01850     0.00237
    0.93000     0.01519     0.00196
    0.94000     0.01170     0.00153
    0.95000     0.00799     0.00107
    0.96000     0.00406   5.786E-04
    0.97000  -1.051E-04   6.277E-05
    0.98000    -0.00449  -4.804E-04
    0.99000    -0.00907    -0.00105
    1.00000    -0.01382    -0.00164
    1.01000    -0.01873    -0.00225
    1.02000    -0.02378    -0.00288
    1.03000    -0.02897    -0.00352
    1.04000    -0.03428    -0.00419
    1.05000    -0.03970    -0.00487
    1.06000    -0.04524    -0.00557
    1.07000    -0.05089    -0.00629
    1.08000    -0.05663    -0.00703
    1.09000    -0.06245    -0.00778
    1.10000    -0.06830    -0.00854
    1.11000    -0.07415    -0.00931
    1.12000    -0.07997    -0.01008
    1.13000    -0.08574    -0.01085
    1.14000    -0.09143    -0.01162
    1.15000    -0.09701    -0.01239
    1.16000    -0.10245    -0.01315
    1.17000    -0.10772    -0.01389
    1.18000    -0.11279    -0.01461
    1.19000    -0.11766    -0.01532
    1.20000    -0.12234    -0.01601
    1.21000    -0.12682    -0.01668
    1.22000    -0.13109    -0.01733
    1.23000    -0.13507    -0.01794
    1.24000    -0.13869    -0.01850
    1.25000    -0.14187    -0.01900
    1.26000    -0.14457    -0.01943
    1.27000    -0.14673    -0.01978
    1.28000    -0.14834    -0.02004
    1.29000    -0.14947    -0.02023
    1.30000    -0.15019    -0.02034
    1.31000    -0.15065    -0.02042
    1.32000    -0.15094    -0.02047
    1.33000    -0.15117    -0.02051
    1.34000    -0.15143    -0.02055
