TIME/STEP     base_shear_z
0     0
0.02     0.06797
0.04     0.03595
0.06     -0.2505
0.08     -0.5149
0.1     -0.422
0.12     0.1903
0.14     0.5999
0.16     0.03742
0.18     -0.8568
0.2     -0.9148
0.22     -0.1611
0.24     0.04745
0.26     -0.8318
0.28     -1.534
0.3     -0.9648
0.32     -0.1392
0.34     -0.4296
0.36     -1.683
0.38     -2.329
0.4     -1.565
0.42     -0.7204
0.44     -0.7498
0.46     -1.271
0.48     -1.572
0.5     -1.289
0.52     -0.2744
0.54     0.879
0.56     0.7726
0.58     -0.9517
0.6     -2.17
0.62     -1.405
0.64     -0.2157
0.66     -0.05313
0.68     -0.8574
0.7     -1.967
0.72     -2.782
0.74     -2.881
0.76     -2.173
0.78     -1.152
0.8     -0.5169
0.82     0.04848
0.84     1.619
0.86     4.327
0.88     6.718
0.9     7.349
0.92     6.981
0.94     6.783
0.96     6.164
0.98     4.326
1     1.739
1.02     -0.01849
1.04     -0.2959
1.06     -1.516
1.08     -5.513
1.1     -10.45
1.12     -13.62
1.14     -14.35
1.16     -14.54
1.18     -15.83
1.2     -17.04
1.22     -15.74
1.24     -11.39
1.26     -6.449
1.28     -3.291
1.3     -1.419
1.32     1.021
1.34     4.699
1.36     8.088
1.38     9.793
1.4     11.11
1.42     13.75
1.44     17.25
1.46     19
1.48     17.07
1.5     12.97
1.52     9.493
1.54     6.876
1.56     2.804
1.58     -4.058
1.6     -11.81
1.62     -16.89
1.64     -18.07
1.66     -18.15
1.68     -19.45
1.7     -21.77
1.72     -25.03
1.74     -27.95
1.76     -27.52
1.78     -21.93
1.8     -13.29
1.82     -5.789
1.84     0.4156
1.86     8.11
1.88     15.73
1.9     19.41
1.92     19.93
1.94     21.43
1.96     25.46
1.98     30.26
2     33.2
2.02     32.02
2.04     26.6
2.06     18.97
2.08     10.32
2.1     0.2024
2.12     -11.83
2.14     -24.27
2.16     -34.24
2.18     -40.6
2.2     -43.5
2.22     -43.1
2.24     -40.97
2.26     -37.44
2.28     -31.86
2.3     -25.73
2.32     -20.03
2.34     -13.85
2.36     -4.932
2.38     9.703
2.4     29.52
2.42     47.9
2.44     58
2.46     58.79
2.48     52.24
2.5     39.83
2.52     23.93
2.54     7.264
2.56     -7.869
2.58     -18.75
2.6     -25.68
2.62     -31.66
2.64     -39.55
2.66     -50.51
2.68     -61.85
2.7     -68.24
2.72     -67.21
2.74     -61.38
2.76     -52.07
2.78     -37.09
2.8     -13.66
2.82     16.27
2.84     43.31
2.86     58.88
2.88     64.19
2.9     66.06
2.92     67.13
2.94     65.13
2.96     58.2
2.98     48.25
3     35.9
3.02     19.54
3.04     -1.064
3.06     -26.03
3.08     -53.6
3.1     -78.6
3.12     -96.01
3.14     -103.6
3.16     -100.7
3.18     -88.51
3.2     -72.23
3.22     -55.93
3.24     -38.57
3.26     -15.95
3.28     14.53
3.3     48.18
3.32     74.02
3.34     86.88
3.36     91.64
3.38     94.15
3.4     91.95
3.42     76.66
3.44     48.45
3.46     19.56
3.48     -2.227
3.5     -21.91
3.52     -42.45
3.54     -59.62
3.56     -70.8
3.58     -78.15
3.6     -84.52
3.62     -89.04
3.64     -85.9
3.66     -71.53
3.68     -48.82
3.7     -19.67
3.72     12.84
3.74     37.87
3.76     45.94
3.78     42.54
3.8     41.65
3.82     47.5
3.84     52.37
3.86     48.34
3.88     34.16
3.9     16.35
3.92     4.77
3.94     -0.8246
3.96     -10.09
3.98     -25.54
4     -39.06
4.02     -43.14
4.04     -38.36
4.06     -33.17
4.08     -35.97
4.1     -40.9
4.12     -34.92
4.14     -14.96
4.16     10.82
4.18     28.65
4.2     30.72
4.22     21.42
4.24     11.56
4.26     6.688
4.28     3.29
4.3     -1.733
4.32     -6.1
4.34     -9.984
4.36     -18.37
4.38     -33.04
4.4     -47
4.42     -48.69
4.44     -37.31
4.46     -23.04
4.48     -15.82
4.5     -17.01
4.52     -16.38
4.54     -6.867
4.56     5.908
4.58     13.88
4.6     16.77
4.62     21.34
4.64     32.38
4.66     43.96
4.68     45.01
4.7     29.9
4.72     3.673
4.74     -19.91
4.76     -28.37
4.78     -19.82
4.8     -4.844
4.82     2.312
4.84     -1.015
4.86     -5.192
4.88     -10.14
4.9     -26.09
4.92     -49.82
4.94     -64.25
4.96     -56.32
4.98     -30.22
5     -2.271
5.02     19.52
5.04     37.67
5.06     48.88
5.08     45.3
5.1     32.15
5.12     26.41
5.14     37.21
5.16     57.43
5.18     75.35
5.2     82.65
5.22     74.26
5.24     48.61
5.26     6.996
5.28     -39.71
5.3     -70.8
5.32     -75.92
5.34     -66.04
5.36     -59.06
5.38     -61.63
5.4     -66.52
5.42     -66.27
5.44     -63.67
5.46     -61.99
5.48     -55.21
5.5     -34.85
5.52     -1.411
5.54     33.64
5.56     56.53
5.58     62.26
5.6     56.96
5.62     49.36
5.64     42.81
5.66     35.06
5.68     27.1
5.7     25.91
5.72     31.93
5.74     34.12
5.76     17
5.78     -20.35
5.8     -54.25
5.82     -68.32
5.84     -72.65
5.86     -77.27
5.88     -77.12
5.9     -68.01
5.92     -53.96
5.94     -40.85
5.96     -31.28
5.98     -21.56
6     -4.589
6.02     20.12
6.04     44.5
6.06     62.94
6.08     76.78
6.1     85.47
6.12     79.49
6.14     54.17
6.16     21.11
6.18     -3.234
6.2     -11.4
6.22     -9.21
6.24     -7.29
6.26     -12.82
6.28     -26.61
6.3     -41.05
6.32     -51.35
6.34     -58.67
6.36     -55.6
6.38     -33.29
6.4     2.495
6.42     39.23
6.44     65.54
6.46     72.19
6.48     56.09
6.5     25.54
6.52     0.5834
6.54     -2.927
6.56     9.705
6.58     19
6.6     16.16
6.62     9.85
6.64     7.051
6.66     5.026
6.68     -0.6759
6.7     -14.79
6.72     -34.59
6.74     -45.88
6.76     -41.83
6.78     -28.81
6.8     -15.33
6.82     -7.981
6.84     -11.63
6.86     -28.18
6.88     -52.04
6.9     -72.95
6.92     -83.68
6.94     -81.87
6.96     -70.94
6.98     -54.35
7     -26.22
7.02     13.47
7.04     43.52
7.06     46.64
7.08     35.92
7.1     39.31
7.12     65.88
7.14     96.82
7.16     109.2
7.18     102.2
7.2     88.34
7.22     73.27
7.24     52.52
7.26     19.4
7.28     -25.96
7.3     -74.46
7.32     -112.8
7.34     -133.3
7.36     -141.8
7.38     -153
7.4     -170.1
7.42     -175.4
7.44     -152.2
7.46     -108.6
7.48     -64.35
7.5     -25.65
7.52     14.68
7.54     60.92
7.56     108.7
7.58     153.3
7.6     192
7.62     220.5
7.64     232.2
7.66     226.1
7.68     207.3
7.7     175.9
7.72     124.7
7.74     57.39
7.76     -8.326
7.78     -62.59
7.8     -109.7
7.82     -151.4
7.84     -178.8
7.86     -189.2
7.88     -195.6
7.9     -206.2
7.92     -205.2
7.94     -172.2
7.96     -114.3
7.98     -56.65
8     -8.827
8.02     35.38
8.04     75.99
8.06     106.5
8.08     126.6
8.1     143.9
8.12     160.7
8.14     168.6
8.16     159.6
8.18     137.1
8.2     109.1
8.22     78.28
8.24     44.92
8.26     13.18
8.28     -12.54
8.3     -31.13
8.32     -48.9
8.34     -74.22
8.36     -106.4
8.38     -142.4
8.4     -180.2
8.42     -209.7
8.44     -219.7
8.46     -206.8
8.48     -173.9
8.5     -131.4
8.52     -92.69
8.54     -61.76
8.56     -32.41
8.58     3.078
8.6     45.59
8.62     96.33
8.64     157.2
8.66     220.4
8.68     272.7
8.7     304.1
8.72     315.2
8.74     314.3
8.76     305
8.78     282
8.8     237.7
8.82     166.5
8.84     75.08
8.86     -17.97
8.88     -100.6
8.9     -179.5
8.92     -267.8
8.94     -360.2
8.96     -435.5
8.98     -480.6
9     -500
9.02     -501.5
9.04     -470.4
9.06     -385.3
9.08     -251.7
9.1     -93.92
9.12     69.94
9.14     232.6
9.16     393.5
9.18     549.3
9.2     689.3
9.22     804.8
9.24     884.8
9.26     911.9
9.28     869.4
9.3     752.5
9.32     582.4
9.34     392.2
9.36     198.6
9.38     -6.393
9.4     -240.9
9.42     -504
9.44     -760.4
9.46     -962.3
9.48     -1085
9.5     -1134
9.52     -1127
9.54     -1075
9.56     -975.8
9.58     -831
9.6     -635.6
9.62     -385.3
9.64     -91.84
9.66     217.5
9.68     516
9.7     783.7
9.72     1003
9.74     1160
9.76     1248
9.78     1260
9.8     1197
9.82     1077
9.84     931.3
9.86     777.5
9.88     588
9.9     309.8
9.92     -70.25
9.94     -489
9.96     -850.7
9.98     -1097
10     -1233
10.02     -1286
10.04     -1273
10.06     -1193
10.08     -1059
10.1     -892
10.12     -699
10.14     -469
10.16     -184.8
10.18     161.9
10.2     557.6
10.22     960.2
10.24     1312
10.26     1569
10.28     1707
