TIME/STEP     base_shear_x
0     0
0.02     0.0409
0.04     0.1676
0.06     0.1623
0.08     -0.9553
0.1     -2.944
0.12     -3.926
0.14     -3.428
0.16     -2.989
0.18     -3.929
0.2     -5.585
0.22     -6.26
0.24     -5.942
0.26     -6.159
0.28     -6.825
0.3     -7.411
0.32     -7.524
0.34     -6.174
0.36     -3.6
0.38     -2.844
0.4     -6.767
0.42     -11.77
0.44     -11.53
0.46     -7.367
0.48     -5.292
0.5     -6.49
0.52     -6.892
0.54     -3.975
0.56     -1.041
0.58     -1.333
0.6     -4.421
0.62     -7.736
0.64     -9.246
0.66     -9.647
0.68     -9.949
0.7     -9.764
0.72     -7.757
0.74     -4.146
0.76     -1.537
0.78     0.241
0.8     4.852
0.82     12.95
0.84     20.61
0.86     24.82
0.88     24.95
0.9     21.66
0.92     18.08
0.94     14.67
0.96     8.785
0.98     0.749
1     -6.404
1.02     -8.888
1.04     -5.925
1.06     -3.523
1.08     -6.413
1.1     -10.39
1.12     -10.85
1.14     -7.953
1.16     -3.543
1.18     -1.54
1.2     -7.267
1.22     -21.27
1.24     -37.14
1.26     -45.16
1.28     -42.7
1.3     -41.27
1.32     -47.7
1.34     -52.16
1.36     -47.3
1.38     -37.76
1.4     -29.82
1.42     -24.75
1.44     -17.57
1.46     -6.348
1.48     4.396
1.5     10.46
1.52     9.133
1.54     1.198
1.56     -8.053
1.58     -13.03
1.6     -10.88
1.62     -3.718
1.64     0.3747
1.66     -1.378
1.68     0.03459
1.7     10.2
1.72     20.14
1.74     20.71
1.76     17.33
1.78     18.38
1.8     22.26
1.82     22.81
1.84     17.09
1.86     9.519
1.88     4.182
1.9     -0.2632
1.92     -1.423
1.94     2.484
1.96     4.845
1.98     0.5942
2     -6.975
2.02     -12.08
2.04     -13.04
2.06     -15.52
2.08     -24.78
2.1     -33.91
2.12     -33.06
2.14     -24.6
2.16     -19.96
2.18     -25.18
2.2     -27.99
2.22     -19.7
2.24     -13.15
2.26     -13.94
2.28     -13.67
2.3     -8.012
2.32     -0.3162
2.34     2.202
2.36     -0.1985
2.38     2.101
2.4     6.692
2.42     -0.2088
2.44     -20.23
2.46     -42.2
2.48     -54.69
2.5     -52.63
2.52     -42.27
2.54     -37.64
2.56     -44.25
2.58     -53.82
2.6     -56.49
2.62     -52.63
2.64     -50.46
2.66     -47.89
2.68     -35.22
2.7     -13.81
2.72     7.293
2.74     12.64
2.76     -9.34
2.78     -45.04
2.8     -66.37
2.82     -56.41
2.84     -23.86
2.86     5.493
2.88     13.58
2.9     0.5518
2.92     -17.77
2.94     -25.84
2.96     -26.11
2.98     -32.66
3     -46.4
3.02     -47.75
3.04     -28.55
3.06     -13.99
3.08     -27.54
3.1     -51.26
3.12     -54.18
3.14     -35.01
3.16     -11.26
3.18     8.293
3.2     29.86
3.22     58.01
3.24     72.6
3.26     57.4
3.28     29.74
3.3     0.2056
3.32     -37.85
3.34     -80.18
3.36     -115.8
3.38     -131.2
3.4     -118.4
3.42     -96.77
3.44     -90.12
3.46     -92.03
3.48     -81.59
3.5     -50.36
3.52     -5.368
3.54     40.71
3.56     74.71
3.58     82.49
3.6     67.78
3.62     52.49
3.64     38.23
3.66     3.604
3.68     -51.73
3.7     -102.8
3.72     -132.8
3.74     -143.9
3.76     -152.7
3.78     -160
3.8     -131.3
3.82     -62.72
3.84     -4.486
3.86     14.69
3.88     6.491
3.9     -7.736
3.92     -6.977
3.94     9.879
3.96     26.27
3.98     34.65
4     24.25
4.02     -21.11
4.04     -86.56
4.06     -132.9
4.08     -137.2
4.1     -100.8
4.12     -45.73
4.14     1.535
4.16     29.21
4.18     31.33
4.2     9.866
4.22     -17.63
4.24     -27.71
4.26     -15.9
4.28     -7.761
4.3     -22.6
4.32     -52.86
4.34     -82.98
4.36     -107.5
4.38     -131.1
4.4     -142.1
4.42     -110
4.44     -38.86
4.46     9.878
4.48     -15.46
4.5     -86.17
4.52     -125.9
4.54     -108.3
4.56     -77.5
4.58     -73.31
4.6     -88.42
4.62     -102.9
4.64     -126.4
4.66     -171.6
4.68     -206.3
4.7     -183.2
4.72     -104.3
4.74     -16.6
4.76     46.59
4.78     81.34
4.8     86.47
4.82     67.23
4.84     38.27
4.86     13.41
4.88     -2.511
4.9     -15.14
4.92     -18.5
4.94     -1.201
4.96     24.4
4.98     42.33
5     60.8
5.02     90.94
5.04     127.1
5.06     151.4
5.08     162.4
5.1     197.8
5.12     268.8
5.14     309.2
5.16     259.7
5.18     149.6
5.2     47.73
5.22     -18.11
5.24     -66.43
5.26     -111.4
5.28     -112.2
5.3     -25.24
5.32     101.9
5.34     174
5.36     145.8
5.38     54.38
5.4     -21.1
5.42     -27.7
5.44     31.23
5.46     104.7
5.48     133.4
5.5     85.06
5.52     -29.74
5.54     -159.3
5.56     -250.8
5.58     -293.2
5.6     -303.5
5.62     -275.6
5.64     -193.3
5.66     -85.82
5.68     -6.261
5.7     20.02
5.72     -1.125
5.74     -49.37
5.76     -91.65
5.78     -88.83
5.8     -32.78
5.82     31.47
5.84     47.32
5.86     1.533
5.88     -74.61
5.9     -133.7
5.92     -141.6
5.94     -104
5.96     -55.28
5.98     0.9605
6     95.74
6.02     210.6
6.04     269.6
6.06     227.8
6.08     110.1
6.1     -9.983
6.12     -54.47
6.14     -10.36
6.16     54.55
6.18     71.79
6.2     34.9
6.22     -13.49
6.24     -31.49
6.26     -20.31
6.28     -2.917
6.3     30.05
6.32     104.2
6.34     204.5
6.36     278.7
6.38     281.2
6.4     204.8
6.42     88.39
6.44     -18.17
6.46     -94.02
6.48     -125.1
6.5     -94.38
6.52     -28.1
6.54     13.75
6.56     10.4
6.58     1.258
6.6     30.43
6.62     89.67
6.64     140.7
6.66     183
6.68     235.9
6.7     272
6.72     247.9
6.74     159.6
6.76     34.8
6.78     -84.44
6.8     -156.8
6.82     -171.5
6.84     -163.4
6.86     -172.7
6.88     -199.9
6.9     -211
6.92     -166
6.94     -70.01
6.96     13.35
6.98     36.39
7     18.27
7.02     2.059
7.04     -3.413
7.06     -22.98
7.08     -71.53
7.1     -128.1
7.12     -166.5
7.14     -186.9
7.16     -198.6
7.18     -202.3
7.2     -201.9
7.22     -197.4
7.24     -167.4
7.26     -100.3
7.28     -32.5
7.3     -10.42
7.32     -24.66
7.34     -26.34
7.36     -1.66
7.38     11.71
7.4     -12.2
7.42     -44.51
7.44     -49.18
7.46     -37.44
7.48     -32.96
7.5     -14.75
7.52     51.01
7.54     142.4
7.56     198.5
7.58     202.6
7.6     192.5
7.62     188.6
7.64     163.3
7.66     98.68
7.68     42.31
7.7     54.61
7.72     112
7.74     132.5
