TIME/STEP     RF_deform_z
0     0
0.02     0.000205783
0.04     0.000294108
0.06     -0.000498566
0.08     -0.00191226
0.1     -0.00296659
0.12     -0.00243994
0.14     -0.00103394
0.16     -0.00127959
0.18     -0.00314695
0.2     -0.00407463
0.22     -0.00291592
0.24     -0.00225785
0.26     -0.00486778
0.28     -0.00907031
0.3     -0.0110334
0.32     -0.0107123
0.34     -0.0112334
0.36     -0.0142996
0.38     -0.017818
0.4     -0.018282
0.42     -0.0164671
0.44     -0.0149595
0.46     -0.0145791
0.48     -0.0147997
0.5     -0.0137941
0.52     -0.00933496
0.54     -0.00183083
0.56     0.00378431
0.58     0.00321547
0.6     -0.000406493
0.62     -0.00161111
0.64     -0.00196669
0.66     -0.00531251
0.68     -0.0122036
0.7     -0.0209107
0.72     -0.0285903
0.74     -0.0330329
0.76     -0.0336036
0.78     -0.0311522
0.8     -0.0265447
0.82     -0.0180838
0.84     -0.00208582
0.86     0.0224801
0.88     0.0514416
0.9     0.0782668
0.92     0.100324
0.94     0.117062
0.96     0.123723
0.98     0.114335
1     0.0872966
1.02     0.0477844
1.04     0.00440896
1.06     -0.0404357
1.08     -0.0882456
1.1     -0.13475
1.12     -0.17196
1.14     -0.194378
1.16     -0.203634
1.18     -0.206039
1.2     -0.203587
1.22     -0.191507
1.24     -0.164344
1.26     -0.123994
1.28     -0.0781791
1.3     -0.0314642
1.32     0.0167603
1.34     0.06742
1.36     0.115503
1.38     0.151901
1.4     0.173958
1.42     0.186883
1.44     0.196328
1.46     0.201666
1.48     0.19647
1.5     0.178412
1.52     0.152166
1.54     0.120697
1.56     0.0790434
1.58     0.0190347
1.6     -0.0600203
1.62     -0.146455
1.64     -0.224271
1.66     -0.286031
1.68     -0.330486
1.7     -0.355291
1.72     -0.360701
1.74     -0.347348
1.76     -0.313115
1.78     -0.25822
1.8     -0.189174
1.82     -0.115819
1.84     -0.0388207
1.86     0.0498204
1.88     0.146301
1.9     0.233508
1.92     0.300933
1.94     0.349864
1.96     0.38288
1.98     0.399233
2     0.396819
2.02     0.372542
2.04     0.326587
2.06     0.264763
2.08     0.190114
2.1     0.0977094
2.12     -0.019939
2.14     -0.162742
2.16     -0.31806
2.18     -0.468386
2.2     -0.596084
2.22     -0.68311
2.24     -0.717186
2.26     -0.68945
2.28     -0.595369
2.3     -0.44731
2.32     -0.269379
2.34     -0.0857058
2.36     0.0866126
2.38     0.244515
2.4     0.390937
2.42     0.519698
2.44     0.618699
2.46     0.682445
2.48     0.707294
2.5     0.681956
2.52     0.593076
2.54     0.432472
2.56     0.203791
2.58     -0.067945
2.6     -0.346375
2.62     -0.597699
2.64     -0.795298
2.66     -0.923954
2.68     -0.975554
2.7     -0.946821
2.72     -0.848231
2.74     -0.708283
2.76     -0.553364
2.78     -0.389918
2.8     -0.205926
2.82     0.0130388
2.84     0.259658
2.86     0.50778
2.88     0.736519
2.9     0.934198
2.92     1.08125
2.94     1.14621
2.96     1.10171
2.98     0.943868
3     0.689936
3.02     0.366553
3.04     0.0061762
3.06     -0.364729
3.08     -0.723683
3.1     -1.04063
3.12     -1.28468
3.14     -1.43494
3.16     -1.47888
3.18     -1.40979
3.2     -1.23384
