TIME/STEP     RF_deform
0     0
0.02     6.46229e-05
0.04     0.000322791
0.06     0.000547413
0.08     -0.000972699
0.1     -0.00535446
0.12     -0.0108634
0.14     -0.0160941
0.16     -0.0220008
0.18     -0.0302159
0.2     -0.0409581
0.22     -0.0527744
0.24     -0.0649818
0.26     -0.0783934
0.28     -0.0921135
0.3     -0.104808
0.32     -0.116211
0.34     -0.12451
0.36     -0.127921
0.38     -0.128628
0.4     -0.131918
0.42     -0.13727
0.44     -0.137266
0.46     -0.130104
0.48     -0.121074
0.5     -0.112604
0.52     -0.102083
0.54     -0.0872406
0.56     -0.0709695
0.58     -0.0566693
0.6     -0.0445366
0.62     -0.0343788
0.64     -0.026728
0.66     -0.023925
0.68     -0.0273217
0.7     -0.0350084
0.72     -0.0431752
0.74     -0.0493659
0.76     -0.0552487
0.78     -0.0604844
0.8     -0.0583464
0.82     -0.0428911
0.84     -0.0140534
0.86     0.0261909
0.88     0.0750311
0.9     0.127719
0.92     0.182576
0.94     0.237756
0.96     0.286545
0.98     0.323303
1     0.344387
1.02     0.348384
1.04     0.335852
1.06     0.302393
1.08     0.242937
1.1     0.162582
1.12     0.0697847
1.14     -0.0301212
1.16     -0.130365
1.18     -0.226536
1.2     -0.322148
1.22     -0.42244
1.24     -0.525608
1.26     -0.619343
1.28     -0.690172
1.3     -0.742327
1.32     -0.786767
1.34     -0.819147
1.36     -0.832805
1.38     -0.829253
1.4     -0.807043
1.42     -0.760078
1.44     -0.680838
1.46     -0.568688
1.48     -0.433527
1.5     -0.284701
1.52     -0.130045
1.54     0.0227886
1.56     0.169096
1.58     0.304945
1.6     0.426302
1.62     0.527358
1.64     0.595065
1.66     0.619145
1.68     0.607586
1.7     0.574568
1.72     0.520749
1.74     0.441356
1.76     0.344627
1.78     0.243986
1.8     0.14361
1.82     0.0444483
1.84     -0.0493461
1.86     -0.128974
1.88     -0.188174
1.9     -0.230322
1.92     -0.253949
1.94     -0.253061
1.96     -0.233652
1.98     -0.206851
2     -0.177268
2.02     -0.145332
2.04     -0.111709
2.06     -0.0831224
2.08     -0.0702516
2.1     -0.0723392
2.12     -0.0797242
2.14     -0.0914545
2.16     -0.116785
2.18     -0.16338
2.2     -0.218628
2.22     -0.265297
2.24     -0.311893
2.26     -0.363413
2.28     -0.404568
2.3     -0.424679
2.32     -0.422556
2.34     -0.403171
2.36     -0.367636
2.38     -0.30495
2.4     -0.217156
2.42     -0.129829
2.44     -0.0633991
2.46     -0.0233239
2.48     -0.00806739
2.5     -0.010103
2.52     -0.0254457
2.54     -0.064215
2.56     -0.139271
2.58     -0.250785
2.6     -0.387701
2.62     -0.537053
2.64     -0.690044
2.66     -0.830509
2.68     -0.935369
2.7     -0.996243
2.72     -1.01407
2.74     -0.997987
2.76     -0.96771
2.78     -0.925681
2.8     -0.852177
2.82     -0.725956
2.84     -0.543495
2.86     -0.328251
2.88     -0.115966
2.9     0.0625302
2.92     0.197131
2.94     0.300751
2.96     0.3836
2.98     0.435766
3     0.441719
3.02     0.403547
3.04     0.327856
3.06     0.199021
3.08     0.00345253
3.1     -0.226519
3.12     -0.438541
3.14     -0.61499
3.16     -0.763308
3.18     -0.88053
3.2     -0.943354
3.22     -0.924301
3.24     -0.830036
3.26     -0.687224
3.28     -0.496527
3.3     -0.271092
3.32     -0.0576357
3.34     0.110655
3.36     0.218213
3.38     0.262915
3.4     0.256613
3.42     0.188863
3.44     0.0329465
3.46     -0.205437
3.48     -0.489087
3.5     -0.774834
3.52     -1.02058
3.54     -1.19089
3.56     -1.26995
3.58     -1.2723
3.6     -1.21143
3.62     -1.06916
3.64     -0.836992
3.66     -0.549772
3.68     -0.250029
3.7     0.0310921
3.72     0.25499
3.74     0.383393
3.76     0.388122
3.78     0.271966
3.8     0.0998557
3.82     -0.0746516
3.84     -0.276275
3.86     -0.529048
3.88     -0.813556
3.9     -1.0963
3.92     -1.32458
3.94     -1.44958
3.96     -1.45717
3.98     -1.35301
4     -1.17563
4.02     -0.997862
4.04     -0.855745
