qbeam	Lateral Force (kN)
-0.431332119	0.74
0.000749657	0.75
0.059241477	10.82
0.04832773	20.1
0.079567767	30.62
0.113501874	40.42
0.114307861	50.72
0.151847994	60.23
0.188086524	70.54
0.19323802	80.53
0.222512647	90.82
0.242692849	100.41
0.254116035	110.5
0.290551445	120.53
0.277523634	110.25
0.247099544	99.95
0.216505751	89.85
0.199243675	79.66
0.172357564	69.53
0.126307592	58.96
0.137093048	49.28
0.084450288	39.36
0.074045878	28.89
0.044513199	17.89
0.018577842	8.41
-0.012230903	-1.44
-0.013371105	-11.2
-0.037860076	-21.47
-0.07251434	-31.33
-0.096498993	-41.23
-0.120895316	-50.87
-0.152035432	-61.15
-0.170298655	-70.71
-0.188770651	-80.91
-0.215027685	-91.1
-0.229895288	-101.04
-0.257519874	-111.11
-0.285008936	-120.78
-0.25318764	-110.9
-0.233534093	-99.57
-0.205223643	-89.04
-0.168717613	-78.51
-0.155380865	-68.22
-0.134202088	-57.84
-0.095028208	-47.85
-0.082839886	-37.76
-0.061400112	-27.88
-0.049559613	-17.73
-0.02377727	-8.24
0.001660253	1.82
0.042209612	11.68
0.080463837	21.31
0.078061943	31.8
0.093824149	41.79
0.148463919	51.88
0.14992125	61.98
0.181438533	71.67
0.180679058	82.01
0.221997217	91.89
0.245405991	101.72
0.257340131	111.61
0.269776783	121.63
0.284438029	111.51
0.261628436	101.34
0.216337565	91.3
0.202294861	81.2
0.14715011	71.25
0.129362773	60.72
0.118787528	50.7
0.085965288	40.79
0.079586541	30.59
0.045354078	20.06
0.030102992	9.99
-0.024449776	0.04
-0.017567788	-9.66
-0.043752735	-19.6
-0.081729364	-29.45
-0.102856438	-39.44
-0.125700834	-49.55
-0.140108101	-59.84
-0.173930199	-69.75
-0.191871562	-79.82
-0.220394873	-90.21
-0.2344039	-100.4
-0.257469993	-110.41
-0.286994724	-120.25
-0.259049324	-110.52
-0.239540441	-99.51
-0.208610255	-88.76
-0.185231311	-78.38
-0.161092858	-68.09
-0.127183916	-57.78
-0.113249077	-47.92
-0.086590717	-38.13
-0.044160565	-27.8
-0.025626573	-17.95
-0.00548695	-8.51
