[JOINT]-[J1]-[3]     [BEAMCOLUMN]-[E3]-[1]-[2]
0     0
-8.20159e-06     2.44935
-1.64032e-05     4.8987
-2.46048e-05     7.34805
-3.28064e-05     9.79741
-4.1008e-05     12.2468
-4.92096e-05     14.6961
-5.74112e-05     17.1455
-6.56128e-05     19.5948
-7.38143e-05     22.0442
-8.20159e-05     24.4935
-9.02175e-05     26.9429
-9.84191e-05     29.3922
-0.000106621     31.8416
-0.000114822     34.2909
-0.000123024     36.7403
-0.000131226     39.1896
-0.000139427     41.639
-0.000147629     44.0883
-0.00015583     46.5377
-0.000164032     48.987
-0.000172233     51.4364
-0.000180435     53.8857
-0.000188637     56.3351
-0.000196838     58.7844
-0.00020504     61.2338
-0.000213241     63.6831
-0.000221443     66.1325
-0.000229645     68.5818
-0.000237846     71.0312
-0.000246048     73.4805
-0.000254249     75.9299
-0.000262451     78.3792
-0.000270653     80.8286
-0.000278854     83.278
-0.000287056     85.7273
-0.000295257     88.1767
-0.000303459     90.626
-0.000311661     93.0754
-0.000319862     95.5247
-0.000328064     97.9741
-0.000336265     100.423
-0.000344467     102.873
-0.000352669     105.322
-0.00036087     107.771
-0.000369072     110.221
-0.000377273     112.67
-0.000385475     115.12
-0.000393677     117.569
-0.000401878     120.018
-0.00041008     122.468
-0.000393677     117.569
-0.000377273     112.67
-0.00036087     107.771
-0.000344467     102.873
-0.000328064     97.9741
-0.000311661     93.0754
-0.000295257     88.1767
-0.000278854     83.278
-0.000262451     78.3792
-0.000246048     73.4805
-0.000229645     68.5818
-0.000213241     63.6831
-0.000196838     58.7844
-0.000180435     53.8857
-0.000164032     48.987
-0.000147629     44.0883
-0.000131226     39.1896
-0.000114822     34.2909
-9.84191e-05     29.3922
-8.20159e-05     24.4935
-6.56128e-05     19.5948
-4.92096e-05     14.6961
-3.28064e-05     9.79741
-1.64032e-05     4.8987
-5.69206e-19     -3.25261e-14
1.64032e-05     -4.8987
3.28064e-05     -9.79741
4.92096e-05     -14.6961
6.56128e-05     -19.5948
8.20159e-05     -24.4935
9.84191e-05     -29.3922
0.000114822     -34.2909
0.000131226     -39.1896
0.000147629     -44.0883
