L_Link_disp     L_Link_shear
0     0
-3.38932e-05     -22.1609
-6.77864e-05     -44.3219
-0.00010168     -66.4828
-0.000135573     -88.6437
-0.000169466     -110.805
-0.000203359     -132.966
-0.000237252     -155.126
-0.000271145     -177.287
-0.000305039     -199.448
-0.000338932     -221.609
-0.000372825     -243.77
-0.000406718     -265.931
-0.000440611     -288.092
-0.000474505     -310.253
-0.000508398     -332.414
-0.000542291     -354.575
-0.000576184     -376.736
-0.000610077     -398.897
-0.000643971     -421.058
-0.000677864     -443.219
-0.000711757     -465.38
-0.00074565     -487.54
-0.000779543     -509.701
-0.000813436     -531.862
-0.00084733     -554.023
-0.000881223     -576.184
-0.000915116     -598.345
-0.000949009     -620.506
-0.000982902     -642.667
-0.0010168     -664.828
-0.00105069     -686.989
-0.00108458     -709.15
-0.00111848     -731.311
-0.00115237     -753.472
-0.00118626     -775.633
-0.00122015     -797.793
-0.00125405     -819.954
-0.00128794     -842.115
-0.00132183     -864.276
-0.00135573     -886.437
-0.00138962     -908.598
-0.00142351     -930.759
-0.00145741     -952.92
-0.0014913     -975.081
-0.00152519     -997.242
-0.00155909     -1019.4
-0.00159298     -1041.56
-0.00162687     -1063.72
-0.00166077     -1085.89
-0.00169466     -1108.05
-0.00172855     -1130.21
-0.00176245     -1152.37
-0.00179634     -1174.53
-0.00183023     -1196.69
-0.00186413     -1218.85
-0.00189802     -1241.01
-0.00193191     -1263.17
-0.0019658     -1285.33
-0.0019997     -1307.49
-0.00203359     -1329.66
-0.00206748     -1351.82
-0.00210138     -1373.98
-0.00213527     -1396.14
-0.00216916     -1418.3
-0.00220306     -1440.46
-0.00223695     -1462.62
-0.00227084     -1484.78
-0.00230474     -1506.94
-0.00233863     -1529.1
-0.00237252     -1551.27
-0.00240642     -1573.43
-0.00244031     -1595.59
-0.0024742     -1617.75
-0.0025081     -1639.91
-0.00254199     -1662.07
-0.00257588     -1684.23
-0.00260978     -1706.39
-0.00264367     -1728.55
-0.00267756     -1750.71
-0.00278979     -1769.83
-0.00300831     -1784.8
-0.00328759     -1797.42
-0.0036073     -1808.46
-0.00395641     -1818.36
-0.00432811     -1827.37
-0.00471776     -1835.69
-0.00510849     -1843.17
-0.00549314     -1849.9
-0.00587299     -1856.04
-0.00624896     -1861.72
-0.00662173     -1867.02
-0.00699177     -1871.99
-0.00735948     -1876.69
-0.00772513     -1881.15
-0.00808898     -1885.41
-0.00845122     -1889.47
-0.008812     -1893.37
-0.00917147     -1897.12
-0.00952973     -1900.73
-0.0098869     -1904.21
-0.00981911     -1859.89
-0.00975132     -1815.57
-0.00968354     -1771.25
-0.00961575     -1726.92
-0.00954796     -1682.6
-0.00948018     -1638.28
-0.00941239     -1593.96
-0.0093446     -1549.64
-0.00927682     -1505.31
-0.00920903     -1460.99
-0.00914124     -1416.67
-0.00907346     -1372.35
-0.00900567     -1328.03
-0.00893789     -1283.71
-0.0088701     -1239.38
-0.00880231     -1195.06
-0.00873453     -1150.74
-0.00866674     -1106.42
-0.00859895     -1062.1
-0.00853117     -1017.77
-0.00846338     -973.453
-0.00839559     -929.131
-0.00832781     -884.809
-0.00826002     -840.487
-0.00819224     -796.165
-0.00812445     -751.843
-0.00805666     -707.521
-0.00798888     -663.2
-0.00792109     -618.878
-0.0078533     -574.556
-0.00778552     -530.234
-0.00771773     -485.912
-0.00764994     -441.59
-0.00758216     -397.268
-0.00751437     -352.947
-0.00744659     -308.625
-0.0073788     -264.303
-0.00731101     -219.981
-0.00724323     -175.659
-0.00717544     -131.337
-0.00710765     -87.0154
-0.00703987     -42.6935
-0.00697208     1.62835
-0.00690429     45.9502
-0.00683651     90.2721
-0.00676872     134.594
-0.00670094     178.916
-0.00663315     223.238
-0.00656536     267.56
-0.00649758     311.881
-0.00642979     356.203
-0.006362     400.525
-0.00629422     444.847
-0.00622643     489.169
-0.00615864     533.491
-0.00609086     577.812
-0.00602307     622.134
-0.00595529     666.456
-0.0058875     710.778
-0.00581971     755.1
-0.00575193     799.422
-0.00568414     843.744
-0.00561635     888.065
-0.00554857     932.387
-0.00548078     976.709
-0.00541299     1021.03
-0.00534521     1065.35
-0.00527742     1109.67
-0.00520964     1154
-0.00514185     1198.32
-0.00507406     1242.64
-0.00500628     1286.96
-0.00493849     1331.28
-0.0048707     1375.61
-0.00480292     1419.93
-0.00473513     1464.25
-0.00466734     1508.57
-0.00459956     1552.89
-0.00453177     1597.22
-0.00424784     1633.13
-0.00371173     1659.23
-0.00305071     1680.47
-0.00231181     1698.68
-0.00151846     1714.77
-0.000684274     1729.28
0.000181982     1742.54
0.00107429     1754.78
0.00197071     1765.97
0.00283834     1775.95
0.00368314     1785
0.00450986     1793.32
0.00532184     1801.05
0.00612151     1808.28
0.0069107     1815.09
0.00769085     1821.54
0.00846307     1827.66
0.00922829     1833.5
0.00998726     1839.09
0.0107406     1844.45
0.0114889     1849.61
0.0114211     1805.28
0.0113533     1760.96
0.0112855     1716.64
0.0112177     1672.32
0.0111499     1628
0.0110821     1583.68
0.0110144     1539.35
0.0109466     1495.03
0.0108788     1450.71
0.010811     1406.39
0.0107432     1362.07
0.0106754     1317.74
0.0106076     1273.42
0.0105399     1229.1
0.0104721     1184.78
0.0104043     1140.46
0.0103365     1096.13
0.0102687     1051.81
0.0102009     1007.49
0.0101331     963.169
0.0100653     918.847
0.00999756     874.526
0.00992978     830.204
0.00986199     785.882
0.0097942     741.56
0.00972642     697.238
0.00965863     652.916
0.00959084     608.594
0.00952306     564.273
0.00945527     519.951
0.00938749     475.629
0.0093197     431.307
0.00925191     386.985
0.00918413     342.663
0.00911634     298.341
0.00904855     254.02
0.00898077     209.698
0.00891298     165.376
0.00884519     121.054
0.00877741     76.7322
0.00870962     32.4103
0.00864184     -11.9116
0.00857405     -56.2334
0.00850626     -100.555
0.00843848     -144.877
0.00837069     -189.199
0.0083029     -233.521
0.00823512     -277.843
0.00816733     -322.165
0.00809954     -366.486
0.00803176     -410.808
0.00796397     -455.13
0.00789618     -499.452
0.0078284     -543.774
0.00776061     -588.096
0.00769283     -632.418
0.00762504     -676.739
0.00755725     -721.061
0.00748947     -765.383
0.00742168     -809.705
0.00735389     -854.027
0.00728611     -898.349
0.00721832     -942.671
0.00715054     -986.992
0.00708275     -1031.31
0.00701496     -1075.64
0.00694718     -1119.96
0.00687939     -1164.28
0.0068116     -1208.6
0.00674382     -1252.92
0.00667603     -1297.25
0.00660824     -1341.57
0.00654046     -1385.89
0.00647267     -1430.21
0.00640489     -1474.53
0.0063371     -1518.85
0.00626931     -1563.18
0.00620153     -1607.5
0.00613374     -1651.82
0.00583695     -1687.23
0.00528125     -1712.57
0.00460089     -1733.06
0.00384372     -1750.56
0.00303318     -1765.99
0.00218279     -1779.86
0.00130118     -1792.52
0.00039427     -1804.19
-0.000527227     -1814.98
-0.00142201     -1824.62
-0.0022906     -1833.32
-0.00313857     -1841.3
-0.00396984     -1848.69
-0.00478723     -1855.59
-0.00559285     -1862.08
-0.00638834     -1868.21
-0.00717499     -1874.03
-0.00795384     -1879.57
-0.00872573     -1884.86
-0.00949139     -1889.94
-0.0102514     -1894.81
-0.0101836     -1850.49
-0.0101158     -1806.17
-0.010048     -1761.85
-0.00998025     -1717.53
-0.00991246     -1673.2
-0.00984468     -1628.88
-0.00977689     -1584.56
-0.0097091     -1540.24
-0.00964132     -1495.92
-0.00957353     -1451.6
-0.00950575     -1407.27
