U_Link_disp     U_Link_shear
0     0
-3.22154e-05     -14.8686
-6.44308e-05     -29.7373
-9.66462e-05     -44.6059
-0.000128862     -59.4746
-0.000161077     -74.3432
-0.000193292     -89.2119
-0.000225508     -104.081
-0.000257723     -118.949
-0.000289939     -133.818
-0.000322154     -148.686
-0.000354369     -163.555
-0.000386585     -178.424
-0.0004188     -193.292
-0.000451016     -208.161
-0.000483231     -223.03
-0.000515446     -237.898
-0.000547662     -252.767
-0.000579877     -267.636
-0.000612093     -282.504
-0.000644308     -297.373
-0.000676524     -312.242
-0.000708739     -327.11
-0.000740954     -341.979
-0.00077317     -356.848
-0.000805385     -371.716
-0.000837601     -386.585
-0.000869816     -401.454
-0.000902031     -416.322
-0.000934247     -431.191
-0.000966462     -446.059
-0.000998678     -460.928
-0.00103089     -475.797
-0.00106311     -490.665
-0.00109532     -505.534
-0.00112754     -520.403
-0.00115975     -535.271
-0.00119197     -550.14
-0.00122419     -565.009
-0.0012564     -579.877
-0.00128862     -594.746
-0.00132083     -609.615
-0.00135305     -624.483
-0.00138526     -639.352
-0.00141748     -654.221
-0.00144969     -669.089
-0.00148191     -683.958
-0.00151412     -698.826
-0.00154634     -713.695
-0.00157855     -728.564
-0.00161077     -743.432
-0.00164299     -758.301
-0.0016752     -773.17
-0.00170742     -788.038
-0.00173963     -802.907
-0.00177185     -817.776
-0.00180406     -832.644
-0.00183628     -847.513
-0.00186849     -862.382
-0.00190071     -877.25
-0.00193292     -892.119
-0.00196514     -906.988
-0.00199736     -921.856
-0.00202957     -936.725
-0.00206179     -951.594
-0.002094     -966.462
-0.00212622     -981.331
-0.00215843     -996.199
-0.00219065     -1011.07
-0.00222286     -1025.94
-0.00225508     -1040.81
-0.00228729     -1055.67
-0.00231951     -1070.54
-0.00235172     -1085.41
-0.00238394     -1100.28
-0.00241616     -1115.15
-0.00244837     -1130.02
-0.00248059     -1144.89
-0.0025128     -1159.75
-0.00254502     -1174.62
-0.00257331     -1187.68
-0.00259628     -1198.28
-0.00261621     -1207.48
-0.00263411     -1215.75
-0.00265055     -1223.33
-0.00266585     -1230.39
-0.00268044     -1237.03
-0.00271641     -1243.06
-0.00277979     -1248.49
-0.00286435     -1253.45
-0.00296588     -1258.04
-0.00308138     -1262.32
-0.00320866     -1266.35
-0.00334603     -1270.16
-0.00349217     -1273.77
-0.00364605     -1277.22
-0.00380679     -1280.52
-0.0039737     -1283.69
-0.00414618     -1286.73
-0.00432373     -1289.67
-0.00450591     -1292.5
-0.00444148     -1262.77
-0.00437705     -1233.03
-0.00431262     -1203.29
-0.00424819     -1173.55
-0.00418376     -1143.82
-0.00411933     -1114.08
-0.00405489     -1084.34
-0.00399046     -1054.61
-0.00392603     -1024.87
-0.0038616     -995.131
-0.00379717     -965.393
-0.00373274     -935.656
-0.00366831     -905.919
-0.00360388     -876.181
-0.00353945     -846.444
-0.00347502     -816.707
-0.00341059     -786.969
-0.00334616     -757.232
-0.00328172     -727.495
-0.00321729     -697.758
-0.00315286     -668.02
-0.00308843     -638.283
-0.003024     -608.546
-0.00295957     -578.808
-0.00289514     -549.071
-0.00283071     -519.334
-0.00276628     -489.597
-0.00270185     -459.859
-0.00263742     -430.122
-0.00257299     -400.385
-0.00250856     -370.647
-0.00244412     -340.91
-0.00237969     -311.173
-0.00231526     -281.435
-0.00225083     -251.698
-0.0021864     -221.961
-0.00212197     -192.224
-0.00205754     -162.486
-0.00199311     -132.749
-0.00192868     -103.012
-0.00186425     -73.2743
-0.00179982     -43.537
-0.00173539     -13.7997
-0.00167095     15.9375
-0.00160652     45.6748
-0.00154209     75.4121
-0.00147766     105.149
-0.00141323     134.887
-0.0013488     164.624
-0.00128437     194.361
-0.00121994     224.099
-0.00115551     253.836
-0.00109108     283.573
-0.00102665     313.311
-0.000962216     343.048
-0.000897785     372.785
-0.000833354     402.522
-0.000768923     432.26
-0.000704492     461.997
-0.000640062     491.734
-0.000575631     521.472
-0.0005112     551.209
-0.000446769     580.946
-0.000382338     610.684
-0.000317908     640.421
-0.000253477     670.158
-0.000189046     699.895
-0.000124615     729.633
-6.01843e-05     759.37
4.24651e-06     789.107
6.86773e-05     818.845
0.000133108     848.582
0.000197539     878.319
0.00026197     908.057
0.000326401     937.794
0.000390831     967.531
0.000455262     997.268
0.000519693     1027.01
0.000584124     1056.74
0.000637732     1081.49
0.000678714     1100.4
0.000713442     1116.43
0.00074427     1130.66
0.000772372     1143.63
0.000798429     1155.65
0.000822881     1166.94
0.000846028     1177.62
0.000893295     1187.54
0.0010055     1196.38
0.00116828     1204.4
0.00137102     1211.75
0.00160633     1218.58
0.00186883     1224.95
0.00215447     1230.95
0.0024601     1236.62
0.00278324     1242.01
0.00312186     1247.14
0.0034743     1252.04
0.00383919     1256.74
0.00421534     1261.26
0.00415091     1231.52
0.00408648     1201.79
0.00402205     1172.05
0.00395762     1142.31
0.00389319     1112.57
0.00382876     1082.84
0.00376432     1053.1
0.00369989     1023.36
0.00363546     993.625
0.00357103     963.888
