  Period(sec)   acceleratio   Pseodu-acceleratio
  2.94118       0.11770E+01       0.11722E+01
  2.85714       0.11618E+01       0.11555E+01
  2.77778       0.11362E+01       0.11292E+01
  2.70270       0.11087E+01       0.11018E+01
  2.63158       0.11471E+01       0.11420E+01
  2.56410       0.12818E+01       0.12770E+01
  2.50000       0.13248E+01       0.13198E+01
  2.43902       0.12759E+01       0.12708E+01
  2.38095       0.11553E+01       0.11510E+01
  2.32558       0.10649E+01       0.10606E+01
  2.27273       0.10992E+01       0.10942E+01
  2.22222       0.11882E+01       0.11818E+01
  2.17391       0.12862E+01       0.12796E+01
  2.12766       0.13223E+01       0.13175E+01
  2.08333       0.12796E+01       0.12743E+01
  2.04082       0.11749E+01       0.11693E+01
  2.00000       0.11592E+01       0.11519E+01
  1.96078       0.11761E+01       0.11676E+01
  1.92308       0.12275E+01       0.12210E+01
  1.88679       0.13153E+01       0.13091E+01
  1.85185       0.13895E+01       0.13827E+01
  1.81818       0.13931E+01       0.13861E+01
  1.78571       0.13092E+01       0.13024E+01
  1.75439       0.12476E+01       0.12410E+01
  1.72414       0.12501E+01       0.12441E+01
  1.69492       0.12595E+01       0.12534E+01
  1.66667       0.12643E+01       0.12586E+01
  1.63934       0.13631E+01       0.13547E+01
  1.61290       0.14090E+01       0.13998E+01
  1.58730       0.14190E+01       0.14094E+01
  1.56250       0.14310E+01       0.14216E+01
  1.53846       0.14552E+01       0.14473E+01
  1.51515       0.14833E+01       0.14781E+01
  1.49254       0.15193E+01       0.15129E+01
  1.47059       0.15127E+01       0.15069E+01
  1.44928       0.14700E+01       0.14637E+01
  1.42857       0.14029E+01       0.13958E+01
  1.40845       0.13281E+01       0.13210E+01
  1.38889       0.12686E+01       0.12625E+01
  1.36986       0.12438E+01       0.12370E+01
  1.35135       0.12446E+01       0.12382E+01
  1.33333       0.12519E+01       0.12451E+01
  1.31579       0.12506E+01       0.12441E+01
  1.29870       0.12388E+01       0.12322E+01
  1.28205       0.12098E+01       0.12035E+01
  1.26582       0.11668E+01       0.11608E+01
  1.25000       0.11148E+01       0.11090E+01
  1.23457       0.11024E+01       0.10957E+01
  1.21951       0.11380E+01       0.11318E+01
  1.20482       0.11852E+01       0.11785E+01
  1.19048       0.12849E+01       0.12782E+01
  1.17647       0.13839E+01       0.13759E+01
  1.16279       0.14527E+01       0.14436E+01
  1.14943       0.15197E+01       0.15091E+01
  1.13636       0.16553E+01       0.16445E+01
  1.12360       0.17284E+01       0.17185E+01
  1.11111       0.17445E+01       0.17360E+01
  1.09890       0.17266E+01       0.17191E+01
  1.08696       0.17017E+01       0.16953E+01
  1.07527       0.16898E+01       0.16836E+01
  1.06383       0.17020E+01       0.16952E+01
