  Period(sec)   acceleratio   Pseodu-acceleratio
  2.94118       0.74036E+00       0.73485E+00
  2.85714       0.64834E+00       0.64319E+00
  2.77778       0.60942E+00       0.60517E+00
  2.70270       0.65715E+00       0.65336E+00
  2.63158       0.72851E+00       0.72483E+00
  2.56410       0.77554E+00       0.77063E+00
  2.50000       0.78754E+00       0.78450E+00
  2.43902       0.79936E+00       0.79711E+00
  2.38095       0.83564E+00       0.83155E+00
  2.32558       0.88295E+00       0.87863E+00
  2.27273       0.88594E+00       0.88239E+00
  2.22222       0.84071E+00       0.83473E+00
  2.17391       0.88917E+00       0.88289E+00
  2.12766       0.92914E+00       0.92302E+00
  2.08333       0.93414E+00       0.92892E+00
  2.04082       0.88422E+00       0.88055E+00
  2.00000       0.81474E+00       0.81010E+00
  1.96078       0.74466E+00       0.73984E+00
  1.92308       0.73053E+00       0.72837E+00
  1.88679       0.84462E+00       0.84148E+00
  1.85185       0.95333E+00       0.94774E+00
  1.81818       0.10267E+01       0.10197E+01
  1.78571       0.10365E+01       0.10297E+01
  1.75439       0.10328E+01       0.10279E+01
  1.72414       0.11151E+01       0.11112E+01
  1.69492       0.12042E+01       0.11993E+01
  1.66667       0.12770E+01       0.12721E+01
  1.63934       0.13086E+01       0.13023E+01
  1.61290       0.12752E+01       0.12695E+01
  1.58730       0.13022E+01       0.12969E+01
  1.56250       0.13497E+01       0.13443E+01
  1.53846       0.13413E+01       0.13352E+01
  1.51515       0.13240E+01       0.13171E+01
  1.49254       0.13731E+01       0.13662E+01
  1.47059       0.13867E+01       0.13802E+01
  1.44928       0.13679E+01       0.13614E+01
  1.42857       0.13250E+01       0.13198E+01
  1.40845       0.12981E+01       0.12921E+01
  1.38889       0.12582E+01       0.12520E+01
  1.36986       0.12305E+01       0.12251E+01
  1.35135       0.12660E+01       0.12593E+01
  1.33333       0.12513E+01       0.12434E+01
  1.31579       0.12023E+01       0.11944E+01
  1.29870       0.11470E+01       0.11391E+01
  1.28205       0.11052E+01       0.10977E+01
  1.26582       0.10805E+01       0.10733E+01
  1.25000       0.10956E+01       0.10905E+01
  1.23457       0.11153E+01       0.11070E+01
  1.21951       0.11522E+01       0.11461E+01
  1.20482       0.11846E+01       0.11782E+01
  1.19048       0.12085E+01       0.12019E+01
  1.17647       0.12255E+01       0.12186E+01
  1.16279       0.12373E+01       0.12300E+01
  1.14943       0.12467E+01       0.12383E+01
  1.13636       0.13213E+01       0.13148E+01
  1.12360       0.14640E+01       0.14576E+01
  1.11111       0.15988E+01       0.15920E+01
  1.09890       0.17151E+01       0.17071E+01
  1.08696       0.18024E+01       0.17931E+01
  1.07527       0.18562E+01       0.18461E+01
  1.06383       0.18813E+01       0.18716E+01
  1.05263       0.18898E+01       0.18819E+01
  1.04167       0.19036E+01       0.18932E+01
  1.03093       0.19338E+01       0.19264E+01
  1.02041       0.19865E+01       0.19765E+01
  1.01010       0.20564E+01       0.20487E+01
  1.00000       0.21322E+01       0.21259E+01
  0.90909       0.22368E+01       0.22283E+01
  0.83333       0.18990E+01       0.18884E+01
  0.76923       0.17462E+01       0.17351E+01
  0.71429       0.24522E+01       0.24411E+01
  0.66667       0.26326E+01       0.26230E+01
  0.62500       0.22068E+01       0.22031E+01
  0.58824       0.24850E+01       0.24675E+01
  0.55556       0.23708E+01       0.23725E+01
  0.52632       0.24653E+01       0.24698E+01
  0.50000       0.24845E+01       0.24818E+01
  0.47619       0.21400E+01       0.21296E+01
  0.45455       0.19055E+01       0.19102E+01
  0.43478       0.20436E+01       0.20368E+01
  0.41667       0.22934E+01       0.22892E+01
  0.40000       0.23130E+01       0.22900E+01
  0.38462       0.24129E+01       0.23837E+01
  0.37037       0.27643E+01       0.27521E+01
  0.35714       0.29480E+01       0.29582E+01
  0.34483       0.31983E+01       0.31844E+01
  0.33333       0.31503E+01       0.31284E+01
  0.32258       0.27767E+01       0.27854E+01
  0.31250       0.32636E+01       0.32681E+01
  0.30303       0.36725E+01       0.36677E+01
  0.29412       0.36986E+01       0.36686E+01
  0.28571       0.34012E+01       0.33667E+01
  0.27778       0.30199E+01       0.29909E+01
  0.27027       0.29412E+01       0.29108E+01
  0.26316       0.28420E+01       0.28745E+01
  0.25641       0.28569E+01       0.28054E+01
  0.25000       0.28927E+01       0.28791E+01
  0.24390       0.29223E+01       0.29545E+01
  0.23810       0.30269E+01       0.29908E+01
  0.23256       0.30611E+01       0.30436E+01
  0.22727       0.31355E+01       0.31242E+01
  0.22222       0.31464E+01       0.31831E+01
  0.21739       0.32682E+01       0.32170E+01
  0.21277       0.33577E+01       0.33563E+01
  0.20833       0.33076E+01       0.33311E+01
  0.20408       0.33665E+01       0.33247E+01
  0.20000       0.32416E+01       0.32529E+01
  0.19608       0.29911E+01       0.30424E+01
  0.19231       0.29422E+01       0.28753E+01
  0.18868       0.29383E+01       0.28996E+01
  0.18519       0.29247E+01       0.29206E+01
  0.18182       0.28032E+01       0.28363E+01
  0.17857       0.26877E+01       0.26597E+01
  0.17544       0.26337E+01       0.25858E+01
  0.17241       0.24943E+01       0.25296E+01
  0.16949       0.23927E+01       0.23679E+01
  0.16667       0.23885E+01       0.23341E+01
  0.16393       0.23375E+01       0.23129E+01
  0.16129       0.22257E+01       0.22107E+01
  0.15873       0.23172E+01       0.23185E+01
  0.15625       0.23481E+01       0.23694E+01
  0.15385       0.23494E+01       0.23900E+01
  0.15152       0.23449E+01       0.24042E+01
  0.14925       0.25040E+01       0.24231E+01
  0.14706       0.26174E+01       0.26033E+01
  0.14493       0.26583E+01       0.26952E+01
  0.14286       0.26103E+01       0.26533E+01
  0.14085       0.27229E+01       0.26451E+01
  0.13889       0.27967E+01       0.27442E+01
  0.13699       0.28546E+01       0.28298E+01
  0.13514       0.28518E+01       0.28597E+01
  0.13333       0.27404E+01       0.27821E+01
  0.13158       0.25509E+01       0.26000E+01
  0.12987       0.24903E+01       0.24549E+01
  0.12821       0.23961E+01       0.23407E+01
  0.12658       0.23105E+01       0.22414E+01
  0.12500       0.22445E+01       0.21941E+01
  0.12346       0.21746E+01       0.21391E+01
  0.12195       0.21972E+01       0.21581E+01
  0.12048       0.22163E+01       0.21997E+01
  0.11905       0.21792E+01       0.21847E+01
  0.11765       0.20955E+01       0.21204E+01
  0.11628       0.19898E+01       0.20301E+01
  0.11494       0.19543E+01       0.19349E+01
  0.11364       0.19129E+01       0.19023E+01
  0.11236       0.18659E+01       0.18635E+01
  0.11111       0.18080E+01       0.18132E+01
  0.10989       0.17722E+01       0.17911E+01
  0.10870       0.17412E+01       0.17752E+01
  0.10753       0.17256E+01       0.16878E+01
  0.10638       0.17697E+01       0.17622E+01
  0.10526       0.18075E+01       0.18122E+01
  0.10417       0.18055E+01       0.18240E+01
  0.10309       0.17603E+01       0.17925E+01
  0.10204       0.16779E+01       0.17217E+01
  0.10101       0.16799E+01       0.16279E+01
  0.10000       0.16820E+01       0.16418E+01
  0.09091       0.13762E+01       0.13811E+01
  0.08333       0.11919E+01       0.11984E+01
  0.07692       0.11485E+01       0.11407E+01
  0.07143       0.10724E+01       0.10640E+01
  0.06667       0.10574E+01       0.10487E+01
  0.06250       0.10371E+01       0.10334E+01
  0.05882       0.10093E+01       0.10084E+01
  0.05556       0.10122E+01       0.10127E+01
  0.05263       0.10192E+01       0.10189E+01
  0.05000       0.99465E+00       0.99201E+00
  0.04762       0.10389E+01       0.10372E+01
  0.04545       0.10018E+01       0.10034E+01
  0.04348       0.98869E+00       0.98864E+00
  0.04167       0.99112E+00       0.99014E+00
  0.04000       0.99960E+00       0.99799E+00
  0.03846       0.10073E+01       0.10063E+01
  0.03704       0.10077E+01       0.10074E+01
  0.03571       0.99851E+00       0.99911E+00
  0.03448       0.98616E+00       0.98547E+00
  0.03333       0.10041E+01       0.10022E+01
  0.03226       0.10136E+01       0.10133E+01
  0.03125       0.10027E+01       0.10032E+01
  0.03030       0.99927E+00       0.99944E+00
  0.02941       0.10023E+01       0.10026E+01
  0.02857       0.99954E+00       0.10006E+01
  0.02778       0.99032E+00       0.99182E+00
  0.02703       0.98011E+00       0.98141E+00
  0.02632       0.97127E+00       0.97178E+00
  0.02564       0.96900E+00       0.96817E+00
  0.02500       0.97658E+00       0.97438E+00
  0.02439       0.99303E+00       0.99058E+00
  0.02381       0.99888E+00       0.99763E+00
  0.02326       0.99246E+00       0.99170E+00
  0.02273       0.98963E+00       0.98873E+00
  0.02222       0.98685E+00       0.98578E+00
  0.02174       0.98582E+00       0.98419E+00
  0.02128       0.98997E+00       0.98781E+00
  0.02083       0.99584E+00       0.99361E+00
  0.02041       0.99913E+00       0.99709E+00
  0.02000       0.99997E+00       0.99808E+00
  0.01961       0.10008E+01       0.99886E+00
  0.01923       0.10035E+01       0.10014E+01
  0.01887       0.10075E+01       0.10056E+01
  0.01852       0.10100E+01       0.10085E+01
  0.01818       0.10095E+01       0.10084E+01
  0.01786       0.10077E+01       0.10068E+01
  0.01754       0.10060E+01       0.10052E+01
  0.01724       0.10047E+01       0.10037E+01
  0.01695       0.10065E+01       0.10054E+01
  0.01667       0.10104E+01       0.10093E+01
  0.01639       0.10124E+01       0.10117E+01
  0.01613       0.10116E+01       0.10114E+01
  0.01587       0.10090E+01       0.10091E+01
  0.01562       0.10059E+01       0.10061E+01
  0.01538       0.10033E+01       0.10035E+01
  0.01515       0.10017E+01       0.10018E+01
  0.01493       0.10008E+01       0.10008E+01
  0.01471       0.10001E+01       0.10000E+01
  0.01449       0.99964E+00       0.99952E+00
  0.01429       0.99986E+00       0.99966E+00
  0.01408       0.10002E+01       0.10000E+01
  0.01389       0.10002E+01       0.10000E+01
  0.01370       0.99993E+00       0.99973E+00
  0.01351       0.99985E+00       0.99963E+00
  0.01333       0.99998E+00       0.99975E+00
  0.01316       0.10001E+01       0.99990E+00
  0.01299       0.10001E+01       0.99987E+00
  0.01282       0.99987E+00       0.99969E+00
  0.01266       0.99979E+00       0.99961E+00
  0.01250       0.99991E+00       0.99974E+00
  0.01235       0.99993E+00       0.99980E+00
  0.01220       0.99964E+00       0.99957E+00
  0.01205       0.99912E+00       0.99909E+00
  0.01190       0.99842E+00       0.99843E+00
  0.01176       0.99748E+00       0.99751E+00
  0.01163       0.99633E+00       0.99635E+00
  0.01149       0.99522E+00       0.99517E+00
  0.01136       0.99448E+00       0.99431E+00
  0.01124       0.99434E+00       0.99403E+00
  0.01111       0.99483E+00       0.99440E+00
  0.01099       0.99560E+00       0.99510E+00
  0.01087       0.99619E+00       0.99567E+00
  0.01075       0.99644E+00       0.99591E+00
  0.01064       0.99651E+00       0.99595E+00
  0.01053       0.99664E+00       0.99603E+00
  0.01042       0.99698E+00       0.99631E+00
  0.01031       0.99759E+00       0.99686E+00
  0.01020       0.99837E+00       0.99760E+00
  0.01010       0.99916E+00       0.99838E+00
  0.01000       0.99991E+00       0.99913E+00
  0.00909       0.10035E+01       0.10031E+01
  0.00833       0.10004E+01       0.10002E+01
  0.00769       0.99967E+00       0.99955E+00
  0.00714       0.99786E+00       0.99761E+00
  0.00667       0.99994E+00       0.99952E+00
  0.00625       0.10016E+01       0.10014E+01
  0.00588       0.10003E+01       0.10002E+01
  0.00556       0.99970E+00       0.99960E+00
