qc av (%)	Lateral Force (kN)
0.139679722	0.74
4.35853E-05	0.75
-0.030271045	10.82
0.011959241	20.1
0.009836634	30.62
0.005057066	40.42
0.033032025	50.72
0.023853188	60.23
0.016601827	70.54
0.040146537	80.53
0.039902855	90.82
0.04887632	100.41
0.065941007	110.5
0.059082767	120.53
0.045127512	110.25
0.044689543	99.95
0.044892411	89.85
0.032744687	79.66
0.030677924	69.53
0.046988616	58.96
0.007088881	49.28
0.030566579	39.36
0.011767243	28.89
0.01222503	17.89
0.008962071	8.41
0.011529961	-1.44
-0.016905431	-11.2
-0.021987498	-21.47
-0.016277695	-31.33
-0.020489951	-41.23
-0.025246591	-50.87
-0.022803385	-61.15
-0.033568124	-70.71
-0.043881801	-80.91
-0.046863343	-91.1
-0.059605629	-101.04
-0.061175673	-111.11
-0.0631836	-120.78
-0.068488576	-110.9
-0.055779359	-99.57
-0.053848895	-89.04
-0.059326198	-78.51
-0.043533417	-68.22
-0.035264582	-57.84
-0.045071904	-47.85
-0.028817171	-37.76
-0.021097144	-27.88
-0.004240734	-17.73
-0.000658095	-8.24
0.00273085	1.82
-0.008957213	11.68
-0.01851225	21.31
0.012719966	31.8
0.026204749	41.79
0.000267149	51.88
0.028219619	61.98
0.025899245	71.67
0.055227645	82.01
0.042516226	91.89
0.047877002	101.72
0.064555565	111.61
0.081065119	121.63
0.038915545	111.51
0.031112375	101.34
0.045870665	91.3
0.028637624	81.2
0.054529422	71.25
0.043157661	60.72
0.024239069	50.7
0.02827423	40.79
0.005237915	30.59
0.01014619	20.06
-0.00380104	9.99
0.021838945	0.04
-0.014038456	-9.66
-0.016799546	-19.6
-0.007765971	-29.45
-0.015883438	-39.44
-0.022196564	-49.55
-0.036525593	-59.84
-0.031483737	-69.75
-0.042775688	-79.82
-0.042271225	-90.21
-0.05653262	-100.4
-0.062962643	-110.41
-0.062053767	-120.25
-0.064356441	-110.52
-0.051625281	-99.51
-0.051565256	-88.76
-0.044419328	-78.38
-0.037946424	-68.09
-0.041957605	-57.78
-0.02572212	-47.92
-0.023521462	-38.13
-0.036580498	-27.8
-0.025706265	-17.95
-0.017608016	-8.51
-0.013733379	1.83
0.004384759	11.5
-0.001660767	21.05
0.017861002	31.69
0.028147544	41.66
0.007744927	51.89
0.025334617	62.05
0.017879382	71.82
0.051897516	82.19
0.044529958	92.11
0.054140957	101.63
0.060494276	111.71
0.069433907	121.77
0.028659289	112.02
0.068122135	101.41
0.058076639	91.37
0.046664229	81.26
0.025447348	70.96
0.012275277	60.91
0.020322302	50.58
0.026050818	40.67
0.014751925	30.79
0.017525495	20.17
0.000450016	9.98
0.010690023	0.15
-0.008236098	-9.37
-0.021143098	-19.27
0.002625618	-29.09
-0.013619586	-39.39
-0.024284795	-49.5
-0.032408604	-59.44
-0.038569164	-69.21
-0.043532381	-79.86
-0.041287979	-89.75
-0.042291126	-100.07
-0.068210478	-110.07
-0.065232221	-120.32
-0.068957203	-110.62
-0.055279426	-99.53
-0.058516276	-88.76
-0.054332342	-78.51
-0.040020229	-68.13
-0.036531885	-57.86
-0.0297601	-47.7
-0.018849617	-37.87
-0.019208129	-28
-0.019451961	-17.9
-0.020478834	-8.23
-0.008687806	1.56
0.025468625	11.5
0.003010273	21.21
-0.006438256	31.73
0.031820407	41.83
0.004158482	51.9
0.029501739	61.85
0.031325093	71.94
0.043947237	82.01
0.030087102	92.2
0.055283636	101.7
0.056417295	111.95
0.073358168	121.66
0.05593066	112.08
0.03635607	101.29
0.068358843	91.47
0.051863219	81.28
0.042100294	71.01
0.044600641	61.06
0.019119231	51.07
0.05013455	40.9
0.013979627	30.49
0.010152827	20.49
-0.005625752	9.91
-0.00997661	0.53
-0.005617745	-9.36
-0.019693508	-19.18
-0.017887579	-29.54
-0.007508313	-39.53
-0.024989424	-49.32
-0.020882695	-59.53
-0.048772728	-69.42
-0.03850465	-79.47
-0.038204794	-89.74
-0.047021018	-100.19
-0.059296807	-110.49
-0.062266854	-120.25
-0.080981133	-110.33
-0.061286179	-99.28
-0.03943089	-88.73
-0.049684385	-78.49
-0.033550739	-68.08
-0.028455176	-57.87
-0.037931921	-47.69
-0.025438524	-37.88
-0.014889134	-27.77
-0.008916797	-17.93
-0.018277732	-8.5
-0.014586903	1.79
0.000948151	11.07
0.003524802	21.1
0.000944101	31.77
0.018654976	41.52
0.017129334	52
0.022362734	61.83
0.0365627	71.7
0.049204375	82.15
0.052698895	91.71
0.041862939	101.88
0.063059753	111.77
0.047516048	121.73
0.039967842	112.05
0.046458276	101.28
0.054288067	91.53
0.058465277	81.1
0.0399138	71.09
0.024505785	60.93
-0.00065654	50.72
0.002562316	40.6
0.010809899	30.43
0.021615526	20.26
-0.003105636	9.93
-0.002040816	0.51
-0.010818007	-9.4
-0.006931212	-19.38
-0.007296675	-29.25
-0.008411906	-39.19
-0.028661105	-49.37
-0.030765766	-59.64
-0.038748331	-69.39
-0.040037259	-79.93
-0.048900723	-90.02
-0.050841182	-100.02
-0.057851855	-110.15
-0.05807014	-120.18
-0.067427929	-110.34
-0.04944215	-99.13
-0.049187127	-89.06
-0.05651229	-78.28
-0.033273424	-68.03
-0.037571132	-57.81
-0.037260809	-47.88
-0.026118101	-37.9
-0.023936268	-27.84
-0.009141907	-17.98
-0.016349636	-8.21
-0.011593318	1.79
-0.005953685	11.77
0.010036297	21.31
0.013333903	31.72
0.024694018	41.84
0.02240399	51.75
0.032992252	62.14
0.01439551	71.98
0.043075509	81.84
0.041112617	91.99
0.035173329	101.76
0.050706052	111.69
0.07130787	121.76
0.054244563	111.79
0.052118058	101.3
0.046750946	91.27
0.048207928	81.26
0.033024356	71.13
0.040561094	61.02
0.00183368	50.88
0.030061595	40.84
0.00854937	30.77
0.019041914	20.27
0.005231197	9.94
-0.004391548	0.51
-0.0117845	-9.09
-0.01492686	-19.39
-0.017958067	-29.43
-0.014048163	-39.64
-0.021892149	-49.44
-0.026075741	-59.49
-0.039560285	-69.52
-0.042011445	-79.75
-0.051690335	-90.17
-0.053474957	-100.15
-0.063871326	-110.25
-0.064126007	-120.28
-0.070667995	-110.43
-0.055038408	-99.23
-0.052812692	-88.69
-0.058690946	-78.04
-0.04207401	-68.06
-0.043494772	-57.55
-0.027852971	-47.7
-0.027970802	-38.09
-0.016778256	-27.77
-0.014123166	-17.77
-0.007777676	-7.86
-0.002909932	1.81
0.007440211	11.17
0.007921358	21.19
0.00104054	31.66
0.007370738	41.58
0.016917044	51.89
0.031281723	62.05
0.017199777	71.9
0.039785722	82.13
0.049140673	92.18
0.059804081	101.8
0.040618883	111.83
0.069953926	121.68
0.067591393	131.82
0.078085499	141.7
0.078818069	151.82
0.084715221	161.93
0.083141093	150.78
0.082000601	140.16
0.073214744	130.24
0.068353625	119.98
0.067500891	110.23
0.066543678	99.96
0.038603798	89.74
0.04459711	79.74
0.016613318	69.95
0.0546885	59.62
0.025165358	49.62
0.015247784	39.74
0.014657913	29.52
0.023124053	18.9
0.007751747	9.55
-0.015154722	-0.64
0.000478177	-10.28
-0.007222269	-20
-0.010684584	-29.96
-0.010490511	-40.34
-0.026355125	-50.06
-0.022546646	-60.23
-0.033986571	-70.23
-0.034730283	-80.24
-0.050126277	-90.7
-0.053216547	-100.94
-0.058675353	-111.15
-0.060855465	-120.88
-0.062534869	-131.44
-0.073785163	-141.37
-0.076859889	-151.18
-0.081628416	-161.4
-0.083047735	-149.23
-0.083365001	-138.17
-0.073737458	-127.72
-0.062867481	-117.52
-0.065688675	-107.52
-0.055232119	-96.96
-0.062101539	-87.02
-0.045518319	-76.59
-0.04862339	-66.46
-0.054506022	-56.44
-0.029080837	-46.55
-0.029597236	-36.55
-0.024500509	-26.67
-0.01178728	-16.8
-0.01688147	-7.12
-0.009885423	2.79
0.005706923	12.45
-0.007204365	22.15
0.014001876	32.91
0.018323559	42.88
0.017463589	52.92
0.022046671	62.57
0.028327195	72.68
0.032102753	82.94
0.050913769	92.83
0.042679867	102.74
0.059924868	112.48
0.080952115	122.74
0.063083467	132.2
0.079413045	142.6
0.080000275	152.86
0.084747811	162.64
0.080865593	152.4
0.079613228	141.69
0.073037853	131.54
0.060731543	121.67
0.072075958	111.51
0.051499632	101.34
0.042904309	91.31
0.056645787	81.34
0.031409774	71.42
0.039370741	61.22
0.028998205	51.27
0.033145115	41.16
0.013035772	31.2
0.022113864	20.9
0.005456475	10.68
-0.007335543	0.99
-0.011955242	-8.57
-0.010851469	-18.43
-0.015534584	-28.51
-0.018124491	-38.37
-0.0184588	-48.75
-0.028436386	-58.59
-0.037659183	-68.71
-0.036845134	-78.84
-0.043962552	-89.01
-0.051217062	-99.24
-0.056458548	-109.25
-0.065537372	-119.39
-0.06802362	-129.64
-0.076647398	-139.76
-0.071566593	-150.04
-0.087229462	-160.19
-0.075410889	-149.9
-0.067999052	-138.71
-0.074716771	-128.05
-0.067877023	-117.53
-0.067398238	-107.71
-0.052058621	-96.89
-0.050624091	-86.98
-0.053632119	-76.89
-0.047054752	-66.61
-0.048487404	-56.43
-0.036398024	-46.66
-0.024781534	-36.69
-0.02029041	-26.7
-0.016567116	-16.97
-0.014733518	-7.12
-0.016844918	2.75
0.007549854	12.3
-0.01111795	22.26
0.017447152	32.44
0.010083812	42.6
0.015254453	52.73
-0.003703979	62.55
0.019017141	72.88
0.027817343	82.75
0.024469087	92.6
0.056463352	102.84
0.044737145	112.61
0.064714628	122.39
0.078677115	132.18
0.076794367	142.51
0.071026959	152.79
0.079685847	162.79
0.100991436	152.79
0.075633452	141.93
0.080698905	131.81
0.068438181	121.59
0.066402314	111.51
0.06777549	101.59
0.055859649	91.52
0.041479403	81.49
0.038101639	71.6
0.038361119	61.39
0.037314136	51.28
0.019578761	41.39
0.013473108	31.24
0.025992334	20.78
0.007061806	10.37
-0.00777175	1.16
-0.023719428	-8.84
0.002656005	-18.6
-0.018447916	-28.46
-0.025779924	-38.73
-0.033263541	-48.53
-0.029213503	-58.55
-0.028332632	-68.68
-0.044808775	-79.04
-0.039340882	-88.86
-0.047380138	-99.11
-0.051369077	-109.61
-0.06609348	-119.32
-0.067367932	-129.69
-0.067323444	-139.68
-0.078961505	-150.05
-0.076090869	-160.08
-0.086108955	-149.55
-0.073936929	-138.49
-0.075389102	-127.97
-0.057350216	-117.64
-0.062679254	-107.44
-0.063695042	-97.11
-0.060319702	-87.15
-0.044243366	-76.55
-0.040576434	-66.44
-0.041915362	-56.7
-0.036070191	-46.55
-0.035428482	-36.93
-0.016882303	-26.54
-0.0077772	-16.96
-0.010061143	-7.04
0.001522584	2.71
0.011436537	12.38
0.004934816	22.39
0.002858965	32.92
0.010777367	42.92
0.011878357	52.66
0.015368002	62.83
0.022146159	73.05
0.037743977	82.89
0.038950123	92.78
0.05077265	102.81
0.054499403	112.57
0.068814796	122.67
0.055057685	132.54
0.071265711	142.49
0.076986024	152.8
0.096730651	162.73
0.079901548	152.65
0.095052819	142.04
0.062029645	131.51
0.061241353	121.34
0.0623399	111.62
0.047268122	101.4
0.053416091	91.48
0.053721042	81.61
0.03901279	71.4
0.028837839	61.39
0.036771424	51.4
0.037327107	41.54
0.006372887	31.22
0.027554665	20.92
0.001083284	10.68
-0.009588099	0.98
-0.003256899	-8.83
0.006565981	-18.64
-0.013206502	-28.2
-0.016874396	-38.61
-0.029556838	-48.47
-0.033630787	-58.43
-0.036488153	-68.52
-0.033771898	-78.9
-0.048223252	-89.11
-0.05349164	-99.27
-0.05438189	-109.31
-0.065677736	-119.35
-0.065177239	-129.49
-0.082731803	-139.83
-0.073544608	-149.78
-0.087636274	-160.36
-0.082640685	-150.03
-0.071948405	-138.23
-0.072462771	-127.83
-0.060779497	-117.4
-0.065565427	-107.67
-0.057592946	-97.24
-0.046274732	-86.89
-0.045051593	-76.54
-0.032245274	-66.51
-0.044582965	-56.53
-0.019499458	-46.52
-0.028759878	-36.73
-0.023104741	-26.61
-0.018427553	-16.75
-0.007284763	-7.15
0.000354474	2.69
