qpz (%)	Lateral Force (kN)
0.29248573	0.74
8.17578E-05	0.75
-0.000595432	10.82
-0.000120304	20.1
0.002137265	30.62
0.00456606	40.42
0.006660114	50.72
0.009007151	60.23
0.011603316	70.54
0.01403211	80.53
0.016126164	90.82
0.018305831	100.41
0.020734625	110.5
0.022657455	120.53
0.024432187	110.25
0.023960914	99.95
0.022726838	89.85
0.020636639	79.66
0.018881179	69.53
0.016787125	58.96
0.014693071	49.28
0.012941466	39.36
0.010936879	28.89
0.008928438	17.89
0.007001754	8.41
0.004825942	-1.44
0.00298487	-11.2
0.000972574	-21.47
-0.000957965	-31.33
-0.003219389	-41.23
-0.005566426	-50.87
-0.007827851	-61.15
-0.010174887	-70.71
-0.012514215	-80.91
-0.014775639	-91.1
-0.017457416	-101.04
-0.019804453	-111.11
-0.021890798	-120.78
-0.023490451	-110.9
-0.023186548	-99.57
-0.022719129	-89.04
-0.022247856	-78.51
-0.020585718	-68.22
-0.018491664	-57.84
-0.016483222	-47.85
-0.014217943	-37.76
-0.012127744	-27.88
-0.009866319	-17.73
-0.007939635	-8.24
-0.005849436	1.82
-0.003502399	11.68
-0.001326587	21.31
0.000759758	31.8
0.002846103	41.79
0.004768932	51.88
0.006859132	61.98
0.009120556	71.67
0.011634963	82.01
0.014153224	91.89
0.016675341	101.72
0.018687637	111.61
0.021116431	121.63
0.023229759	111.51
0.022925856	101.34
0.022458437	91.3
0.021734181	81.2
0.020153801	71.25
0.017896232	60.72
0.015973402	50.7
0.013968815	40.79
0.012217211	30.59
0.010041399	20.06
0.008114715	9.99
0.006277498	0.04
0.004272911	-9.66
0.002260614	-19.6
-4.66488E-06	-29.45
-0.001760124	-39.44
-0.003935936	-49.55
-0.006282973	-59.84
-0.008544397	-69.75
-0.011144416	-79.82
-0.013833903	-90.21
-0.016605147	-100.4
-0.018442364	-110.41
-0.020618176	-120.25
-0.022552569	-110.52
-0.022334278	-99.51
-0.021699489	-88.76
-0.021224361	-78.38
-0.020585718	-68.09
-0.01960848	-57.78
-0.01819547	-47.92
-0.015762821	-38.13
-0.013925604	-27.8
-0.011917162	-17.95
-0.009488368	-8.51
-0.007565538	1.83
-0.005479193	11.5
-0.003385139	21.05
-0.001201618	31.69
0.001141564	41.66
0.003064394	51.89
0.005403721	62.05
0.007583388	71.82
0.009587975	82.19
0.012102382	92.11
0.014363806	101.63
0.016714697	111.71
0.018976122	121.77
0.021089449	112.02
0.020952916	101.41
0.020485497	91.37
0.019936321	81.26
0.019126453	70.96
