qtotal (%)	Lateral Force (kN)
0.000833333	0.74
0.000875	0.75
0.028375	10.82
0.060166667	20.1
0.091541667	30.62
0.123125	40.42
0.154	50.72
0.184708333	60.23
0.216291667	70.54
0.247416667	80.53
0.278541667	90.82
0.309875	100.41
0.340791667	110.5
0.372291667	120.53
0.347083333	110.25
0.31575	99.95
0.284125	89.85
0.252625	79.66
0.221916667	69.53
0.190083333	58.96
0.158875	49.28
0.127958333	39.36
0.09675	28.89
0.065666667	17.89
0.034541667	8.41
0.004125	-1.44
-0.027291667	-11.2
-0.058875	-21.47
-0.08975	-31.33
-0.120208333	-41.23
-0.151708333	-50.87
-0.182666667	-61.15
-0.214041667	-70.71
-0.245166667	-80.91
-0.276666667	-91.1
-0.306958333	-101.04
-0.3385	-111.11
-0.370083333	-120.78
-0.345166667	-110.9
-0.3125	-99.57
-0.281791667	-89.04
-0.250291667	-78.51
-0.2195	-68.22
-0.187958333	-57.84
-0.156583333	-47.85
-0.125875	-37.76
-0.094625	-27.88
-0.063666667	-17.73
-0.032375	-8.24
-0.001458333	1.82
0.02975	11.68
0.060625	21.31
0.091541667	31.8
0.122875	41.79
0.1535	51.88
0.185	61.98
0.216458333	71.67
0.247541667	82.01
0.278666667	91.89
0.309958333	101.72
0.340583333	111.61
0.371958333	121.63
0.346583333	111.51
0.315666667	101.34
0.284666667	91.3
0.252666667	81.2
0.221833333	71.25
0.190416667	60.72
0.159	50.7
0.128208333	40.79
0.097041667	30.59
0.065541667	20.06
0.034416667	9.99
0.003666667	0.04
-0.027333333	-9.66
-0.058291667	-19.6
-0.0895	-29.45
-0.1205	-39.44
-0.151833333	-49.55
-0.182916667	-59.84
-0.213958333	-69.75
-0.245791667	-79.82
-0.2765	-90.21
-0.307541667	-100.4
-0.338875	-110.41
-0.369666667	-120.25
-0.345958333	-110.52
-0.3135	-99.51
-0.281875	-88.76
-0.250875	-78.38
-0.219625	-68.09
-0.18875	-57.78
-0.157166667	-47.92
-0.125875	-38.13
-0.094666667	-27.8
-0.06325	-17.95
-0.032583333	-8.51
-0.002	1.83
0.029375	11.5
0.060708333	21.05
0.091583333	31.69
0.122625	41.66
0.154166667	51.89
0.18525	62.05
0.216291667	71.82
0.247333333	82.19
0.278583333	92.11
0.309583333	101.63
0.340958333	111.71
0.3725	121.77
0.347625	112.02
0.316	101.41
0.284	91.37
0.252708333	81.26
0.221791667	70.96
0.190291667	60.91
0.15875	50.58
0.128083333	40.67
0.097083333	30.79
0.065791667	20.17
0.03475	9.98
0.003541667	0.15
-0.027166667	-9.37
-0.058375	-19.27
-0.089458333	-29.09
-0.120583333	-39.39
-0.15175	-49.5
-0.183041667	-59.44
-0.213708333	-69.21
-0.245	-79.86
-0.276625	-89.75
-0.307333333	-100.07
-0.338916667	-110.07
-0.369708333	-120.32
-0.346166667	-110.62
-0.313625	-99.53
-0.281791667	-88.76
-0.250625	-78.51
-0.219458333	-68.13
-0.18825	-57.86
-0.157041667	-47.7
-0.126083333	-37.87
-0.09425	-28
-0.063583333	-17.9
-0.0325	-8.23
-0.001333333	1.56
0.029708333	11.5
0.060541667	21.21
0.091875	31.73
0.122666667	41.83
0.154291667	51.9
0.185041667	61.85
0.216583333	71.94
0.2475	82.01
0.278791667	92.2
0.309791667	101.7
0.340791667	111.95
0.372041667	121.66
0.34725	112.08
0.315583333	101.29
0.283958333	91.47
0.253	81.28
0.221791667	71.01
0.190208333	61.06
0.159416667	51.07
0.127958333	40.9
0.096833333	30.49
0.066208333	20.49
0.034666667	9.91
0.00375	0.53
-0.027541667	-9.36
-0.058708333	-19.18
-0.089833333	-29.54
-0.120916667	-39.53
-0.151541667	-49.32
-0.182916667	-59.53
-0.214041667	-69.42
-0.245166667	-79.47
-0.276041667	-89.74
-0.30775	-100.19
-0.338875	-110.49
-0.36975	-120.25
-0.345875	-110.33
-0.313416667	-99.28
-0.281625	-88.73
-0.250791667	-78.49
-0.21975	-68.08
-0.187833333	-57.87
-0.156708333	-47.69
-0.126291667	-37.88
-0.09475	-27.77
-0.063375	-17.93
-0.03275	-8.5
-0.001833333	1.79
0.029708333	11.07
0.060875	21.1
0.092166667	31.77
0.12225	41.52
0.154291667	52
0.184958333	61.83
0.216166667	71.7
0.247625	82.15
0.278416667	91.71
0.309791667	101.88
0.341375	111.77
0.372458333	121.73
0.347541667	112.05
0.316041667	101.28
0.283791667	91.53
0.252666667	81.1
0.221833333	71.09
0.1905	60.93
0.159083333	50.72
0.127791667	40.6
0.097	30.43
0.065833333	20.26
0.0345	9.93
0.003458333	0.51
-0.027583333	-9.4
-0.05875	-19.38
-0.089	-29.25
-0.120583333	-39.19
-0.151625	-49.37
-0.183041667	-59.64
-0.2145	-69.39
-0.24575	-79.93
-0.276708333	-90.02
-0.307041667	-100.02
-0.338375	-110.15
-0.369541667	-120.18
-0.344708333	-110.34
-0.313583333	-99.13
-0.282083333	-89.06
-0.25075	-78.28
-0.219208333	-68.03
-0.188625	-57.81
-0.15725	-47.88
-0.125916667	-37.9
-0.094416667	-27.84
-0.063708333	-17.98
-0.032583333	-8.21
-0.001375	1.79
0.029666667	11.77
0.061125	21.31
0.091625	31.72
0.123041667	41.84
0.15375	51.75
0.185166667	62.14
0.216458333	71.98
0.247041667	81.84
0.278458333	91.99
0.309833333	101.76
0.340583333	111.69
0.372041667	121.76
0.34725	111.79
0.315916667	101.3
0.283833333	91.27
0.252666667	81.26
0.221375	71.13
0.1905	61.02
0.158916667	50.88
0.1275	40.84
0.097666667	30.77
0.065958333	20.27
0.034833333	9.94
0.003375	0.51
-0.02725	-9.09
-0.058375	-19.39
-0.089666667	-29.43
-0.120791667	-39.64
-0.151958333	-49.44
-0.182583333	-59.49
-0.214	-69.52
-0.244958333	-79.75
-0.276666667	-90.17
-0.307291667	-100.15
-0.33825	-110.25
-0.370041667	-120.28
-0.345708333	-110.43
-0.313375	-99.23
-0.281875	-88.69
-0.250791667	-78.04
-0.219666667	-68.06
-0.188	-57.55
-0.157166667	-47.7
-0.125666667	-38.09
-0.094708333	-27.77
-0.063791667	-17.77
-0.032916667	-7.86
-0.001708333	1.81
0.029541667	11.17
0.060916667	21.19
0.091958333	31.66
0.122416667	41.58
0.153916667	51.89
0.184958333	62.05
0.21575	71.9
0.247291667	82.13
0.279083333	92.18
0.309708333	101.8
0.341541667	111.83
0.37175	121.68
0.4035	131.82
0.434791667	141.7
0.466125	151.82
0.497125	161.93
0.471708333	150.78
0.440541667	140.16
0.409041667	130.24
0.377333333	119.98
0.346208333	110.23
0.315416667	99.96
0.283666667	89.74
0.252833333	79.74
0.221458333	69.95
0.190208333	59.62
0.158916667	49.62
0.128333333	39.74
0.0965	29.52
0.066166667	18.9
0.035	9.55
0.003458333	-0.64
-0.02725	-10.28
-0.058333333	-20
-0.0895	-29.96
-0.120708333	-40.34
-0.152	-50.06
-0.182958333	-60.23
-0.21375	-70.23
-0.245333333	-80.24
-0.276291667	-90.7
-0.3075	-100.94
-0.338833333	-111.15
-0.369958333	-120.88
-0.401125	-131.44
-0.432333333	-141.37
-0.463625	-151.18
-0.494458333	-161.4
-0.469625	-149.23
-0.437875	-138.17
-0.407083333	-127.72
-0.375541667	-117.52
-0.343958333	-107.52
-0.312291667	-96.96
-0.281958333	-87.02
-0.250666667	-76.59
-0.219541667	-66.46
-0.187916667	-56.44
-0.157416667	-46.55
-0.126375	-36.55
-0.094791667	-26.67
-0.063	-16.8
-0.032666667	-7.12
-0.001833333	2.79
0.029541667	12.45
0.06025	22.15
0.091708333	32.91
0.123083333	42.88
0.154416667	52.92
0.184666667	62.57
0.216333333	72.68
0.247541667	82.94
0.278791667	92.83
0.310041667	102.74
0.341166667	112.48
0.372125	122.74
0.403291667	132.2
0.43475	142.6
0.466166667	152.86
0.496916667	162.64
0.471875	152.4
0.440291667	141.69
0.40875	131.54
0.377583333	121.67
0.3465	111.51
0.314958333	101.34
0.283416667	91.31
0.252833333	81.34
0.222041667	71.42
0.19025	61.22
0.1595	51.27
0.127958333	41.16
0.097083333	31.2
0.066375	20.9
0.034791667	10.68
0.003	0.99
-0.027333333	-8.57
-0.058291667	-18.43
-0.089416667	-28.51
-0.120125	-38.37
-0.151583333	-48.75
-0.183083333	-58.59
-0.214166667	-68.71
-0.245333333	-78.84
-0.276708333	-89.01
-0.307583333	-99.24
-0.338208333	-109.25
-0.369333333	-119.39
-0.401083333	-129.64
-0.432625	-139.76
-0.4635	-150.04
-0.493958333	-160.19
-0.471083333	-149.9
-0.438291667	-138.71
-0.406666667	-128.05
-0.375291667	-117.53
-0.34425	-107.71
-0.313	-96.89
-0.281708333	-86.98
-0.251083333	-76.89
-0.219791667	-66.61
-0.188375	-56.43
-0.157083333	-46.66
-0.126166667	-36.69
-0.09475	-26.7
-0.063916667	-16.97
-0.032583333	-7.12
-0.001625	2.75
0.029583333	12.3
0.060791667	22.26
0.091625	32.44
0.122625	42.6
0.154	52.73
0.184875	62.55
0.216458333	72.88
0.247041667	82.75
0.27875	92.6
0.309583333	102.84
0.340958333	112.61
0.3725	122.39
0.403333333	132.18
0.434625	142.51
0.465833333	152.79
0.496833333	162.79
0.472458333	152.79
0.44075	141.93
0.409291667	131.81
0.377666667	121.59
0.345958333	111.51
0.315166667	101.59
0.284208333	91.52
0.252625	81.49
0.222208333	71.6
0.19025	61.39
0.159125	51.28
0.127708333	41.39
0.097125	31.24
0.066333333	20.78
0.035166667	10.37
0.003583333	1.16
-0.027166667	-8.84
-0.058583333	-18.6
-0.089291667	-28.46
-0.1205	-38.73
-0.15175	-48.53
-0.182916667	-58.55
-0.214458333	-68.68
-0.245041667	-79.04
-0.276083333	-88.86
-0.307666667	-99.11
-0.338875	-109.61
-0.369916667	-119.32
-0.400958333	-129.69
-0.4325	-139.68
-0.463708333	-150.05
-0.4945	-160.08
-0.470166667	-149.55
-0.4385	-138.49
-0.406583333	-127.97
-0.375541667	-117.64
-0.34425	-107.44
-0.312416667	-97.11
-0.282083333	-87.15
-0.250416667	-76.55
-0.219208333	-66.44
-0.18825	-56.7
-0.156916667	-46.55
