L_Link_disp     L_Link_shear
0     0
-3.2703e-05     -21.3827
-6.5406e-05     -42.7655
-9.8109e-05     -64.1482
-0.000130812     -85.531
-0.000163515     -106.914
-0.000196218     -128.296
-0.000228921     -149.679
-0.000261624     -171.062
-0.000294327     -192.445
-0.00032703     -213.827
-0.000359733     -235.21
-0.000392436     -256.593
-0.000425139     -277.976
-0.000457842     -299.358
-0.000490545     -320.741
-0.000523248     -342.124
-0.000555951     -363.507
-0.000588654     -384.889
-0.000621357     -406.272
-0.00065406     -427.655
-0.000686763     -449.038
-0.000719466     -470.42
-0.000752169     -491.803
-0.000784872     -513.186
-0.000817575     -534.568
-0.000850278     -555.951
-0.000882981     -577.334
-0.000915684     -598.717
-0.000948387     -620.099
-0.00098109     -641.482
-0.00101379     -662.865
-0.0010465     -684.248
-0.0010792     -705.63
-0.0011119     -727.013
-0.00114461     -748.396
-0.00117731     -769.779
-0.00121001     -791.161
-0.00124271     -812.544
-0.00127542     -833.927
-0.00130812     -855.31
-0.00134082     -876.692
-0.00137353     -898.075
-0.00140623     -919.458
-0.00143893     -940.841
-0.00147164     -962.223
-0.00150434     -983.606
-0.00153704     -1004.99
-0.00156974     -1026.37
-0.00160245     -1047.75
-0.00163515     -1069.14
-0.00166785     -1090.52
-0.00170056     -1111.9
-0.00173326     -1133.29
-0.00176596     -1154.67
-0.00179867     -1176.05
-0.00183137     -1197.43
-0.00186407     -1218.82
-0.00189677     -1240.2
-0.00192948     -1261.58
-0.00196218     -1282.96
-0.00199488     -1304.35
-0.00202759     -1325.73
-0.00206029     -1347.11
-0.00209299     -1368.5
-0.0021257     -1389.88
-0.0021584     -1411.26
-0.0021911     -1432.64
-0.0022238     -1454.03
-0.00225651     -1475.41
-0.00228921     -1496.79
-0.00232191     -1518.17
-0.00235462     -1539.56
-0.00238732     -1560.94
-0.00242002     -1582.32
-0.00245273     -1603.71
-0.00248543     -1625.09
-0.00251813     -1646.47
-0.00255084     -1667.85
-0.00258354     -1689.24
-0.00261624     -1710.62
-0.00264894     -1732
-0.00268165     -1753.38
-0.00271435     -1774.76
-0.00274703     -1796.13
-0.00277971     -1817.41
-0.00281265     -1838.43
-0.00284689     -1858.74
-0.00288493     -1877.57
-0.0029306     -1894.1
-0.0029874     -1907.99
-0.00305713     -1919.44
-0.00314012     -1928.94
-0.00323589     -1936.92
-0.00334363     -1943.75
-0.00346243     -1949.68
-0.00359131     -1954.89
-0.00372933     -1959.52
-0.00387561     -1963.68
-0.0040293     -1967.44
-0.00418966     -1970.87
-0.00412426     -1928.11
-0.00405885     -1885.34
-0.00399344     -1842.57
-0.00392804     -1799.81
-0.00386263     -1757.04
-0.00379723     -1714.28
-0.00373182     -1671.51
-0.00366641     -1628.75
-0.00360101     -1585.98
-0.0035356     -1543.22
-0.0034702     -1500.45
-0.00340479     -1457.69
-0.00333938     -1414.92
-0.00327398     -1372.15
-0.00320857     -1329.39
-0.00314317     -1286.62
-0.00307776     -1243.86
-0.00301235     -1201.09
-0.00294695     -1158.33
-0.00288154     -1115.56
-0.00281614     -1072.8
-0.00275073     -1030.03
-0.00268532     -987.265
-0.00261992     -944.5
-0.00255451     -901.734
-0.00248911     -858.969
-0.0024237     -816.203
-0.00235829     -773.438
-0.00229289     -730.672
-0.00222748     -687.907
-0.00216208     -645.141
-0.00209667     -602.376
-0.00203126     -559.611
-0.00196586     -516.845
-0.00190045     -474.08
-0.00183505     -431.314
-0.00176964     -388.549
-0.00170423     -345.783
-0.00163883     -303.018
-0.00157342     -260.252
-0.00150802     -217.487
-0.00144261     -174.721
-0.0013772     -131.956
-0.0013118     -89.1903
-0.00124639     -46.4248
-0.00118099     -3.65933
-0.00111558     39.1062
-0.00105017     81.8716
-0.000984767     124.637
-0.000919361     167.403
-0.000853955     210.168
-0.000788549     252.934
-0.000723143     295.699
-0.000657737     338.465
-0.000592331     381.23
-0.000526925     423.995
-0.000461519     466.761
-0.000396113     509.526
-0.000330707     552.292
-0.000265301     595.057
-0.000199895     637.823
-0.000134489     680.588
-6.90827e-05     723.354
-3.67663e-06     766.119
6.17294e-05     808.885
0.000127135     851.65
0.000192541     894.416
0.000257947     937.181
0.000323353     979.947
0.00038876     1022.71
0.000454166     1065.48
0.000519572     1108.24
0.000584978     1151.01
0.000650384     1193.77
0.00071579     1236.54
0.000781196     1279.31
0.000846602     1322.07
0.000912008     1364.84
0.000977414     1407.6
0.00104282     1450.37
0.00110823     1493.13
0.00117363     1535.9
0.00123898     1578.63
0.00130413     1621.13
0.0013693     1662.57
0.00143795     1700.76
0.0015199     1732.89
0.00162679     1758.15
0.00176517     1777.82
0.00193674     1793.5
0.00214054     1806.36
0.00237426     1817.15
0.00263499     1826.37
0.00291964     1834.37
0.00322521     1841.4
0.00354898     1847.64
0.00388849     1853.24
0.00424163     1858.29
0.00460659     1862.88
0.00498181     1867.09
0.0049164     1824.32
0.004851     1781.56
0.00478559     1738.79
0.00472018     1696.03
0.00465478     1653.26
0.00458937     1610.5
0.00452397     1567.73
0.00445856     1524.97
0.00439315     1482.2
0.00432775     1439.44
0.00426234     1396.67
0.00419693     1353.9
0.00413153     1311.14
0.00406612     1268.37
0.00400072     1225.61
0.00393531     1182.84
0.0038699     1140.08
0.0038045     1097.31
0.00373909     1054.55
0.00367369     1011.78
0.00360828     969.015
0.00354287     926.249
0.00347747     883.484
0.00341206     840.718
0.00334666     797.953
0.00328125     755.188
0.00321584     712.422
0.00315044     669.657
0.00308503     626.891
0.00301963     584.126
0.00295422     541.36
0.00288881     498.595
0.00282341     455.829
0.002758     413.064
0.0026926     370.298
0.00262719     327.533
0.00256178     284.767
0.00249638     242.002
0.00243097     199.236
0.00236557     156.471
0.00230016     113.705
0.00223475     70.9398
0.00216935     28.1744
0.00210394     -14.5911
0.00203854     -57.3566
0.00197313     -100.122
0.00190772     -142.888
0.00184232     -185.653
0.00177691     -228.419
0.00171151     -271.184
0.0016461     -313.949
0.00158069     -356.715
0.00151529     -399.48
0.00144988     -442.246
0.00138448     -485.011
0.00131907     -527.777
0.00125366     -570.542
0.00118826     -613.308
0.00112285     -656.073
0.00105745     -698.839
0.00099204     -741.604
0.000926634     -784.37
0.000861228     -827.135
0.000795822     -869.901
0.000730416     -912.666
0.00066501     -955.432
0.000599604     -998.197
0.000534198     -1040.96
0.000468792     -1083.73
0.000403386     -1126.49
0.000337979     -1169.26
0.000272573     -1212.02
0.000207167     -1254.79
0.000141761     -1297.56
7.63554e-05     -1340.32
1.09494e-05     -1383.09
-5.44566e-05     -1425.85
-0.000119863     -1468.62
-0.000185269     -1511.38
-0.000250675     -1554.15
-0.000316081     -1596.91
-0.000381479     -1639.67
-0.000446759     -1682.35
-0.00051143     -1724.43
-0.000575605     -1763.88
-0.000644943     -1797.07
-0.000731504     -1822.54
-0.000845259     -1841.9
-0.000991167     -1857.13
-0.00117065     -1869.52
-0.00138281     -1879.86
-0.00162531     -1888.65
-0.00189508     -1896.25
-0.00218885     -1902.88
-0.00250344     -1908.74
-0.00283598     -1913.96
-0.00318395     -1918.64
-0.00354517     -1922.89
-0.00391779     -1926.75
-0.00430025     -1930.3
-0.00423485     -1887.53
-0.00416944     -1844.77
-0.00410404     -1802
-0.00403863     -1759.23
-0.00397322     -1716.47
-0.00390782     -1673.7
-0.00384241     -1630.94
-0.00377701     -1588.17
-0.0037116     -1545.41
-0.00364619     -1502.64
-0.00358079     -1459.88
-0.00351538     -1417.11
-0.00344998     -1374.34
-0.00338457     -1331.58
-0.00331916     -1288.81
-0.00325376     -1246.05
-0.00318835     -1203.28
-0.00312295     -1160.52
-0.00305754     -1117.75
-0.00299213     -1074.99
-0.00292673     -1032.22
-0.00286132     -989.455
-0.00279592     -946.69
-0.00273051     -903.924
-0.0026651     -861.159
-0.0025997     -818.393
-0.00253429     -775.628
-0.00246889     -732.863
-0.00240348     -690.097
-0.00233807     -647.332
-0.00227267     -604.566
-0.00220726     -561.801
-0.00214186     -519.035
-0.00207645     -476.27
-0.00201104     -433.504
-0.00194564     -390.739
-0.00188023     -347.973
-0.00181483     -305.208
-0.00174942     -262.442
