U_Link_disp     U_Link_shear
0     0
-3.22154e-05     -14.8686
-6.44308e-05     -29.7373
-9.66462e-05     -44.6059
-0.000128862     -59.4746
-0.000161077     -74.3432
-0.000193292     -89.2119
-0.000225508     -104.081
-0.000257723     -118.949
-0.000289939     -133.818
-0.000322154     -148.686
-0.000354369     -163.555
-0.000386585     -178.424
-0.0004188     -193.292
-0.000451016     -208.161
-0.000483231     -223.03
-0.000515446     -237.898
-0.000547662     -252.767
-0.000579877     -267.636
-0.000612093     -282.504
-0.000644308     -297.373
-0.000676524     -312.242
-0.000708739     -327.11
-0.000740954     -341.979
-0.00077317     -356.848
-0.000805385     -371.716
-0.000837601     -386.585
-0.000869816     -401.454
-0.000902031     -416.322
-0.000934247     -431.191
-0.000966462     -446.059
-0.000998678     -460.928
-0.00103089     -475.797
-0.00106311     -490.665
-0.00109532     -505.534
-0.00112754     -520.403
-0.00115975     -535.271
-0.00119197     -550.14
-0.00122419     -565.009
-0.0012564     -579.877
-0.00128862     -594.746
-0.00132083     -609.615
-0.00135305     -624.483
-0.00138526     -639.352
-0.00141748     -654.221
-0.00144969     -669.089
-0.00148191     -683.958
-0.00151412     -698.826
-0.00154634     -713.695
-0.00157855     -728.564
-0.00161077     -743.432
-0.00164299     -758.301
-0.0016752     -773.17
-0.00170742     -788.038
-0.00173963     -802.907
-0.00177185     -817.776
-0.00180406     -832.644
-0.00183628     -847.513
-0.00186849     -862.382
-0.00190071     -877.25
-0.00193292     -892.119
-0.00196514     -906.988
-0.00199736     -921.856
-0.00202957     -936.725
-0.00206179     -951.594
-0.002094     -966.462
-0.00212622     -981.331
-0.00215843     -996.199
-0.00219065     -1011.07
-0.00222286     -1025.94
-0.00225508     -1040.81
-0.00228729     -1055.67
-0.00231951     -1070.54
-0.00235172     -1085.41
-0.00238394     -1100.28
-0.00241616     -1115.15
-0.00244837     -1130.02
-0.00248059     -1144.89
-0.0025128     -1159.75
-0.00254502     -1174.62
-0.00257723     -1189.49
-0.00260945     -1204.36
-0.00264166     -1219.23
-0.00267383     -1234.08
-0.00270586     -1248.86
-0.00273745     -1263.44
-0.00276795     -1277.49
-0.00279643     -1290.47
-0.00282222     -1301.87
-0.00284553     -1311.49
-0.00286724     -1319.53
-0.00288841     -1326.32
-0.00290995     -1332.16
-0.0029326     -1337.31
-0.00295697     -1341.92
-0.00298357     -1346.12
-0.00301286     -1349.98
-0.00304528     -1353.57
-0.00308122     -1356.93
-0.00312107     -1360.09
-0.00316521     -1363.09
-0.00310078     -1333.35
-0.00303634     -1303.61
-0.00297191     -1273.88
-0.00290748     -1244.14
-0.00284305     -1214.4
-0.00277862     -1184.66
-0.00271419     -1154.93
-0.00264976     -1125.19
-0.00258533     -1095.45
-0.0025209     -1065.72
-0.00245647     -1035.98
-0.00239204     -1006.24
-0.00232761     -976.504
-0.00226317     -946.766
-0.00219874     -917.029
-0.00213431     -887.292
-0.00206988     -857.555
-0.00200545     -827.817
-0.00194102     -798.08
-0.00187659     -768.343
-0.00181216     -738.605
-0.00174773     -708.868
-0.0016833     -679.131
-0.00161887     -649.393
-0.00155444     -619.656
-0.00149001     -589.919
-0.00142557     -560.182
-0.00136114     -530.444
-0.00129671     -500.707
-0.00123228     -470.97
-0.00116785     -441.232
-0.00110342     -411.495
-0.00103899     -381.758
-0.000974559     -352.02
-0.000910128     -322.283
-0.000845697     -292.546
-0.000781266     -262.809
-0.000716835     -233.071
-0.000652405     -203.334
-0.000587974     -173.597
-0.000523543     -143.859
-0.000459112     -114.122
-0.000394681     -84.3848
-0.000330251     -54.6475
-0.00026582     -24.9102
-0.000201389     4.82713
-0.000136958     34.5644
-7.25273e-05     64.3017
-8.09647e-06     94.039
5.63343e-05     123.776
0.000120765     153.514
0.000185196     183.251
0.000249627     212.988
0.000314058     242.726
0.000378488     272.463
0.000442919     302.2
0.00050735     331.937
0.000571781     361.675
0.000636212     391.412
0.000700642     421.149
0.000765073     450.887
0.000829504     480.624
0.000893935     510.361
0.000958366     540.099
0.0010228     569.836
0.00108723     599.573
0.00115166     629.31
0.00121609     659.048
0.00128052     688.785
0.00134495     718.522
0.00140938     748.26
0.00147381     777.997
0.00153824     807.734
0.00160267     837.471
0.0016671     867.209
0.00173154     896.946
0.00179597     926.683
0.0018604     956.421
0.00192483     986.158
0.00198926     1015.9
0.00205369     1045.63
0.00211805     1075.34
0.002182     1104.85
0.00224415     1133.54
0.00230121     1159.85
0.00234959     1181.97
0.00238938     1199.5
0.0024238     1213.44
0.00245617     1224.89
0.00248907     1234.66
0.0025245     1243.25
0.00256419     1250.98
0.00260972     1258.03
0.00266263     1264.56
0.00272444     1270.66
0.0027967     1276.38
0.00288091     1281.78
0.00297853     1286.88
0.00309096     1291.72
0.00321944     1296.31
0.00315501     1266.57
0.00309057     1236.84
0.00302614     1207.1
0.00296171     1177.36
0.00289728     1147.63
0.00283285     1117.89
0.00276842     1088.15
0.00270399     1058.41
0.00263956     1028.68
0.00257513     998.939
0.0025107     969.201
