[NODE]-[N18]-[1]-[1]     [FORCE_GROUP]-[1F]
0     0
0.35     54.24
0.7     108.5
1.05     162.7
1.4     217
1.75     271.2
2.1     325.5
2.45     379.7
2.8     434
3.15     488.2
3.5     542.4
3.85     596.7
4.2     650.9
4.55     705.2
4.9     759.4
5.25     813.7
5.6     867.9
5.95     922.1
6.3     976.4
6.65     1031
7     1085
7.35     1139
7.7     1193
8.05     1248
8.4     1302
8.75     1356
9.1     1410
9.45     1465
9.8     1519
10.15     1573
10.5     1627
10.85     1682
11.2     1736
11.55     1790
11.9     1844
12.25     1899
12.6     1953
12.95     2007
13.3     2061
13.65     2116
14     2170
14.35     2224
14.7     2278
15.05     2332
15.4     2387
15.75     2441
16.1     2495
16.45     2549
16.8     2604
17.15     2658
17.5     2712
17.85     2766
18.2     2821
18.55     2875
18.9     2929
19.25     2983
19.6     3038
19.95     3092
20.3     3146
20.65     3200
21     3255
21.35     3309
21.7     3363
22.05     3417
22.4     3472
22.75     3526
23.1     3580
23.45     3634
23.8     3689
24.15     3743
24.5     3797
24.85     3851
25.2     3906
25.55     3960
25.9     4014
26.25     4068
26.6     4123
26.95     4177
27.3     4231
27.65     4285
28     4340
28.35     4394
28.7     4448
29.05     4502
29.4     4556
29.75     4610
30.1     4664
30.45     4715
30.8     4762
31.15     4804
31.5     4838
31.85     4866
32.2     4889
32.55     4909
32.9     4925
33.25     4939
33.6     4952
33.95     4963
34.3     4974
34.65     4983
35     4991
34.3     4883
33.6     4774
32.9     4666
32.2     4558
31.5     4449
30.8     4341
30.1     4232
29.4     4124
28.7     4015
28     3907
27.3     3798
26.6     3690
25.9     3581
25.2     3473
24.5     3364
23.8     3256
23.1     3147
22.4     3039
21.7     2930
21     2822
20.3     2713
19.6     2605
18.9     2496
18.2     2388
17.5     2279
16.8     2171
16.1     2062
15.4     1954
14.7     1845
14     1737
13.3     1628
12.6     1520
11.9     1411
11.2     1303
10.5     1194
9.8     1086
9.1     977.4
8.4     868.9
7.7     760.4
7     651.9
6.3     543.4
5.6     435
4.9     326.5
4.2     218
3.5     109.5
2.8     1.002
2.1     -107.5
1.4     -216
0.7     -324.5
7.52731e-14     -433
-0.7     -541.4
-1.4     -649.9
-2.1     -758.4
-2.8     -866.9
-3.5     -975.4
-4.2     -1084
-4.9     -1192
-5.6     -1301
-6.3     -1409
-7     -1518
-7.7     -1626
-8.4     -1735
-9.1     -1843
-9.8     -1952
-10.5     -2060
-11.2     -2169
-11.9     -2277
-12.6     -2386
-13.3     -2494
-14     -2603
-14.7     -2711
-15.4     -2820
-16.1     -2928
-16.8     -3037
-17.5     -3145
-18.2     -3254
