[NODE]-[N12]-[6]-[1]     [FORCE_GROUP]-[1F]
0     0
-5.34534e-05     52.69
-0.000106907     105.4
-0.00016036     158.1
-0.000213813     210.8
-0.000267267     263.4
-0.00032072     316.1
-0.000374174     368.8
-0.000427627     421.5
-0.00048108     474.2
-0.000534534     526.9
-0.000587987     579.6
-0.00064144     632.3
-0.000694894     684.9
-0.000748347     737.6
-0.0008018     790.3
-0.000855254     843
-0.000908707     895.7
-0.00096216     948.4
-0.00101561     1001
-0.00106907     1054
-0.00112252     1106
-0.00117597     1159
-0.00122943     1212
-0.00128288     1265
-0.00133633     1317
-0.00138979     1370
-0.00144324     1423
-0.00149669     1475
-0.00155015     1528
-0.0016036     1581
-0.00165705     1633
-0.00171051     1686
-0.00176396     1739
-0.00181741     1791
-0.00187087     1844
-0.00192432     1897
-0.00197777     1949
-0.00203123     2002
-0.00208468     2055
-0.00213813     2108
-0.00219159     2160
-0.00224504     2213
-0.00229849     2266
-0.00235195     2318
-0.0024054     2371
-0.00245885     2424
-0.00251231     2476
-0.00256576     2529
-0.00261921     2582
-0.00267267     2634
-0.00272612     2687
-0.00277957     2740
-0.00283303     2792
-0.00288648     2845
-0.00293993     2898
-0.00299339     2951
-0.00304684     3003
-0.00310029     3056
-0.00315375     3109
-0.0032072     3161
-0.00326066     3214
-0.00331411     3267
-0.00336756     3319
-0.00342102     3372
-0.00347447     3425
-0.00352792     3477
-0.00358138     3530
-0.00363483     3583
-0.00368828     3635
-0.00374174     3688
-0.00379519     3741
-0.00384864     3794
-0.0039021     3846
-0.00395555     3899
-0.004009     3952
-0.00406246     4004
-0.00411591     4057
-0.00416936     4110
-0.00422282     4162
-0.00427627     4215
-0.00432972     4268
-0.00438319     4320
-0.00443673     4373
-0.00449056     4425
-0.00454531     4477
-0.00460241     4526
-0.00466419     4572
-0.00473289     4611
-0.00480922     4644
-0.00489223     4671
-0.00498034     4693
-0.00507211     4711
-0.00516644     4727
-0.00526253     4740
-0.0053598     4753
-0.0054578     4764
-0.00555621     4773
-0.00565476     4783
-0.00575323     4791
-0.00585144     4799
-0.00574454     4693
-0.00563763     4588
-0.00553072     4483
-0.00542381     4377
-0.00531691     4272
-0.00521     4167
-0.00510309     4061
-0.00499619     3956
-0.00488928     3850
-0.00478237     3745
-0.00467547     3640
-0.00456856     3534
-0.00446165     3429
-0.00435475     3324
-0.00424784     3218
-0.00414093     3113
-0.00403403     3007
-0.00392712     2902
-0.00382021     2797
-0.00371331     2691
-0.0036064     2586
-0.00349949     2481
-0.00339259     2375
-0.00328568     2270
-0.00317877     2164
-0.00307187     2059
-0.00296496     1954
-0.00285805     1848
-0.00275115     1743
-0.00264424     1638
-0.00253733     1532
-0.00243043     1427
-0.00232352     1321
-0.00221661     1216
-0.00210971     1111
-0.0020028     1005
-0.00189589     900
-0.00178899     794.6
-0.00168208     689.2
-0.00157517     583.8
-0.00146827     478.5
-0.00136136     373.1
-0.00125445     267.7
-0.00114755     162.3
-0.00104064     56.97
-0.000933732     -48.41
-0.000826826     -153.8
-0.000719919     -259.2
-0.000613012     -364.5
-0.000506106     -469.9
-0.000399199     -575.3
-0.000292292     -680.7
-0.000185385     -786
