longitudinal	transverse	vertical
0.090 	-0.040 	-0.040 
0.340 	0.080 	0.020 
-0.070 	-0.010 	0.210 
0.010 	-0.030 	-0.380 
0.080 	0.010 	0.230 
-0.170 	0.040 	0.230 
-0.150 	-0.050 	-0.430 
-0.160 	0.010 	0.400 
-0.230 	0.140 	0.130 
-0.170 	-0.140 	-0.300 
-0.080 	-0.160 	0.410 
0.000 	0.150 	0.010 
0.080 	0.030 	-0.130 
0.110 	-0.200 	0.310 
0.110 	0.040 	-0.140 
0.040 	0.060 	-0.090 
-0.030 	-0.160 	0.220 
0.050 	0.100 	-0.070 
0.050 	0.190 	0.050 
-0.110 	-0.100 	-0.100 
-0.140 	-0.010 	-0.250 
-0.220 	0.110 	0.340 
-0.200 	0.050 	-0.100 
0.010 	0.000 	-0.380 
-0.150 	-0.050 	0.400 
-0.060 	0.070 	-0.070 
0.190 	0.050 	-0.230 
0.020 	-0.010 	0.470 
0.130 	0.070 	-0.240 
0.090 	-0.020 	-0.230 
-0.040 	-0.050 	0.480 
0.200 	0.080 	-0.120 
-0.110 	0.120 	-0.110 
-0.190 	-0.100 	0.120 
0.010 	-0.090 	-0.140 
-0.260 	0.150 	0.170 
-0.210 	-0.080 	-0.110 
-0.080 	-0.090 	-0.210 
0.100 	0.110 	0.410 
0.130 	-0.110 	-0.080 
-0.140 	-0.030 	-0.150 
0.130 	0.070 	0.440 
0.130 	-0.100 	-0.190 
-0.080 	-0.050 	-0.110 
0.190 	0.060 	0.350 
0.000 	0.020 	-0.390 
-0.190 	-0.090 	-0.100 
0.000 	-0.040 	0.280 
-0.070 	0.080 	-0.330 
-0.260 	-0.070 	-0.030 
-0.220 	-0.110 	0.090 
0.100 	0.030 	-0.140 
-0.090 	0.080 	0.190 
-0.180 	-0.040 	-0.140 
0.330 	-0.080 	-0.050 
0.080 	0.070 	0.370 
-0.080 	-0.090 	-0.270 
0.220 	-0.010 	-0.020 
0.070 	0.100 	0.330 
0.020 	-0.040 	-0.380 
-0.170 	-0.010 	0.080 
-0.140 	-0.080 	0.250 
-0.030 	0.100 	-0.370 
-0.410 	0.030 	0.140 
-0.010 	-0.150 	0.200 
0.080 	0.100 	-0.270 
-0.340 	-0.080 	0.120 
0.130 	-0.070 	0.110 
0.240 	0.090 	-0.080 
0.050 	-0.060 	0.210 
0.040 	0.020 	-0.150 
0.030 	0.020 	0.010 
0.030 	-0.070 	0.280 
-0.110 	-0.060 	-0.350 
-0.020 	0.000 	0.110 
-0.050 	0.000 	0.190 
-0.260 	-0.080 	-0.350 
-0.240 	0.030 	0.270 
-0.080 	0.200 	0.000 
-0.030 	-0.030 	-0.370 
-0.120 	-0.160 	0.350 
0.120 	0.140 	0.050 
0.160 	0.200 	-0.430 
-0.100 	-0.040 	0.200 
0.110 	0.040 	0.140 
