 
 ETABS v9.7.3  File:HW4-V4-5-DETREND  Units:N-m  April 24, 2018 7:21  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  MDamp Energy:  Modal Damping Energy    
 FUNCTION  Potential Energy:  Potential Energy    
 FUNCTION  Kinetic Energy:  Kinetic Energy    
 FUNCTION  Input Energy:  Input Energy    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
            MDamp Energ Potential E Kinetic Ene Input Energ
    0.00000     0.00000     0.00000     0.00000     0.00000
    0.00500     0.00000     0.00000     0.00000     0.00000
    0.01000     0.00000     0.00000     0.00000     0.00000
    0.01500     0.00000     0.00000     0.00000     0.00000
    0.02000     0.00000     0.00000     0.00000     0.00000
    0.02500     0.00000     0.00000     0.00000     0.00000
    0.03000     0.00000     0.00000   1.040E-06   1.043E-06
    0.03500     0.00000     0.00000   1.529E-06   1.534E-06
    0.04000     0.00000     0.00000   1.978E-06   1.986E-06
    0.04500     0.00000     0.00000   2.057E-06   2.068E-06
    0.05000     0.00000     0.00000   2.277E-06   2.292E-06
    0.05500     0.00000     0.00000   2.584E-06   2.603E-06
    0.06000     0.00000     0.00000   2.752E-06   2.775E-06
    0.06500     0.00000     0.00000   3.088E-06   3.117E-06
    0.07000     0.00000     0.00000   3.620E-06   3.655E-06
    0.07500     0.00000     0.00000   4.291E-06   4.334E-06
    0.08000     0.00000     0.00000   5.019E-06   5.071E-06
    0.08500     0.00000     0.00000   5.689E-06   5.752E-06
    0.09000     0.00000     0.00000   6.284E-06   6.358E-06
    0.09500     0.00000     0.00000   7.413E-06   7.501E-06
    0.10000     0.00000     0.00000   8.495E-06   8.599E-06
    0.10500     0.00000     0.00000   8.650E-06   8.773E-06
    0.11000     0.00000     0.00000   8.807E-06   8.949E-06
    0.11500     0.00000     0.00000   8.965E-06   9.127E-06
    0.12000     0.00000     0.00000   8.981E-06   9.163E-06
    0.12500     0.00000     0.00000   9.572E-06   9.776E-06
    0.13000     0.00000     0.00000   1.049E-05   1.071E-05
    0.13500     0.00000     0.00000   1.112E-05   1.138E-05
    0.14000     0.00000     0.00000   1.194E-05   1.222E-05
    0.14500     0.00000     0.00000   1.381E-05   1.413E-05
    0.15000     0.00000     0.00000   1.564E-05   1.599E-05
    0.15500     0.00000     0.00000   1.680E-05   1.719E-05
    0.16000     0.00000     0.00000   1.779E-05   1.823E-05
    0.16500     0.00000     0.00000   1.922E-05   1.971E-05
    0.17000     0.00000     0.00000   2.050E-05   2.103E-05
    0.17500     0.00000     0.00000   2.072E-05   2.131E-05
    0.18000     0.00000     0.00000   2.072E-05   2.137E-05
    0.18500     0.00000     0.00000   2.160E-05   2.231E-05
    0.19000     0.00000     0.00000   2.317E-05   2.394E-05
    0.19500     0.00000     0.00000   2.479E-05   2.563E-05
    0.20000     0.00000     0.00000   2.646E-05   2.738E-05
    0.20500     0.00000     0.00000   2.895E-05   2.994E-05
    0.21000     0.00000     0.00000   3.180E-05   3.288E-05
    0.21500     0.00000     0.00000   3.340E-05   3.458E-05
    0.22000     0.00000     0.00000   3.504E-05   3.632E-05
    0.22500     0.00000     0.00000   3.730E-05   3.869E-05
    0.23000     0.00000     0.00000   3.962E-05   4.112E-05
    0.23500     0.00000     0.00000   4.231E-05   4.394E-05
    0.24000     0.00000     0.00000   4.446E-05   4.622E-05
    0.24500     0.00000   1.029E-06   4.666E-05   4.856E-05
    0.25000     0.00000   1.119E-06   4.923E-05   5.129E-05
    0.25500     0.00000   1.216E-06   5.086E-05   5.307E-05
    0.26000   1.062E-06   1.317E-06   5.250E-05   5.488E-05
    0.26500   1.130E-06   1.425E-06   5.487E-05   5.743E-05
    0.27000   1.201E-06   1.540E-06   5.872E-05   6.146E-05
    0.27500   1.277E-06   1.664E-06   6.233E-05   6.527E-05
    0.28000   1.356E-06   1.795E-06   6.374E-05   6.690E-05
    0.28500   1.438E-06   1.933E-06   6.594E-05   6.931E-05
